                                        0               1                        2               3               4                    5               6               7                  8
model                         gpt-4o-mini     gpt-4o-mini              gpt-4o-mini   llama-3.3-70b   llama-3.3-70b        llama-3.3-70b      qwen3-235b      qwen3-235b         qwen3-235b
condition                            base         placebo                   switch            base         placebo               switch            base         placebo             switch
runs                                   20              20                       20              20              20                   20              20              20                 20
invalid                                 0               0                        0               0               1                    0               0               0                  0
task_success                          0.0             0.0                     0.75             0.0             0.0                 0.85             0.0             0.0                0.9
both_complete                         0.0             0.0                      0.1             0.0             0.0                 0.15             0.0             0.0               0.45
comm_verified                         0.0             0.0                      1.0             0.0             0.0                  1.0             0.0             0.0               0.95
complete_via_channel                  0.0             0.0                     0.75             0.0             0.0                 0.85             0.0             0.0                0.9
turns_mean                           30.0            26.2                     22.8            30.0           29.15                23.45            30.0           16.35              16.75
turns_median                         30.0            30.0                     21.0            30.0            30.0                 23.0            30.0            16.5               15.0
parse_fail_mean                       0.0             0.0                      0.0             0.0        0.000835                  0.0        0.000835         0.00104            0.00125
api_errors                              0               0                        0              26              41                   29               0               2                  0
cost_usd                         0.131343        0.101731                 0.101202        0.139335        0.159178             0.112038        0.186931        0.103569            0.10256
decrypt_calls                         642             463                      460              82              66                   64              84              62                 58
pw_other_rate                    0.450156        0.442765                  0.41087             0.0             0.0                  0.0        0.488095        0.290323           0.258621
pw_peer                                 0               0                        0               0               0                    3               0               0                  1
runs_with_submission                    0              17                       16              12              20                   20               6              20                 20
placebo_contaminated_runs               0              17                        0               0              20                    0               0              20                  0
invented_tables_runs                    0              15                        0               0              18                    0               0              16                  0
invented_hex_runs                       0               9                        0               0              17                    5               3              20                  3
placebo_decrypt_attempts                0               0                        0               0               0                    0               0               0                  0
A1->A2 W/R/V                       20/0/0          20/0/0                   5/5/10          20/0/0          20/0/0               0/1/19          20/0/0          20/0/0             0/7/13
A1->A2 tau_write           2 [2–2] (n=20)  2 [2–2] (n=20)           2 [2–2] (n=20)  2 [2–2] (n=20)  2 [2–2] (n=20)       2 [2–2] (n=20)  2 [2–2] (n=20)  2 [2–2] (n=20)     2 [2–2] (n=20)
A1->A2 tau_read                         —               —    16 [12.5–18.5] (n=15)               —               —       9 [9–9] (n=20)               —               —  8 [8–8.25] (n=20)
A1->A2 tau_use                          —               —  17 [13.25–23.75] (n=10)               —               —    12 [12–14] (n=19)               —               —   11 [9–12] (n=13)
A2->A1 W/R/V                       20/0/0          20/0/0                   2/3/15          20/0/0          20/0/0               0/1/19          20/0/0          20/0/0             3/0/17
A2->A1 tau_write           2 [2–2] (n=20)  2 [2–2] (n=20)           2 [2–2] (n=20)  2 [2–2] (n=20)  2 [2–2] (n=20)       2 [2–2] (n=20)  2 [2–2] (n=20)  2 [2–2] (n=20)     2 [2–2] (n=20)
A2->A1 tau_read                         —               —      14.5 [10–17] (n=18)               —               —       9 [9–9] (n=20)               —               —     8 [8–8] (n=17)
A2->A1 tau_use                          —               —      16 [10.5–19] (n=15)               —               —  12 [10.5–15] (n=19)               —               —  11 [10–13] (n=17)
tau_first_foreign_read                  —               —    12.5 [10–15.5] (n=20)               —               —       9 [9–9] (n=20)               —               —     8 [8–8] (n=20)
figures written
