model,condition,turn,runs_present,runs_paired,H1_bits,H2_bits,sum_H_bits,I_bits,H_system_bits,I_shuffled_bits,I_minus_shuffled_bits,hard_H1_bits,hard_H2_bits,hard_I_bits,hard_I_miller_madow_bits,hard_H_system_bits,p1_READ,p1_WRITE,p1_DECRYPT,p1_SUBMIT,p1_OTHER,p1_DONE,p2_READ,p2_WRITE,p2_DECRYPT,p2_SUBMIT,p2_OTHER,p2_DONE,tokH_A1_mean,tokS_A1_mean,tokH_A1_n,tokH_A2_mean,tokS_A2_mean,tokH_A2_n
gpt-4o-mini,base,1,20,20,0.00024054497549412347,0.003076729098848336,0.0033172740743424595,2.8617212766146594e-13,0.0033172740740562874,1.085503215092487e-15,2.8508662444637345e-13,0.0,0.0,0.0,0.0,0.0,1.9683437080170254e-06,1.0955415274366538e-05,0.9999869062671995,0.0,1.6997381793909758e-07,0.0,0.00016875907377580146,4.4768122452127955e-05,0.9997861734201114,0.0,2.9938366037322364e-07,0.0,0.03649683566780129,0.04832515232718344,20,0.0050524959218420295,0.01047355409070355,20
gpt-4o-mini,base,2,20,20,0.019841476708819483,0.0002504400594182228,0.020091916768237704,2.9684431995802285e-11,0.020091916738553272,8.556350072908003e-14,2.9598868495073205e-11,0.0,0.0,0.0,0.0,0.0,0.0018807293744279939,0.9981139435816052,5.241059858869115e-06,7.183711763463443e-09,7.880039581087088e-08,0.0,1.4210747869239294e-05,0.9999857465248485,0.0,0.0,4.2727282302856716e-08,0.0,0.334520476335622,0.3454709686569358,20,0.18062774885869312,0.18169421787647794,20
gpt-4o-mini,base,3,20,20,0.5950993388843363,0.7884270533673753,1.3835263922517116,0.0031237721484853598,1.3804026201032262,7.6160586155449295e-06,0.003116156089869815,0.46899559358928133,0.8841837197791889,0.03414403902960417,0.03414403902960417,1.319035274338866,0.14369932893172516,8.46650045127681e-05,0.8562157850664738,3.94572733534201e-09,2.1705156087920217e-07,0.0,0.08938805995328764,0.06937912552339663,0.841226012650036,3.7883269300055242e-06,3.013546349752134e-06,0.0,0.7010809308631138,0.7655742700198077,20,0.29621228518020615,0.34746400654895165,20
gpt-4o-mini,base,4,20,20,0.7545148598281901,1.315197235219486,2.0697120950476764,0.03263095713190056,2.037081137915776,9.078604190948525e-05,0.03254017108999108,0.6098403047164004,1.295461844238322,0.30984030471640045,0.30984030471640045,1.5954618442383217,0.006192832320628233,0.19027390652684165,0.8035317913807976,1.260659333960602e-07,1.3437057989776956e-06,0.0,0.08816436353456472,0.5487158092516488,0.3630885496880529,2.5035425603368168e-05,6.242100130329925e-06,0.0,0.3153306083706774,0.3063796959798636,20,0.2921434812814603,0.34752185887815296,20
gpt-4o-mini,base,5,20,20,0.8646390387919399,1.459037210192707,2.323676248984647,0.010775069860122777,2.312901179124524,2.9364181544533352e-05,0.010745705678578243,0.8112781244591328,1.4406454496153462,0.010477502908957437,-0.06165724913549073,2.2414460711655217,0.008141714537822916,0.7490394916001796,0.24281781482681244,5.66372631448179e-07,4.1266255365313185e-07,0.0,0.15680144187490783,0.36494755253964084,0.4782364539908131,1.0262696161787655e-05,4.288898476344554e-06,0.0,0.33478034736126394,0.32548996445051825,20,0.21095047065826805,0.15823955678532192,20
gpt-4o-mini,base,6,20,20,1.0554231908483007,1.3410755582374831,2.396498749085784,0.0387976220207813,2.3577011270650026,9.072582240809979e-05,0.0387068961983732,1.0540157730728001,1.4406454496153462,0.07353374935095935,0.0013989973065111905,2.421127473337187,0.09970278611341274,0.15097750157439138,0.7493193958498428,5.3799600184497656e-08,2.626627530210207e-07,0.0,0.08819140455278912,0.4757037952056204,0.436099212512935,1.7754247569620386e-06,3.812303898559774e-06,0.0,0.3453073064464967,0.3188364711353301,20,0.26731152938964214,0.37728722935742837,20
gpt-4o-mini,base,7,20,20,1.185877865687866,1.473310759621927,2.6591886253097927,0.010519076789448523,2.648669548520344,2.9039758166149454e-05,0.010490037031282373,1.1411535278793057,1.4406454496153462,0.08018948043562446,0.008054728391176297,2.5016094970590275,0.054400017499099965,0.3285118904238877,0.6170867537960658,1.828831910751017e-07,1.155397755454142e-06,0.0,0.1714973240559265,0.34396416819247305,0.48447119478173695,6.407810312829951e-05,3.2348667351264543e-06,0.0,0.21709460514525677,0.1961892544426908,20,0.2819557891866906,0.2563120886138337,20
gpt-4o-mini,base,8,20,20,1.3683043453491275,1.4711206150599057,2.8394249604090334,0.104021696092091,2.7354032643169424,0.00027329074634074857,0.10374840534575025,1.2344977967946407,1.188376371734507,0.09466122268814603,0.05859384666592195,2.3282129458410017,0.1007776180079065,0.47692610900930205,0.42229524018743037,5.87208049231286e-07,4.4558731176020317e-07,0.0,0.15905192862757592,0.3964311443455518,0.4445104141960622,3.758086225107844e-06,2.754744584876976e-06,0.0,0.6670854054972782,0.7427083648201203,20,0.2739565420716181,0.3209580628880883,20
gpt-4o-mini,base,9,20,20,1.404535328011511,1.4826288541024386,2.8871641821139495,0.22501323334897316,2.6621509487649764,0.0006764227440867465,0.22433681060488642,1.4387586809150081,1.5394910703001345,0.3766402541561149,0.2684381260894426,2.6016094970590276,0.21329598024041774,0.20882568518019268,0.5778774339164175,1.495677717283333e-07,7.510952003885197e-07,0.0,0.17071158171779516,0.3726354609491429,0.4566440467753611,4.109375316879608e-06,4.801182383981539e-06,0.0,0.21760135897645877,0.3124901986896288,20,0.4568439681330706,0.5590128707034736,20
gpt-4o-mini,base,10,20,20,1.2699087351841514,1.2621329175424818,2.532041652726633,0.019461472034840277,2.512580180691793,5.560245897573424e-05,0.019405869575864543,1.2344977967946407,1.1411535278793057,0.08018948043562446,0.04412210441340038,2.295461844238322,0.06258980158918881,0.42750709198243414,0.5098984265607094,3.568603898130953e-06,1.1112637694585722e-06,0.0,0.08058273850118489,0.3199692126113939,0.5993990022932418,4.7102845117327354e-05,1.9437490619696754e-06,0.0,0.42269605107616776,0.4612413260030622,20,0.19567275143384472,0.21529861345421625,20
