model,condition,agent,real_reads,placebo_reads,runs_with_placebo_read
gpt-4o-mini,base,A1,0,0,0
gpt-4o-mini,base,A2,0,0,0
gpt-4o-mini,placebo,A1,0,32,20
gpt-4o-mini,placebo,A2,0,27,16
gpt-4o-mini,switch,A1,36,0,0
gpt-4o-mini,switch,A2,18,0,0
llama-3.3-70b,base,A1,0,0,0
llama-3.3-70b,base,A2,0,0,0
llama-3.3-70b,placebo,A1,0,183,20
llama-3.3-70b,placebo,A2,0,147,20
llama-3.3-70b,switch,A1,138,0,0
llama-3.3-70b,switch,A2,106,0,0
qwen3-235b,base,A1,0,0,0
qwen3-235b,base,A2,0,0,0
qwen3-235b,placebo,A1,0,93,20
qwen3-235b,placebo,A2,0,71,20
qwen3-235b,switch,A1,57,0,0
qwen3-235b,switch,A2,137,0,0
