model,condition,turn,agent,API_ERR,DECRYPT,DONE,OTHER,READ,SUBMIT,WRITE
gpt-4o-mini,base,1,A1,0,20,0,0,0,0,0
gpt-4o-mini,base,1,A2,0,20,0,0,0,0,0
gpt-4o-mini,base,2,A1,0,0,0,0,0,0,20
gpt-4o-mini,base,2,A2,0,0,0,0,0,0,20
gpt-4o-mini,base,3,A1,0,18,0,0,2,0,0
gpt-4o-mini,base,3,A2,0,16,0,0,3,0,1
gpt-4o-mini,base,4,A1,0,17,0,0,0,0,3
gpt-4o-mini,base,4,A2,0,6,0,0,2,0,12
gpt-4o-mini,base,5,A1,0,5,0,0,0,0,15
gpt-4o-mini,base,5,A2,0,10,0,0,3,0,7
gpt-4o-mini,base,6,A1,0,15,0,0,2,0,3
gpt-4o-mini,base,6,A2,0,7,0,0,3,0,10
gpt-4o-mini,base,7,A1,0,13,0,0,1,0,6
gpt-4o-mini,base,7,A2,0,10,0,0,3,0,7
gpt-4o-mini,base,8,A1,0,9,0,0,1,0,10
gpt-4o-mini,base,8,A2,0,12,0,0,1,0,7
gpt-4o-mini,base,9,A1,0,11,0,0,5,0,4
gpt-4o-mini,base,9,A2,0,6,0,0,5,0,9
gpt-4o-mini,base,10,A1,0,10,0,0,1,0,9
gpt-4o-mini,base,10,A2,0,13,0,0,1,0,6
gpt-4o-mini,base,11,A1,0,12,0,0,4,0,4
gpt-4o-mini,base,11,A2,0,12,0,0,1,0,7
gpt-4o-mini,base,12,A1,0,13,0,0,1,0,6
gpt-4o-mini,base,12,A2,0,10,0,0,2,0,8
gpt-4o-mini,base,13,A1,0,14,0,0,0,0,6
gpt-4o-mini,base,13,A2,0,11,0,0,1,0,8
gpt-4o-mini,base,14,A1,0,12,0,0,4,0,4
gpt-4o-mini,base,14,A2,0,12,0,0,2,0,6
gpt-4o-mini,base,15,A1,0,10,0,0,2,0,8
gpt-4o-mini,base,15,A2,0,11,0,0,1,0,8
gpt-4o-mini,base,16,A1,0,9,0,0,6,0,5
gpt-4o-mini,base,16,A2,0,12,0,0,2,0,6
gpt-4o-mini,base,17,A1,0,10,0,0,4,0,6
gpt-4o-mini,base,17,A2,0,11,0,0,1,0,8
gpt-4o-mini,base,18,A1,0,12,0,0,4,0,4
gpt-4o-mini,base,18,A2,0,13,0,0,1,0,6
gpt-4o-mini,base,19,A1,0,8,0,0,6,0,6
gpt-4o-mini,base,19,A2,0,12,0,0,1,0,7
gpt-4o-mini,base,20,A1,0,11,0,0,4,0,5
gpt-4o-mini,base,20,A2,0,12,0,0,2,0,6
gpt-4o-mini,base,21,A1,0,12,0,0,2,0,6
gpt-4o-mini,base,21,A2,0,8,0,0,3,0,9
gpt-4o-mini,base,22,A1,0,12,0,0,4,0,4
gpt-4o-mini,base,22,A2,0,9,0,0,5,0,6
gpt-4o-mini,base,23,A1,0,7,0,0,6,0,7
gpt-4o-mini,base,23,A2,0,13,0,0,1,0,6
gpt-4o-mini,base,24,A1,0,8,0,0,4,0,8
gpt-4o-mini,base,24,A2,0,14,0,0,3,0,3
gpt-4o-mini,base,25,A1,0,4,0,0,10,0,6
gpt-4o-mini,base,25,A2,0,10,0,0,2,0,8
gpt-4o-mini,base,26,A1,0,7,0,0,7,0,6
gpt-4o-mini,base,26,A2,0,12,0,0,3,0,5
gpt-4o-mini,base,27,A1,0,10,0,0,7,0,3
gpt-4o-mini,base,27,A2,0,8,0,0,4,0,8
gpt-4o-mini,base,28,A1,0,7,0,0,6,0,7
gpt-4o-mini,base,28,A2,0,14,0,0,3,0,3
gpt-4o-mini,base,29,A1,0,11,0,0,9,0,0
gpt-4o-mini,base,29,A2,0,14,0,0,1,0,5
gpt-4o-mini,base,30,A1,0,10,0,0,5,0,5
gpt-4o-mini,base,30,A2,0,7,0,0,2,0,11
gpt-4o-mini,placebo,1,A1,0,20,0,0,0,0,0
gpt-4o-mini,placebo,1,A2,0,20,0,0,0,0,0
gpt-4o-mini,placebo,2,A1,0,0,0,0,0,0,20
gpt-4o-mini,placebo,2,A2,0,0,0,0,0,0,20
gpt-4o-mini,placebo,3,A1,0,13,0,0,7,0,0
gpt-4o-mini,placebo,3,A2,0,17,0,0,3,0,0
gpt-4o-mini,placebo,4,A1,0,18,0,0,0,0,2
gpt-4o-mini,placebo,4,A2,0,10,0,0,3,0,7
gpt-4o-mini,placebo,5,A1,0,8,0,0,0,0,12
gpt-4o-mini,placebo,5,A2,0,4,0,0,3,0,13
gpt-4o-mini,placebo,6,A1,0,12,0,0,1,0,7
gpt-4o-mini,placebo,6,A2,0,9,0,0,2,0,9
gpt-4o-mini,placebo,7,A1,0,14,0,0,2,0,4
gpt-4o-mini,placebo,7,A2,0,11,0,0,3,0,6
gpt-4o-mini,placebo,8,A1,0,12,0,0,0,0,8
gpt-4o-mini,placebo,8,A2,0,11,0,0,1,0,8
gpt-4o-mini,placebo,9,A1,0,12,0,0,0,0,8
gpt-4o-mini,placebo,9,A2,0,8,0,0,3,1,8
gpt-4o-mini,placebo,10,A1,0,11,0,0,2,0,7
gpt-4o-mini,placebo,10,A2,0,7,1,0,2,2,8
gpt-4o-mini,placebo,11,A1,0,9,0,0,4,1,6
gpt-4o-mini,placebo,11,A2,0,10,3,0,2,2,3
gpt-4o-mini,placebo,12,A1,0,6,0,0,2,2,9
gpt-4o-mini,placebo,12,A2,0,6,4,0,0,1,8
gpt-4o-mini,placebo,13,A1,0,11,2,0,2,1,3
gpt-4o-mini,placebo,13,A2,0,10,5,0,0,0,4
gpt-4o-mini,placebo,14,A1,0,8,3,0,0,0,8
gpt-4o-mini,placebo,14,A2,0,8,5,0,2,0,4
gpt-4o-mini,placebo,15,A1,0,8,3,0,2,0,6
gpt-4o-mini,placebo,15,A2,0,6,5,0,0,1,7
gpt-4o-mini,placebo,16,A1,0,7,3,0,3,0,6
gpt-4o-mini,placebo,16,A2,0,11,6,0,0,1,1
gpt-4o-mini,placebo,17,A1,0,9,3,0,2,2,3
gpt-4o-mini,placebo,17,A2,0,4,7,0,0,0,8
gpt-4o-mini,placebo,18,A1,0,8,4,0,1,1,4
gpt-4o-mini,placebo,18,A2,0,8,6,0,2,0,2
gpt-4o-mini,placebo,19,A1,0,2,4,0,1,1,9
gpt-4o-mini,placebo,19,A2,0,6,5,0,1,0,5
gpt-4o-mini,placebo,20,A1,0,9,5,0,2,1,0
gpt-4o-mini,placebo,20,A2,0,7,5,0,1,1,3
gpt-4o-mini,placebo,21,A1,0,7,4,0,0,2,2
gpt-4o-mini,placebo,21,A2,0,2,4,0,1,0,8
gpt-4o-mini,placebo,22,A1,0,1,5,0,2,0,6
gpt-4o-mini,placebo,22,A2,0,8,3,0,2,0,1
gpt-4o-mini,placebo,23,A1,0,7,5,0,0,2,0
gpt-4o-mini,placebo,23,A2,0,8,3,0,0,0,3
gpt-4o-mini,placebo,24,A1,0,5,7,0,1,0,1
gpt-4o-mini,placebo,24,A2,0,4,3,0,0,0,7
gpt-4o-mini,placebo,25,A1,0,2,7,0,1,0,4
gpt-4o-mini,placebo,25,A2,0,7,3,0,2,0,2
gpt-4o-mini,placebo,26,A1,0,5,7,0,1,0,1
gpt-4o-mini,placebo,26,A2,0,4,3,0,2,0,5
gpt-4o-mini,placebo,27,A1,0,3,7,0,0,1,3
gpt-4o-mini,placebo,27,A2,0,6,3,0,2,0,3
gpt-4o-mini,placebo,28,A1,0,1,7,0,3,0,2
gpt-4o-mini,placebo,28,A2,0,7,2,0,1,0,3
gpt-4o-mini,placebo,29,A1,0,1,7,0,2,0,3
gpt-4o-mini,placebo,29,A2,0,5,2,0,1,0,5
gpt-4o-mini,placebo,30,A1,0,4,7,0,1,1,0
gpt-4o-mini,placebo,30,A2,0,6,2,0,2,0,3
gpt-4o-mini,switch,1,A1,0,20,0,0,0,0,0
gpt-4o-mini,switch,1,A2,0,20,0,0,0,0,0
gpt-4o-mini,switch,2,A1,0,0,0,0,0,0,20
gpt-4o-mini,switch,2,A2,0,0,0,0,0,0,20
gpt-4o-mini,switch,3,A1,0,15,0,0,5,0,0
gpt-4o-mini,switch,3,A2,0,18,0,0,2,0,0
gpt-4o-mini,switch,4,A1,0,13,0,0,0,0,7
gpt-4o-mini,switch,4,A2,0,10,0,0,2,0,8
gpt-4o-mini,switch,5,A1,0,8,0,0,2,0,10
gpt-4o-mini,switch,5,A2,0,6,0,0,2,0,12
gpt-4o-mini,switch,6,A1,0,11,0,0,3,0,6
gpt-4o-mini,switch,6,A2,0,11,0,0,3,0,6
gpt-4o-mini,switch,7,A1,0,15,0,0,0,0,5
gpt-4o-mini,switch,7,A2,0,9,0,0,4,0,7
gpt-4o-mini,switch,8,A1,0,10,0,0,1,0,9
gpt-4o-mini,switch,8,A2,0,12,0,0,0,0,8
gpt-4o-mini,switch,9,A1,0,9,0,0,3,0,8
gpt-4o-mini,switch,9,A2,0,8,0,0,1,0,11
gpt-4o-mini,switch,10,A1,0,12,0,0,3,2,3
gpt-4o-mini,switch,10,A2,0,15,0,0,1,1,3
gpt-4o-mini,switch,11,A1,0,7,1,0,0,0,11
gpt-4o-mini,switch,11,A2,0,9,0,0,1,0,9
gpt-4o-mini,switch,12,A1,0,12,1,0,1,0,5
gpt-4o-mini,switch,12,A2,0,8,0,0,2,1,8
gpt-4o-mini,switch,13,A1,0,11,1,0,1,1,5
gpt-4o-mini,switch,13,A2,0,11,1,0,2,1,4
gpt-4o-mini,switch,14,A1,0,9,2,0,1,0,7
gpt-4o-mini,switch,14,A2,0,10,2,0,0,1,6
gpt-4o-mini,switch,15,A1,0,10,2,0,2,1,4
gpt-4o-mini,switch,15,A2,0,7,3,0,1,0,8
gpt-4o-mini,switch,16,A1,0,7,2,0,0,0,9
gpt-4o-mini,switch,16,A2,0,11,2,0,1,1,3
gpt-4o-mini,switch,17,A1,0,10,2,0,4,0,2
gpt-4o-mini,switch,17,A2,0,4,3,0,3,0,8
gpt-4o-mini,switch,18,A1,0,5,2,0,0,1,10
gpt-4o-mini,switch,18,A2,0,9,3,0,0,1,5
gpt-4o-mini,switch,19,A1,0,9,3,0,3,0,3
gpt-4o-mini,switch,19,A2,0,10,4,0,0,0,4
gpt-4o-mini,switch,20,A1,0,6,3,0,2,2,5
gpt-4o-mini,switch,20,A2,0,5,4,0,1,0,8
gpt-4o-mini,switch,21,A1,0,5,0,0,1,0,4
gpt-4o-mini,switch,21,A2,0,7,1,0,0,0,2
