model,condition,turn,runs_present,agents_acting
gpt-4o-mini,base,1,20,40
gpt-4o-mini,base,2,20,40
gpt-4o-mini,base,3,20,40
gpt-4o-mini,base,4,20,40
gpt-4o-mini,base,5,20,40
gpt-4o-mini,base,6,20,40
gpt-4o-mini,base,7,20,40
gpt-4o-mini,base,8,20,40
gpt-4o-mini,base,9,20,40
gpt-4o-mini,base,10,20,40
gpt-4o-mini,base,11,20,40
gpt-4o-mini,base,12,20,40
gpt-4o-mini,base,13,20,40
gpt-4o-mini,base,14,20,40
gpt-4o-mini,base,15,20,40
gpt-4o-mini,base,16,20,40
gpt-4o-mini,base,17,20,40
gpt-4o-mini,base,18,20,40
gpt-4o-mini,base,19,20,40
gpt-4o-mini,base,20,20,40
gpt-4o-mini,base,21,20,40
gpt-4o-mini,base,22,20,40
gpt-4o-mini,base,23,20,40
gpt-4o-mini,base,24,20,40
gpt-4o-mini,base,25,20,40
gpt-4o-mini,base,26,20,40
gpt-4o-mini,base,27,20,40
gpt-4o-mini,base,28,20,40
gpt-4o-mini,base,29,20,40
gpt-4o-mini,base,30,20,40
gpt-4o-mini,placebo,1,20,40
gpt-4o-mini,placebo,2,20,40
gpt-4o-mini,placebo,3,20,40
gpt-4o-mini,placebo,4,20,40
gpt-4o-mini,placebo,5,20,40
gpt-4o-mini,placebo,6,20,40
gpt-4o-mini,placebo,7,20,40
gpt-4o-mini,placebo,8,20,40
gpt-4o-mini,placebo,9,20,40
gpt-4o-mini,placebo,10,20,39
gpt-4o-mini,placebo,11,20,37
gpt-4o-mini,placebo,12,19,34
gpt-4o-mini,placebo,13,19,31
gpt-4o-mini,placebo,14,19,30
gpt-4o-mini,placebo,15,19,30
gpt-4o-mini,placebo,16,19,29
gpt-4o-mini,placebo,17,19,28
gpt-4o-mini,placebo,18,18,26
gpt-4o-mini,placebo,19,17,25
gpt-4o-mini,placebo,20,17,24
gpt-4o-mini,placebo,21,15,22
gpt-4o-mini,placebo,22,14,20
gpt-4o-mini,placebo,23,14,20
gpt-4o-mini,placebo,24,14,18
gpt-4o-mini,placebo,25,14,18
gpt-4o-mini,placebo,26,14,18
gpt-4o-mini,placebo,27,14,18
gpt-4o-mini,placebo,28,13,17
gpt-4o-mini,placebo,29,13,17
gpt-4o-mini,placebo,30,13,17
gpt-4o-mini,switch,1,20,40
gpt-4o-mini,switch,2,20,40
gpt-4o-mini,switch,3,20,40
gpt-4o-mini,switch,4,20,40
gpt-4o-mini,switch,5,20,40
gpt-4o-mini,switch,6,20,40
gpt-4o-mini,switch,7,20,40
gpt-4o-mini,switch,8,20,40
gpt-4o-mini,switch,9,20,40
gpt-4o-mini,switch,10,20,40
gpt-4o-mini,switch,11,19,37
gpt-4o-mini,switch,12,19,37
gpt-4o-mini,switch,13,19,36
gpt-4o-mini,switch,14,19,34
gpt-4o-mini,switch,15,19,33
gpt-4o-mini,switch,16,18,32
gpt-4o-mini,switch,17,18,31
gpt-4o-mini,switch,18,18,31
gpt-4o-mini,switch,19,18,29
gpt-4o-mini,switch,20,18,29
gpt-4o-mini,switch,21,10,19
gpt-4o-mini,switch,22,10,19
gpt-4o-mini,switch,23,9,18
gpt-4o-mini,switch,24,9,18
gpt-4o-mini,switch,25,7,14
gpt-4o-mini,switch,26,6,12
gpt-4o-mini,switch,27,5,10
gpt-4o-mini,switch,28,5,10
gpt-4o-mini,switch,29,5,10
gpt-4o-mini,switch,30,5,10
llama-3.3-70b,base,1,20,40
llama-3.3-70b,base,2,20,40
llama-3.3-70b,base,3,20,40
llama-3.3-70b,base,4,20,40
llama-3.3-70b,base,5,20,40
llama-3.3-70b,base,6,20,40
llama-3.3-70b,base,7,20,40
llama-3.3-70b,base,8,20,40
llama-3.3-70b,base,9,20,40
llama-3.3-70b,base,10,20,40
llama-3.3-70b,base,11,20,40
llama-3.3-70b,base,12,20,40
llama-3.3-70b,base,13,20,40
llama-3.3-70b,base,14,20,40
llama-3.3-70b,base,15,20,40
llama-3.3-70b,base,16,20,40
llama-3.3-70b,base,17,20,40
llama-3.3-70b,base,18,20,40
llama-3.3-70b,base,19,20,40
llama-3.3-70b,base,20,20,40
llama-3.3-70b,base,21,20,40
llama-3.3-70b,base,22,20,40
llama-3.3-70b,base,23,20,40
llama-3.3-70b,base,24,20,40
llama-3.3-70b,base,25,20,40
llama-3.3-70b,base,26,20,40
llama-3.3-70b,base,27,20,40
llama-3.3-70b,base,28,20,40
llama-3.3-70b,base,29,20,40
llama-3.3-70b,base,30,20,40
llama-3.3-70b,placebo,1,20,40
llama-3.3-70b,placebo,2,20,40
llama-3.3-70b,placebo,3,20,40
llama-3.3-70b,placebo,4,20,40
llama-3.3-70b,placebo,5,20,40
llama-3.3-70b,placebo,6,20,40
llama-3.3-70b,placebo,7,20,40
llama-3.3-70b,placebo,8,20,40
llama-3.3-70b,placebo,9,20,40
llama-3.3-70b,placebo,10,20,40
llama-3.3-70b,placebo,11,20,40
llama-3.3-70b,placebo,12,20,40
llama-3.3-70b,placebo,13,20,40
llama-3.3-70b,placebo,14,20,38
llama-3.3-70b,placebo,15,20,38
llama-3.3-70b,placebo,16,20,37
llama-3.3-70b,placebo,17,20,36
llama-3.3-70b,placebo,18,20,36
llama-3.3-70b,placebo,19,20,35
llama-3.3-70b,placebo,20,20,35
llama-3.3-70b,placebo,21,20,35
llama-3.3-70b,placebo,22,20,35
llama-3.3-70b,placebo,23,20,34
llama-3.3-70b,placebo,24,20,33
llama-3.3-70b,placebo,25,20,29
llama-3.3-70b,placebo,26,19,28
llama-3.3-70b,placebo,27,19,26
llama-3.3-70b,placebo,28,16,22
llama-3.3-70b,placebo,29,15,21
llama-3.3-70b,placebo,30,14,18
llama-3.3-70b,switch,1,20,40
llama-3.3-70b,switch,2,20,40
llama-3.3-70b,switch,3,20,40
llama-3.3-70b,switch,4,20,40
llama-3.3-70b,switch,5,20,40
llama-3.3-70b,switch,6,20,40
llama-3.3-70b,switch,7,20,40
llama-3.3-70b,switch,8,20,40
llama-3.3-70b,switch,9,20,40
llama-3.3-70b,switch,10,20,40
llama-3.3-70b,switch,11,20,40
llama-3.3-70b,switch,12,20,39
llama-3.3-70b,switch,13,20,39
llama-3.3-70b,switch,14,20,39
llama-3.3-70b,switch,15,19,36
llama-3.3-70b,switch,16,19,34
llama-3.3-70b,switch,17,19,31
llama-3.3-70b,switch,18,19,30
llama-3.3-70b,switch,19,19,28
llama-3.3-70b,switch,20,18,26
llama-3.3-70b,switch,21,14,22
llama-3.3-70b,switch,22,12,18
llama-3.3-70b,switch,23,11,16
llama-3.3-70b,switch,24,9,14
llama-3.3-70b,switch,25,8,12
llama-3.3-70b,switch,26,7,11
llama-3.3-70b,switch,27,6,10
llama-3.3-70b,switch,28,4,8
llama-3.3-70b,switch,29,3,6
llama-3.3-70b,switch,30,2,4
qwen3-235b,base,1,20,40
qwen3-235b,base,2,20,40
qwen3-235b,base,3,20,40
qwen3-235b,base,4,20,40
qwen3-235b,base,5,20,39
qwen3-235b,base,6,20,39
qwen3-235b,base,7,20,39
qwen3-235b,base,8,20,39
qwen3-235b,base,9,20,39
qwen3-235b,base,10,20,39
qwen3-235b,base,11,20,39
qwen3-235b,base,12,20,39
qwen3-235b,base,13,20,39
qwen3-235b,base,14,20,39
qwen3-235b,base,15,20,39
qwen3-235b,base,16,20,39
qwen3-235b,base,17,20,39
qwen3-235b,base,18,20,38
qwen3-235b,base,19,20,38
qwen3-235b,base,20,20,38
qwen3-235b,base,21,20,37
qwen3-235b,base,22,20,37
qwen3-235b,base,23,20,36
qwen3-235b,base,24,20,36
qwen3-235b,base,25,20,35
qwen3-235b,base,26,20,35
qwen3-235b,base,27,20,35
qwen3-235b,base,28,20,35
qwen3-235b,base,29,20,34
qwen3-235b,base,30,20,34
qwen3-235b,placebo,1,20,40
qwen3-235b,placebo,2,20,40
qwen3-235b,placebo,3,20,40
qwen3-235b,placebo,4,20,40
qwen3-235b,placebo,5,20,40
qwen3-235b,placebo,6,20,40
qwen3-235b,placebo,7,20,40
qwen3-235b,placebo,8,20,40
qwen3-235b,placebo,9,20,40
qwen3-235b,placebo,10,20,34
qwen3-235b,placebo,11,17,27
qwen3-235b,placebo,12,16,23
qwen3-235b,placebo,13,15,19
qwen3-235b,placebo,14,14,17
qwen3-235b,placebo,15,12,13
qwen3-235b,placebo,16,10,10
qwen3-235b,placebo,17,10,10
qwen3-235b,placebo,18,10,10
qwen3-235b,placebo,19,7,7
qwen3-235b,placebo,20,7,7
qwen3-235b,placebo,21,5,5
qwen3-235b,placebo,22,2,2
qwen3-235b,placebo,23,1,1
qwen3-235b,placebo,24,1,1
qwen3-235b,placebo,25,0,0
qwen3-235b,placebo,26,0,0
qwen3-235b,placebo,27,0,0
qwen3-235b,placebo,28,0,0
qwen3-235b,placebo,29,0,0
qwen3-235b,placebo,30,0,0
qwen3-235b,switch,1,20,40
qwen3-235b,switch,2,20,40
qwen3-235b,switch,3,20,40
qwen3-235b,switch,4,20,40
qwen3-235b,switch,5,20,39
qwen3-235b,switch,6,20,38
qwen3-235b,switch,7,20,37
qwen3-235b,switch,8,20,37
qwen3-235b,switch,9,20,37
qwen3-235b,switch,10,20,36
qwen3-235b,switch,11,20,31
qwen3-235b,switch,12,16,22
qwen3-235b,switch,13,15,19
qwen3-235b,switch,14,12,15
qwen3-235b,switch,15,10,12
qwen3-235b,switch,16,10,11
qwen3-235b,switch,17,9,10
qwen3-235b,switch,18,8,9
qwen3-235b,switch,19,8,9
qwen3-235b,switch,20,7,7
qwen3-235b,switch,21,2,2
qwen3-235b,switch,22,2,2
qwen3-235b,switch,23,2,2
qwen3-235b,switch,24,2,2
qwen3-235b,switch,25,2,2
qwen3-235b,switch,26,2,2
qwen3-235b,switch,27,2,2
qwen3-235b,switch,28,2,2
qwen3-235b,switch,29,2,2
qwen3-235b,switch,30,2,2
