model,condition,seed,turn,agent,pos,H_lower_bits,H_lower_re,H_renorm_bits,H_renorm_re,coverage,coverage_re,k
qwen3-235b,base,1,1,A2,7,0.4824411011660178,0.4824400692711787,0.4824411011660178,0.46913883366184056,1.0,0.9861956269919091,20
qwen3-235b,base,1,1,A2,8,0.4824400692711787,0.4824400692711787,0.4824400692711787,0.46913883366184056,1.0,0.9861956269919091,20
qwen3-235b,base,1,1,A2,9,0.4824412731482381,0.4824400692711787,0.4824412731482381,0.46913883366184056,1.0,0.9861956269919091,20
qwen3-235b,base,1,1,A2,15,3.759623601081148e-06,1.6958362191407234e-06,3.759623601081148e-06,1.7873746853735405e-06,1.0,1.0000000634497064,20
qwen3-235b,base,1,1,A2,17,7.572635454620653e-06,1.5532802543724139e-06,7.572635454620653e-06,1.6365670733868414e-06,1.0,1.0000000577300876,20
qwen3-235b,base,1,1,A1,4,8.831693970012971e-06,2.3263826769026143e-07,8.831693970012971e-06,2.4366303693444235e-07,1.0,1.000000007641789,20
qwen3-235b,base,1,1,A1,13,1.928425458642665e-06,5.525662199243971e-07,1.928425458642665e-06,5.804407013699376e-07,1.0,1.0000000193211258,20
qwen3-235b,base,1,1,A1,14,1.1903287259331186e-05,5.525662199243971e-07,1.1903287259331186e-05,5.804407013699376e-07,1.0,1.0000000193211258,20
qwen3-235b,base,1,1,A1,15,3.648244012532804e-06,5.525662199243971e-07,3.648244012532804e-06,5.804407013699376e-07,1.0,1.0000000193211258,20
qwen3-235b,base,1,1,A1,17,0.0004632328844925,0.0004609971153003209,0.0004632328844925,0.00046104964648639057,1.0,1.000000036423483,20
qwen3-235b,base,1,1,A1,18,0.0004628889206669,0.0004609971153003209,0.0004628889206669,0.00046104964648639057,1.0,1.000000036423483,20
qwen3-235b,base,1,1,A1,19,0.0074346267288682,0.0004609971153003209,0.0074346267288682,0.00046104964648639057,1.0,1.000000036423483,20
qwen3-235b,base,1,2,A2,4,1.8642461272174111,1.8625007537683778,1.8642461272174111,1.8642079614292029,1.0,0.995977536298966,20
qwen3-235b,base,1,2,A2,5,1.9545106591606536,1.8625007537683778,1.9545106591606536,1.8642079614292029,1.0,0.995977536298966,20
qwen3-235b,base,1,2,A2,8,0.1831047002748582,0.005242830762335918,0.1831047002748582,0.005242877462610139,1.0,1.0000000324882279,20
qwen3-235b,base,1,2,A2,11,1.7195995406224742,1.1934539282753653,1.7195995406224742,1.1934116740614562,1.0,0.9998304140338689,20
qwen3-235b,base,1,2,A2,13,0.0509771655889,6.274642973281413e-08,0.0509771655889,6.564522434220475e-08,1.0,1.0000000020092914,20
qwen3-235b,base,1,2,A2,15,1.218260389819093,0.8449284548356456,1.218260389819093,0.8449284162686307,1.0,0.99999993548148,20
qwen3-235b,base,1,2,A2,22,2.2210259122589304e-05,5.528231985383587e-06,2.2210259122589304e-05,5.659298828176174e-06,1.0,1.0000000908489648,20
qwen3-235b,base,1,2,A2,48,0.2384416210974283,7.688814222586521e-05,0.2384416210974283,7.665289402014047e-05,1.0,0.999999836929692,20
qwen3-235b,base,1,2,A2,50,3.831678021544674e-06,2.1118545472001844e-06,3.831678021544674e-06,2.228185713979465e-06,1.0,1.0000000806347416,20
qwen3-235b,base,1,2,A2,81,8.267297083859555e-06,5.281403050695616e-07,8.267297083859555e-06,5.575660786681014e-07,1.0,1.0000000203963997,20
qwen3-235b,base,1,2,A2,82,2.2479637794140512e-06,5.281403050695616e-07,2.2479637794140512e-06,5.575660786681014e-07,1.0,1.0000000203963997,20
qwen3-235b,base,1,2,A2,84,1.4723642826181127,1.4307011352883447,1.4723642826181127,1.4307011124107158,1.0,0.9999980923469755,20
qwen3-235b,base,1,2,A2,91,1.3956218089901354e-05,2.5824799592455968e-08,1.3956218089901354e-05,2.6952432930298338e-08,1.0,1.0000000007816159,20
qwen3-235b,base,1,2,A2,112,0.4478869558020876,0.00021894354990892098,0.4478869558020876,0.00021890091107923046,1.0,0.9999999704405299,20
qwen3-235b,base,1,2,A2,117,0.0077468215790763,1.2715387878696187e-06,0.0077468215790763,1.3424017152776036e-06,1.0,1.0000000491184828,20
qwen3-235b,base,1,2,A2,119,1.9189637414007176e-06,2.7158374763998305e-08,1.9189637414007176e-06,2.8347366851190727e-08,1.0,1.0000000008241465,20
qwen3-235b,base,1,2,A2,121,0.5218749346485491,7.945588486014215e-07,0.5218749346485491,8.353136341151715e-07,1.0,1.0000000282490806,20
qwen3-235b,base,1,2,A2,125,3.1347065401140566e-06,1.9308294807145684e-06,3.1347065401140566e-06,1.856925540511478e-06,1.0,0.999999948773625,20
qwen3-235b,base,1,2,A2,126,2.9627243197914907e-06,1.9308294807145684e-06,2.9627243197914907e-06,1.856925540511478e-06,1.0,0.999999948773625,20
qwen3-235b,base,1,2,A2,129,3.847183566973435e-06,2.355615326186122e-07,3.847183566973435e-06,2.4695998532231735e-07,1.0,1.0000000079008067,20
qwen3-235b,base,1,2,A1,5,0.0116505014593378,0.00011192983952519266,0.0116505014593378,0.00011200407302025807,1.0,1.0000000514587315,20
qwen3-235b,base,1,2,A1,28,0.0002283740908249,0.00014428192761308835,0.0002283740908249,0.00014404298551244128,1.0,0.999999834361405,20
qwen3-235b,base,1,4,A1,5,0.5203889762848875,0.40442899654518244,0.5203889762848875,0.40442332183628776,1.0,0.9999945344457151,20
qwen3-235b,base,1,4,A1,14,8.803151833141529e-06,6.739364451201105e-06,8.803151833141529e-06,6.758535183181667e-06,1.0,1.000000013288201,20
qwen3-235b,base,1,4,A1,20,1.1661800373038122e-05,4.782543542866357e-06,1.1661800373038122e-05,4.710397296553374e-06,1.0,0.9999999499918683,20
qwen3-235b,base,1,4,A1,27,0.0001686524946004,1.0110628494640586e-05,0.0001686524946004,9.976307966994146e-06,1.0,0.9999999068954568,20
qwen3-235b,base,1,4,A1,29,2.739142268817063e-06,1.5940941501836136e-07,2.739142268817063e-06,1.671533296411876e-07,1.0,1.0000000053676732,20
qwen3-235b,base,1,4,A1,34,4.534312579258016e-06,2.3476568197901376e-07,4.534312579258016e-06,2.4606874787598844e-07,1.0,1.0000000078346896,20
