column,max_abs_diff,n_nan_mismatch
runs_present,0.0,0
runs_paired,0.0,0
H1_bits,1.2212453270876722e-15,0
H2_bits,1.5543122344752192e-15,0
sum_H_bits,2.220446049250313e-15,0
I_bits,1.3600232051658168e-15,0
H_system_bits,2.6645352591003757e-15,0
I_shuffled_bits,1.3201110126911941e-15,0
I_minus_shuffled_bits,1.4988010832439613e-15,0
hard_H1_bits,4.440892098500626e-16,0
hard_H2_bits,4.440892098500626e-16,0
hard_I_bits,1.0547118733938987e-15,0
hard_I_miller_madow_bits,1.1102230246251565e-15,0
hard_H_system_bits,1.3322676295501878e-15,0
p1_READ,3.3306690738754696e-16,0
p1_WRITE,3.3306690738754696e-16,0
p1_DECRYPT,2.220446049250313e-16,0
p1_SUBMIT,9.71445146547012e-17,0
p1_OTHER,3.3306690738754696e-16,0
p1_DONE,6.938893903907228e-17,0
p2_READ,2.220446049250313e-16,0
p2_WRITE,2.220446049250313e-16,0
p2_DECRYPT,2.220446049250313e-16,0
p2_SUBMIT,8.326672684688674e-17,0
p2_OTHER,3.3306690738754696e-16,0
p2_DONE,8.326672684688674e-17,0
tokH_A1_mean,1.1102230246251565e-16,0
tokS_A1_mean,2.220446049250313e-16,0
tokH_A1_n,0.0,0
tokH_A2_mean,1.1102230246251565e-16,0
tokS_A2_mean,1.1102230246251565e-16,0
tokH_A2_n,0.0,0
