model,condition,seed,pre,post,prepost,level,end_turn,spec,metric,window,adjust
gpt-4o-mini,base,1,0.1688354217151483,0.29775328931866946,0.12891786760352117,0.29775328931866946,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,2,0.5729535406532393,0.26263565406849043,-0.3103178865847489,0.26263565406849043,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,3,0.2520836573652119,0.3127101450294703,0.06062648766425843,0.3127101450294703,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,4,0.2263160818490546,0.23496807299053435,0.008651991141479742,0.23496807299053435,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,5,0.2544717058054559,0.2728522946691642,0.018380588863708303,0.2728522946691642,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,6,0.17642561094910816,0.1823729481400232,0.005947337190915031,0.1823729481400232,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,7,0.33235447759125153,0.481088988897273,0.14873451130602144,0.481088988897273,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,8,0.39258520767266486,0.5026872852933526,0.11010207762068774,0.5026872852933526,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,9,0.2133068193674395,0.22523988560933922,0.011933066241899715,0.22523988560933922,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,10,0.19019565888459053,0.5093345846771109,0.31913892579252034,0.5093345846771109,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,11,0.31921774890403665,0.25274033940342344,-0.0664774095006132,0.25274033940342344,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,12,0.21769736178409024,0.5339361810393639,0.31623881925527364,0.5339361810393639,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,13,0.36180947031397154,0.2804300070810535,-0.08137946323291806,0.2804300070810535,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,14,0.20364383347429943,0.09627183550920429,-0.10737199796509514,0.09627183550920429,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,15,0.3733305292367607,0.3493084773117924,-0.024022051924968313,0.3493084773117924,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,16,0.2764124288143988,0.3140305602868837,0.037618131472484884,0.3140305602868837,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,17,0.20762861003303576,0.5242001691487267,0.3165715591156909,0.5242001691487267,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,18,0.16784777172614881,0.7328052014345332,0.5649574297083844,0.7328052014345332,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,19,0.24584226329004988,0.14560264047942442,-0.10023962281062546,0.14560264047942442,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,base,20,0.3025631015229501,0.31282882592704325,0.01026572440409318,0.31282882592704325,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,1,0.3246963075538614,0.46373399574681873,0.1390376881929573,0.46373399574681873,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,2,0.3402513539189987,0.27671381227622305,-0.06353754164277564,0.27671381227622305,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,3,0.2198975319538976,0.5582838533899801,0.3383863214360825,0.5582838533899801,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,4,0.19101906771862048,0.31891209493816947,0.12789302721954898,0.31891209493816947,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,5,0.21505064491734846,0.24690332680918026,0.0318526818918318,0.24690332680918026,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,6,0.2193777345698714,0.3581622534096002,0.13878451883972878,0.3581622534096002,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,7,0.2006235575942432,0.2659883304096934,0.0653647728154502,0.2659883304096934,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,8,0.20654982448366993,0.19279512102128277,-0.013754703462387163,0.19279512102128277,20,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,9,0.23985247255978484,0.21239887774619012,-0.027453594813594717,0.21239887774619012,11,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,10,0.2811154952679831,0.3589177536337254,0.07780225836574234,0.3589177536337254,27,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,11,0.40253184754226384,0.21092885736958195,-0.1916029901726819,0.21092885736958195,17,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,12,0.34243777374122725,0.194329897184055,-0.14810787655717225,0.194329897184055,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,13,0.3056285863681986,0.2525002918055431,-0.0531282945626555,0.2525002918055431,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,14,0.29413724980651673,0.18964473219256245,-0.10449251761395428,0.18964473219256245,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,15,0.37853373313939925,0.2823456182586503,-0.09618811488074896,0.2823456182586503,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,16,0.2898086583914487,0.4384127645667628,0.1486041061753141,0.4384127645667628,20,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,17,0.23121458131018538,0.35842999624416033,0.12721541493397495,0.35842999624416033,21,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,18,0.2250553824611037,0.5440504983228356,0.3189951158617319,0.5440504983228356,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,19,0.24047185378330269,0.7244837412256135,0.48401188744231083,0.7244837412256135,18,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,placebo,20,0.3385499535892828,0.2457810152739295,-0.0927689383153533,0.2457810152739295,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,switch,1,0.15987736886548637,0.21414692734650834,0.05426955848102197,0.21414692734650834,30,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,switch,2,0.3433050005087713,0.23876890753351404,-0.10453609297525723,0.23876890753351404,20,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,switch,3,0.16998932695220634,0.24720381704992303,0.07721449009771669,0.24720381704992303,10,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,switch,4,0.32036519536960967,0.28759523005683574,-0.03276996531277393,0.28759523005683574,25,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,switch,5,0.34303275046776516,0.1944680092969327,-0.14856474117083246,0.1944680092969327,20,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,switch,6,0.4201194585640492,0.20446216279034432,-0.21565729577370488,0.20446216279034432,20,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,switch,7,0.3095510652940726,0.2069544190033295,-0.10259664629074311,0.2069544190033295,20,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,switch,8,0.19180652136751197,0.45735417280513807,0.2655476514376261,0.45735417280513807,24,main,mean_H_renorm_bits,5,raw
gpt-4o-mini,switch,9,0.24348358139964674,0.22544985916349006,-0.01803372223615668,0.22544985916349006,20,main,mean_H_renorm_bits,5,raw
