model,condition,seed,align,direction,role,agent,rel,action,y_raw,y_adj,mean_surprisal_bits
gpt-4o-mini,switch,1,tau_read,A2->A1,receiver,A1,-5,read_log,0.3826410962397856,0.34356421108294916,0.1817371628544454
gpt-4o-mini,switch,1,tau_read,A2->A1,receiver,A1,-4,read_log,0.2736309868998565,0.23455410174302005,3.1472818228587944
gpt-4o-mini,switch,1,tau_read,A2->A1,receiver,A1,-3,decrypt,0.1007977844278936,0.10332899698967879,0.0200503261147868
gpt-4o-mini,switch,1,tau_read,A2->A1,receiver,A1,-2,decrypt,0.3515056451330854,0.34320564811666654,0.2075226103655666
gpt-4o-mini,switch,1,tau_read,A2->A1,receiver,A1,-1,write_log,0.3535939114064664,0.3632139548950076,0.3555843316416025
gpt-4o-mini,switch,1,tau_read,A2->A1,receiver,A1,0,read_log,0.2664433466119673,0.22736646145513084,0.0919110757632589
gpt-4o-mini,switch,1,tau_read,A2->A1,receiver,A1,1,write_log,0.0588201966316423,0.0684402401201835,0.022048746857237
gpt-4o-mini,switch,1,tau_read,A2->A1,receiver,A1,2,decrypt,0.1702498994849191,0.1727811120467043,0.0362307059742876
gpt-4o-mini,switch,1,tau_read,A2->A1,receiver,A1,3,decrypt,0.2400269937397137,0.23543542555325436,0.147879003620665
gpt-4o-mini,switch,1,tau_read,A2->A1,receiver,A1,4,write_log,0.6664993309757243,0.6763006698476811,0.6311703682011658
gpt-4o-mini,switch,1,tau_read,A2->A1,receiver,A1,5,decrypt,4.294425046607345e-05,-0.002313058418066166,3.4009801615836536e-06
gpt-4o-mini,switch,1,tau_read,A2->A1,author,A2,-5,decrypt,0.1251795357732806,0.1259650328727531,0.044982801369464
gpt-4o-mini,switch,1,tau_read,A2->A1,author,A2,-4,decrypt,0.1551332333080385,0.1510573432885678,0.0763524474531043
gpt-4o-mini,switch,1,tau_read,A2->A1,author,A2,-3,write_log,0.194379693496649,0.20097675186344222,0.1713441130716133
gpt-4o-mini,switch,1,tau_read,A2->A1,author,A2,-2,decrypt,0.3373416392723836,0.3381271363718561,0.1310017881030139
gpt-4o-mini,switch,1,tau_read,A2->A1,author,A2,-1,decrypt,0.1298173684258624,0.12800575025732694,0.1983617477132003
gpt-4o-mini,switch,1,tau_read,A2->A1,author,A2,0,write_log,0.1751849289233587,0.18183020852501056,0.1517085133654881
gpt-4o-mini,switch,1,tau_read,A2->A1,author,A2,1,decrypt,0.114080625585351,0.1148661226848235,0.042247985654792
gpt-4o-mini,switch,1,tau_read,A2->A1,author,A2,2,decrypt,0.1844317119900472,0.1803558219705765,0.1027453581678618
gpt-4o-mini,switch,1,tau_read,A2->A1,author,A2,3,write_log,0.2931620426145065,0.2999549037210126,0.4468265277265917
gpt-4o-mini,switch,1,tau_read,A2->A1,author,A2,4,decrypt,0.2757952484192982,0.27370387320996875,0.4637469064950983
gpt-4o-mini,switch,1,tau_read,A2->A1,author,A2,5,decrypt,0.1390951838542354,0.13700380864490594,0.0356529099834643
gpt-4o-mini,switch,1,tau_use,A2->A1,receiver,A1,-5,decrypt,1.219391624155968e-05,-0.0023438087522906796,8.60968649410102e-07
gpt-4o-mini,switch,1,tau_use,A2->A1,receiver,A1,-4,write_log,0.3998240195945087,0.408857706204131,0.3205796515139698
gpt-4o-mini,switch,1,tau_use,A2->A1,receiver,A1,-3,decrypt,0.1215774863422299,0.12410869890401509,0.0244838488866882
gpt-4o-mini,switch,1,tau_use,A2->A1,receiver,A1,-2,decrypt,0.2656586140710025,0.25908253107440193,0.2178638728489814
gpt-4o-mini,switch,1,tau_use,A2->A1,receiver,A1,-1,read_log,0.331504411788028,0.29242752663119154,1.3832356509888155
gpt-4o-mini,switch,1,tau_use,A2->A1,receiver,A1,0,write_log,0.3717569746106081,0.37518232067057644,0.3792351509669521
gpt-4o-mini,switch,1,tau_use,A2->A1,receiver,A1,1,read_log,0.0535390987249682,0.014462213568131772,0.0086946568131645
gpt-4o-mini,switch,1,tau_use,A2->A1,author,A2,-5,decrypt,0.040699640885102,0.04148513798457451,0.0065050943737109
gpt-4o-mini,switch,1,tau_use,A2->A1,author,A2,-4,decrypt,0.1612837887133981,0.1572078986939274,0.2549231735417046
gpt-4o-mini,switch,1,tau_use,A2->A1,author,A2,-3,write_log,0.10386467664641,0.11060784782614923,0.0796572917297923
gpt-4o-mini,switch,1,tau_use,A2->A1,author,A2,-2,decrypt,0.1532865586098535,0.154072055709326,0.0628150990224231
gpt-4o-mini,switch,1,tau_use,A2->A1,author,A2,-1,decrypt,0.4595686502066807,0.45422260450540414,0.5010837842130726
gpt-4o-mini,switch,1,tau_use,A2->A1,author,A2,0,write_log,0.0992420922561584,0.10650643785921614,0.0704550720130678
gpt-4o-mini,switch,1,tau_use,A2->A1,author,A2,1,decrypt,0.0848132362268375,0.08559873332631,0.0174820146035729
gpt-4o-mini,switch,2,tau_read,A1->A2,receiver,A2,-5,write_log,0.0805058243663216,0.08817110642356692,0.0456949526254748
gpt-4o-mini,switch,2,tau_read,A1->A2,receiver,A2,-4,decrypt,0.0661433752582493,0.06462847919341168,0.0688477224144428
gpt-4o-mini,switch,2,tau_read,A1->A2,receiver,A2,-3,write_log,0.2195208384876574,0.22626400966739665,0.1594075112113212
gpt-4o-mini,switch,2,tau_read,A1->A2,receiver,A2,-2,decrypt,0.0134241878346927,0.01190929176985508,0.0023565935298673
gpt-4o-mini,switch,2,tau_read,A1->A2,receiver,A2,-1,write_log,0.0856694766885812,0.09390378257166834,0.0785005983136071
gpt-4o-mini,switch,2,tau_read,A1->A2,receiver,A2,0,read_log,0.4557645765669018,0.41668769141006534,0.8204747087661365
gpt-4o-mini,switch,2,tau_read,A1->A2,author,A1,-5,decrypt,0.633236153597769,0.635113808008722,1.3536834708306444
gpt-4o-mini,switch,2,tau_read,A1->A2,author,A1,-4,decrypt,0.2246892774684209,0.21845087426848364,0.2862825377794301
gpt-4o-mini,switch,2,tau_read,A1->A2,author,A1,-3,read_log,0.5074851977767276,0.4684083126198912,0.5979175174000827
gpt-4o-mini,switch,2,tau_read,A1->A2,author,A1,-2,submit,0.1104953863793686,0.2750312454467292,0.0849514517316422
gpt-4o-mini,switch,2,tau_read,A2->A1,receiver,A1,-5,decrypt,0.1638935531218735,0.16642476568365872,0.0382459703516789
gpt-4o-mini,switch,2,tau_read,A2->A1,receiver,A1,-4,decrypt,0.3590904902554848,0.3506398839483141,0.4098504103702905
gpt-4o-mini,switch,2,tau_read,A2->A1,receiver,A1,-3,write_log,0.3500473273613604,0.35940742928454394,0.2301961593718028
gpt-4o-mini,switch,2,tau_read,A2->A1,receiver,A1,-2,decrypt,0.633236153597769,0.635113808008722,1.3536834708306444
gpt-4o-mini,switch,2,tau_read,A2->A1,receiver,A1,-1,decrypt,0.2246892774684209,0.21845087426848364,0.2862825377794301
gpt-4o-mini,switch,2,tau_read,A2->A1,receiver,A1,0,read_log,0.5074851977767276,0.4684083126198912,0.5979175174000827
gpt-4o-mini,switch,2,tau_read,A2->A1,receiver,A1,1,submit,0.1104953863793686,0.2750312454467292,0.0849514517316422
gpt-4o-mini,switch,2,tau_read,A2->A1,author,A2,-5,write_log,0.1840200160118495,0.1914521865961044,0.1839644746137358
gpt-4o-mini,switch,2,tau_read,A2->A1,author,A2,-4,decrypt,0.1950241625996491,0.19580965969912162,0.06329778288429
gpt-4o-mini,switch,2,tau_read,A2->A1,author,A2,-3,decrypt,0.0527165206741671,0.05120162460932948,0.0172607533046185
gpt-4o-mini,switch,2,tau_read,A2->A1,author,A2,-2,write_log,0.0805058243663216,0.08817110642356692,0.0456949526254748
gpt-4o-mini,switch,2,tau_read,A2->A1,author,A2,-1,decrypt,0.0661433752582493,0.06462847919341168,0.0688477224144428
gpt-4o-mini,switch,2,tau_read,A2->A1,author,A2,0,write_log,0.2195208384876574,0.22626400966739665,0.1594075112113212
gpt-4o-mini,switch,2,tau_read,A2->A1,author,A2,1,decrypt,0.0134241878346927,0.01190929176985508,0.0023565935298673
gpt-4o-mini,switch,2,tau_read,A2->A1,author,A2,2,write_log,0.0856694766885812,0.09390378257166834,0.0785005983136071
gpt-4o-mini,switch,2,tau_read,A2->A1,author,A2,3,read_log,0.4557645765669018,0.41668769141006534,0.8204747087661365
gpt-4o-mini,switch,2,tau_use,A2->A1,receiver,A1,-5,decrypt,0.3590904902554848,0.3506398839483141,0.4098504103702905
gpt-4o-mini,switch,2,tau_use,A2->A1,receiver,A1,-4,write_log,0.3500473273613604,0.35940742928454394,0.2301961593718028
gpt-4o-mini,switch,2,tau_use,A2->A1,receiver,A1,-3,decrypt,0.633236153597769,0.635113808008722,1.3536834708306444
gpt-4o-mini,switch,2,tau_use,A2->A1,receiver,A1,-2,decrypt,0.2246892774684209,0.21845087426848364,0.2862825377794301
gpt-4o-mini,switch,2,tau_use,A2->A1,receiver,A1,-1,read_log,0.5074851977767276,0.4684083126198912,0.5979175174000827
gpt-4o-mini,switch,2,tau_use,A2->A1,receiver,A1,0,submit,0.1104953863793686,0.2750312454467292,0.0849514517316422
gpt-4o-mini,switch,2,tau_use,A2->A1,author,A2,-5,decrypt,0.1950241625996491,0.19580965969912162,0.06329778288429
gpt-4o-mini,switch,2,tau_use,A2->A1,author,A2,-4,decrypt,0.0527165206741671,0.05120162460932948,0.0172607533046185
gpt-4o-mini,switch,2,tau_use,A2->A1,author,A2,-3,write_log,0.0805058243663216,0.08817110642356692,0.0456949526254748
gpt-4o-mini,switch,2,tau_use,A2->A1,author,A2,-2,decrypt,0.0661433752582493,0.06462847919341168,0.0688477224144428
gpt-4o-mini,switch,2,tau_use,A2->A1,author,A2,-1,write_log,0.2195208384876574,0.22626400966739665,0.1594075112113212
gpt-4o-mini,switch,2,tau_use,A2->A1,author,A2,0,decrypt,0.0134241878346927,0.01190929176985508,0.0023565935298673
