model,align,role,rel,metric,n,mean,ci_low,ci_high,frac_read_log
gpt-4o-mini,tau_placebo_read,author,-5,y_raw,29,0.2796875502650067,0.20270166440847653,0.35637047678574685,0.20689655172413793
gpt-4o-mini,tau_placebo_read,author,-5,y_adj,29,0.27916971069489765,0.2020098828164373,0.3532921263030209,0.20689655172413793
gpt-4o-mini,tau_placebo_read,author,-5,mean_surprisal_bits,29,0.29961481586107236,0.17888820722988577,0.44066531475828596,0.20689655172413793
gpt-4o-mini,tau_placebo_read,author,-4,y_raw,28,0.34393526718352235,0.2255221629677647,0.5179079821720179,0.0
gpt-4o-mini,tau_placebo_read,author,-4,y_adj,28,0.3477426075192976,0.22906305059649976,0.5212073319876892,0.0
gpt-4o-mini,tau_placebo_read,author,-4,mean_surprisal_bits,28,0.31280648793301474,0.16337688222959723,0.5287974778270781,0.0
gpt-4o-mini,tau_placebo_read,author,-3,y_raw,28,0.3005312288588645,0.22240578141310555,0.38618968684620564,0.14285714285714285
gpt-4o-mini,tau_placebo_read,author,-3,y_adj,28,0.2946601612007401,0.21607761087667374,0.37919738922768376,0.14285714285714285
gpt-4o-mini,tau_placebo_read,author,-3,mean_surprisal_bits,28,0.28282865916782357,0.15599683919415205,0.4687089367108191,0.14285714285714285
gpt-4o-mini,tau_placebo_read,author,-2,y_raw,28,0.25627830338643387,0.18185408539985728,0.3454083868718933,0.0
gpt-4o-mini,tau_placebo_read,author,-2,y_adj,28,0.2660792656924506,0.19093623629282172,0.3542648842236396,0.0
gpt-4o-mini,tau_placebo_read,author,-2,mean_surprisal_bits,28,0.24691167591406193,0.1427079354935985,0.3876178012781987,0.0
gpt-4o-mini,tau_placebo_read,author,-1,y_raw,27,0.4343572589436746,0.22355591907118896,0.6919478151709767,0.14814814814814814
gpt-4o-mini,tau_placebo_read,author,-1,y_adj,27,0.4299623806957853,0.22003310962212314,0.6886500181147212,0.14814814814814814
gpt-4o-mini,tau_placebo_read,author,-1,mean_surprisal_bits,27,0.5858995225709416,0.2934597873712853,0.945121443369246,0.14814814814814814
gpt-4o-mini,tau_placebo_read,author,0,y_raw,27,0.22929428397566912,0.15128358606422707,0.31930308558602905,0.0
gpt-4o-mini,tau_placebo_read,author,0,y_adj,27,0.24284323944060884,0.16295144897180486,0.33359421969185993,0.0
gpt-4o-mini,tau_placebo_read,author,0,mean_surprisal_bits,27,0.23419794322240073,0.12212794888527533,0.37093344089103836,0.0
gpt-4o-mini,tau_placebo_read,author,1,y_raw,25,0.35574839284447923,0.27003629721718686,0.4456438030094302,0.12
gpt-4o-mini,tau_placebo_read,author,1,y_adj,25,0.35469535971482236,0.268323844207622,0.44474749508952205,0.12
gpt-4o-mini,tau_placebo_read,author,1,mean_surprisal_bits,25,0.31318806379338243,0.20125549365060955,0.4538090791626468,0.12
gpt-4o-mini,tau_placebo_read,author,2,y_raw,25,0.47744431702748696,0.2120964348703162,0.8027832879306321,0.04
gpt-4o-mini,tau_placebo_read,author,2,y_adj,25,0.48281761159873665,0.22215905718411702,0.8049045287370273,0.04
gpt-4o-mini,tau_placebo_read,author,2,mean_surprisal_bits,25,0.4927254485832091,0.1922547867528117,0.8676405676479327,0.04
gpt-4o-mini,tau_placebo_read,author,3,y_raw,24,0.2703206639669138,0.2102973903628091,0.3338935677533308,0.125
gpt-4o-mini,tau_placebo_read,author,3,y_adj,24,0.2734768153917257,0.21647451882767468,0.3354232854265021,0.125
gpt-4o-mini,tau_placebo_read,author,3,mean_surprisal_bits,24,0.29799630921705117,0.18806066927397735,0.45921434634347635,0.125
gpt-4o-mini,tau_placebo_read,author,4,y_raw,22,0.2078094231266618,0.1457103936252613,0.27934372999635937,0.0
gpt-4o-mini,tau_placebo_read,author,4,y_adj,22,0.21027373283177592,0.1468937277153413,0.2816296402699784,0.0
gpt-4o-mini,tau_placebo_read,author,4,mean_surprisal_bits,22,0.20031432440251284,0.1201856589600653,0.2918117993611598,0.0
gpt-4o-mini,tau_placebo_read,author,5,y_raw,22,0.2306951380196565,0.17555682262440891,0.2844621941873662,0.13636363636363635
gpt-4o-mini,tau_placebo_read,author,5,y_adj,22,0.23378620042754603,0.17624485482522065,0.2892868740465146,0.13636363636363635
gpt-4o-mini,tau_placebo_read,author,5,mean_surprisal_bits,22,0.17781818476197747,0.11677410024697119,0.24440166387765658,0.13636363636363635
