model,align,role,metric,n_events,post_minus_pre,ci_low,ci_high,n_pos
gpt-4o-mini,tau_placebo_read,author,y_raw,25,0.02661147555795676,-0.046823089603793534,0.10456767744319569,13
gpt-4o-mini,tau_placebo_read,author,y_adj,25,0.030743579814091433,-0.043475750831641236,0.1090356074576765,14
gpt-4o-mini,tau_placebo_read,author,mean_surprisal_bits,25,0.01380112070512406,-0.09352957524640348,0.11609280944500701,12
gpt-4o-mini,tau_placebo_read,receiver,y_raw,36,-0.10052899239156693,-0.2108102461579132,-0.00032471691917585773,12
gpt-4o-mini,tau_placebo_read,receiver,y_adj,36,-0.014839467183935251,-0.11244906450542434,0.07474319532666088,21
gpt-4o-mini,tau_placebo_read,receiver,mean_surprisal_bits,36,-0.12829667188097002,-0.2723248538282703,0.0013219819792959294,12
gpt-4o-mini,tau_read,author,y_raw,28,-0.07520219152134987,-0.18030152218111822,0.031119584262400753,12
gpt-4o-mini,tau_read,author,y_adj,28,-0.057863959045798434,-0.16306529395162772,0.04723438764031665,14
gpt-4o-mini,tau_read,author,mean_surprisal_bits,28,-0.16548503845922852,-0.3594054282409493,0.006983466787142728,13
gpt-4o-mini,tau_read,receiver,y_raw,31,-0.09879823820743207,-0.22698168122252083,0.041798632206886316,9
gpt-4o-mini,tau_read,receiver,y_adj,31,-0.04445963541751,-0.1679081402961665,0.0912362731476483,13
gpt-4o-mini,tau_read,receiver,mean_surprisal_bits,31,-0.11563340287442758,-0.28138967112461755,0.0580352843860272,11
gpt-4o-mini,tau_use,author,y_raw,18,-0.11448438803668964,-0.24968683105196557,0.0010551001802493916,6
gpt-4o-mini,tau_use,author,y_adj,18,-0.10807635673549577,-0.24507374478031466,0.010435746871642745,7
gpt-4o-mini,tau_use,author,mean_surprisal_bits,18,-0.10218862666020705,-0.3049952758944589,0.08148092420728342,7
gpt-4o-mini,tau_use,receiver,y_raw,11,-0.036796076516030826,-0.1123499818641604,0.043076067696527595,4
gpt-4o-mini,tau_use,receiver,y_adj,11,-0.029454578858260562,-0.1064882255329244,0.05087008770170299,4
gpt-4o-mini,tau_use,receiver,mean_surprisal_bits,11,-0.04274226718545753,-0.21760775468977372,0.13563798847410155,4
llama-3.3-70b,tau_placebo_read,author,y_raw,38,-0.01082077337826423,-0.047801701788872136,0.026273523220452146,17
llama-3.3-70b,tau_placebo_read,author,y_adj,38,-0.01795412454241426,-0.05200867825490659,0.01626723760509199,17
llama-3.3-70b,tau_placebo_read,author,mean_surprisal_bits,38,-0.01560441222859392,-0.06891294752704186,0.03672874102660956,20
llama-3.3-70b,tau_placebo_read,receiver,y_raw,38,0.014194439238870439,-0.029361803459333074,0.057626043663751805,17
llama-3.3-70b,tau_placebo_read,receiver,y_adj,38,-0.009519190718654378,-0.04929167169578195,0.02988793816594066,17
llama-3.3-70b,tau_placebo_read,receiver,mean_surprisal_bits,38,-0.007028102844938737,-0.06751334563868676,0.05255696980862535,19
llama-3.3-70b,tau_read,author,y_raw,40,-0.006221278385729746,-0.03716347281409808,0.023520603992103185,19
llama-3.3-70b,tau_read,author,y_adj,40,0.0017566615842765448,-0.025191286149644165,0.02767937349824546,20
llama-3.3-70b,tau_read,author,mean_surprisal_bits,40,0.005088075978432143,-0.03878486134282722,0.04931266131717592,19
llama-3.3-70b,tau_read,receiver,y_raw,40,-0.0062532378736853385,-0.03884437510853611,0.025967484519459842,18
llama-3.3-70b,tau_read,receiver,y_adj,40,-0.0036712731176216365,-0.033226074140792615,0.025906298452821722,18
llama-3.3-70b,tau_read,receiver,mean_surprisal_bits,40,-0.000877673429514176,-0.047495757480129304,0.04543978600698486,19
llama-3.3-70b,tau_use,author,y_raw,36,-0.017551808769677792,-0.0488242433257298,0.012245551885949202,16
llama-3.3-70b,tau_use,author,y_adj,36,-0.009568519060765529,-0.0371453321530006,0.015585759412056668,17
llama-3.3-70b,tau_use,author,mean_surprisal_bits,36,-0.032420548580686354,-0.07559895454904406,0.009233221866221924,16
llama-3.3-70b,tau_use,receiver,y_raw,37,-0.006193942380222028,-0.04090939861514543,0.028635580154109493,14
llama-3.3-70b,tau_use,receiver,y_adj,37,-0.03544875002757335,-0.05672258559736511,-0.014444594945012223,8
llama-3.3-70b,tau_use,receiver,mean_surprisal_bits,37,-0.012163873603413037,-0.05180112569430271,0.026825704827270064,16
qwen3-235b,tau_placebo_read,author,y_raw,38,-0.0002728415117497189,-0.08376316880009461,0.08537113117470103,18
qwen3-235b,tau_placebo_read,author,y_adj,38,0.07282652604084779,0.0068996405538987796,0.14209395402631753,24
