model,condition,turn,runs_paired,I_minus_shuffled,hard_I_MM,null95_soft,null95_hard,p_perm_soft,p_perm_hard,H_system_bits,H_system_ci_low,H_system_ci_high,sum_H_bits
gpt-4o-mini,base,1,20,2.8508662444637345e-13,0.0,6.849085686620736e-12,0.0,1.0,1.0,0.0033172740740564,0.0028978445964171,0.0037217145361101,0.0033172740743425
gpt-4o-mini,base,2,20,2.9598868495073205e-11,0.0,3.916535579705227e-09,0.0,0.8682634730538922,1.0,0.0200919167385536,0.0054920846808828,0.0366391247430027,0.0200919167682377
gpt-4o-mini,base,3,20,0.003116156089869815,0.03414403902960417,0.02753250855578275,0.19916354029567018,0.7405189620758483,0.7465069860279441,1.380402620103227,0.8403660711892329,1.6592363314234255,1.3835263922517125
gpt-4o-mini,base,4,20,0.03254017108999108,0.30984030471640045,0.09969512965836491,0.1982841784778293,0.26147704590818366,0.043912175648702596,2.0370811379157763,1.4539530040777389,2.309516206890484,2.069712095047677
gpt-4o-mini,base,5,20,0.010745705678578243,-0.06165724913549073,0.1941120469007332,0.1968209237133891,0.8962075848303394,1.0,2.3129011791245246,1.6384612797824607,2.467848969003392,2.323676248984647
gpt-4o-mini,base,6,20,0.0387068961983732,0.0013989973065111905,0.145079220870437,0.312154501994907,0.5608782435129741,0.936127744510978,2.357701127065002,1.7607007978929985,2.594871103850892,2.396498749085784
gpt-4o-mini,base,7,20,0.010490037031282373,0.008054728391176297,0.17215980719597657,0.2877310418910587,0.9820359281437125,0.9041916167664671,2.648669548520345,2.054039238275149,2.8944098560535783,2.6591886253097936
gpt-4o-mini,base,8,20,0.10374840534575025,0.05859384666592195,0.1742407953462496,0.30174669519196096,0.22554890219560877,1.0,2.735403264316943,2.367131914558184,2.7532816001324187,2.8394249604090334
gpt-4o-mini,base,9,20,0.22433681060488642,0.2684381260894426,0.15192323498848637,0.302413303113346,0.007984031936127744,0.09580838323353294,2.662150948764977,2.142046116169411,2.79651276954562,2.88716418211395
gpt-4o-mini,base,10,20,0.019405869575864543,0.04412210441340038,0.14652447410895494,0.2635948257282148,0.7864271457085829,1.0,2.5125801806917933,2.006207363607994,2.6583496611513886,2.5320416527266336
gpt-4o-mini,base,11,20,0.0196197304726744,0.1030084943655383,0.14638407250242458,0.27682024549593587,0.7524950099800399,0.4491017964071856,2.4444475428222323,1.8240423753747856,2.6130970096681136,2.4641179071407637
gpt-4o-mini,base,12,20,0.09910434576460458,0.12669632713356194,0.1628992557526775,0.2876603745772428,0.20758483033932135,0.35129740518962077,2.5021378725825563,1.949251126395584,2.656984334509929,2.6015050874372703
gpt-4o-mini,base,13,20,0.03329445388004526,0.0557692582824756,0.16966859106537618,0.2035001804016363,0.6107784431137725,0.5109780439121756,2.4482794199472773,1.9806504370931812,2.5526098104731583,2.4816512317205786
gpt-4o-mini,base,14,20,0.092927416623386,0.023327092193873994,0.20253538740933005,0.3021321168297648,0.3393213572854291,0.7564870259481038,2.6130918410174955,2.1941688724665043,2.670788231865848,2.7062495822927883
gpt-4o-mini,base,15,20,0.01302142124090011,0.044204878085227356,0.17581339484374717,0.27318678160363685,0.9461077844311377,0.6467065868263473,2.731372392028601,2.201777003886606,2.833237711999001,2.744429327742094
gpt-4o-mini,base,16,20,0.10793579104415585,0.12514128941275662,0.17949219818089057,0.33792149107255076,0.26147704590818366,0.4151696606786427,2.680827960084458,1.935467342599535,2.845675194697446,2.78908606856083
gpt-4o-mini,base,17,20,0.09586214517037206,0.10646050297705403,0.15774099642297829,0.3222092811709434,0.20958083832335328,0.36127744510978044,2.8022477187394856,2.2203203996044656,2.909176577633971,2.8983647920335214
gpt-4o-mini,base,18,20,0.06042565309456149,0.1366828741445496,0.1640601543101769,0.25410865142438777,0.4630738522954092,0.405189620758483,2.6971216079391,2.2381372602939136,2.7916416045665917,2.757698375955176
gpt-4o-mini,base,19,20,0.11363540518324289,0.05398599479823221,0.1966851573058878,0.3145646206041093,0.24750499001996007,0.6746506986027944,2.7304111584629136,2.1678183770242203,2.83941582353928,2.8443866602383983
gpt-4o-mini,base,20,20,0.1809038697937062,-0.044932197368010546,0.1678134319876599,0.3089101408874597,0.027944111776447105,1.0,2.301467753568886,1.9239883712583683,2.3515071039416187,2.4827964741999065
gpt-4o-mini,base,21,20,0.07965355734920543,0.1150872403748471,0.15293245614542406,0.2599170879868353,0.34331337325349304,0.3473053892215569,2.648448036466229,2.1189345645326294,2.763861611671395,2.7283276509622967
