model,seed,dI_comm,dH_comm,same_sign
gpt-4o-mini,1,0.35103578585918704,-0.17503710113216558,False
gpt-4o-mini,2,-0.04783046507455746,-0.006315361792744167,True
gpt-4o-mini,3,0.5611906907032297,-0.12310322346482239,False
gpt-4o-mini,4,-0.061427847910356714,1.1603567078855015e-06,False
gpt-4o-mini,5,-0.0770920597575816,-0.09011017581222047,True
gpt-4o-mini,6,0.18581205111042387,-0.026896447634417286,False
gpt-4o-mini,7,0.12519918191665813,-0.0743715019857566,False
gpt-4o-mini,8,-0.5070950387005297,0.03703862436824973,False
gpt-4o-mini,9,-0.2367244623951713,0.03366833293499458,False
gpt-4o-mini,10,-0.1337433522408521,0.16281859199847215,False
gpt-4o-mini,11,-0.04417993863242797,0.017843290073510043,False
gpt-4o-mini,12,0.485915795395536,0.10574628113522544,True
gpt-4o-mini,13,-0.35468428885710634,0.1313504007264387,False
gpt-4o-mini,14,0.2827428211166969,0.12187190715191681,True
gpt-4o-mini,15,0.1020626536952779,-0.13909877193852838,False
gpt-4o-mini,16,-0.07984237783784698,0.1523704751982809,False
gpt-4o-mini,17,0.18162611673501883,-0.17752500215476302,False
gpt-4o-mini,18,-0.24566928926492904,-0.0425503233030467,True
gpt-4o-mini,19,-0.11448366957657652,-0.02913713592897721,True
gpt-4o-mini,20,0.10383300260694461,-0.07260801361054298,False
llama-3.3-70b,1,-0.021710443953610006,-0.015316063134609481,True
llama-3.3-70b,2,-0.02173715387783024,-0.0403365230981739,True
llama-3.3-70b,4,-0.023445787905594543,-0.019100906498116188,True
llama-3.3-70b,5,-0.023622369586221846,0.023219106334272377,False
llama-3.3-70b,6,0.02255957380917793,0.07035258296591945,True
llama-3.3-70b,7,0.01991175105422818,0.032776143935056484,True
llama-3.3-70b,8,0.03775589530179696,0.029488559880383763,True
llama-3.3-70b,9,0.06104419800701146,-0.011029135846410909,False
llama-3.3-70b,10,0.019604303771662772,-0.015784636129995644,False
llama-3.3-70b,11,0.11294189068062017,-0.0089318262285972,False
llama-3.3-70b,12,0.03545977540736725,-0.011282712967735059,False
llama-3.3-70b,13,0.007485715820429353,-0.011063726406967567,False
llama-3.3-70b,14,-0.0014532959873165708,-0.03883802286151536,True
llama-3.3-70b,15,-0.022018623241350017,0.058548748647952786,False
llama-3.3-70b,16,0.010076865869609913,-0.014027663072016083,False
llama-3.3-70b,17,-0.02486336504203444,-0.02760823550892741,True
llama-3.3-70b,18,-0.007923643815510487,-0.057628867961973806,True
llama-3.3-70b,19,0.002417583907115304,-0.011647969403727781,False
llama-3.3-70b,20,0.009536213684713484,-0.028500443837399442,False
qwen3-235b,1,0.09651207587121316,0.08904721473545912,True
qwen3-235b,2,0.8728718736367884,0.0528277114961313,True
qwen3-235b,3,1.032834995664491,-0.046732886299371834,False
qwen3-235b,4,-0.255660650103832,-0.023174440080910186,True
qwen3-235b,5,-0.3440638749083513,-0.11128970429709167,True
qwen3-235b,6,0.09919263182575003,0.022887792424968578,True
qwen3-235b,7,-0.01970399338272344,-0.02434474860246144,True
qwen3-235b,8,-0.5573978448653608,-0.15882983535003428,True
qwen3-235b,9,-0.027508478569962164,0.024695378886328834,False
qwen3-235b,10,0.0914821997091137,-0.05910650472969292,False
qwen3-235b,11,-0.03824225236696141,0.234781995994596,False
qwen3-235b,12,-0.4948143849606558,0.13701499844634263,False
qwen3-235b,13,-1.3858429480697334,0.029890011177671094,False
qwen3-235b,14,-0.005351293074077612,-0.07840462380793453,True
qwen3-235b,15,-0.005539104808551271,0.04336265907332082,False
qwen3-235b,16,-0.39713516119123504,0.06688659271474379,False
qwen3-235b,17,-0.04297198858415335,0.028453059367276268,False
qwen3-235b,18,0.17461614516668367,0.06020350098164057,True
qwen3-235b,19,1.3078821622673584,-0.0349549716095309,False
qwen3-235b,20,-0.10460802101249983,0.14184004125399513,False
