model,condition,seed,turn,JS_bits,roll_corr5
gpt-4o-mini,base,1,1,0.00011109099167859872,
gpt-4o-mini,base,1,2,7.888656821375365e-05,
gpt-4o-mini,base,1,3,0.021530511853540484,
gpt-4o-mini,base,1,4,0.9643500463540781,0.8336670711605972
gpt-4o-mini,base,1,5,0.9926795388618572,0.7232901549988252
gpt-4o-mini,base,1,6,0.997000497911479,0.7334867286102245
gpt-4o-mini,base,1,7,0.08286235576911784,-0.43838912089778487
gpt-4o-mini,base,1,8,0.04616531137727215,-0.34011239960803463
gpt-4o-mini,base,1,9,0.0005673344939867138,0.07101679786348394
gpt-4o-mini,base,1,10,0.4763580701038443,-0.4984841794221173
gpt-4o-mini,base,1,11,0.0010949187930651993,-0.42761798906629717
gpt-4o-mini,base,1,12,0.8473380540671158,-0.6772496953010022
gpt-4o-mini,base,1,13,0.9996250823448458,-0.061454799662244874
gpt-4o-mini,base,1,14,0.6836637353550588,-0.06030400174621988
gpt-4o-mini,base,1,15,0.8910040745679215,0.6386941517494068
gpt-4o-mini,base,1,16,0.5736930227603126,0.6317498280239452
gpt-4o-mini,base,1,17,0.9710729277208185,0.6325468275115836
gpt-4o-mini,base,1,18,0.2758069676724436,-0.08127739427909236
gpt-4o-mini,base,1,19,0.32794695861437545,-0.1985176759716126
gpt-4o-mini,base,1,20,0.7393901526203106,-0.13475025847855737
gpt-4o-mini,base,1,21,0.9987129396030681,-0.1064927598698128
gpt-4o-mini,base,1,22,0.806883437007073,-0.015532139632170639
gpt-4o-mini,base,1,23,0.9424726902291091,0.07788988411293625
gpt-4o-mini,base,1,24,0.918686553353136,0.04089777282686802
gpt-4o-mini,base,1,25,0.7768190364219938,-0.24083696661625512
gpt-4o-mini,base,1,26,0.8971052167719658,0.06697467717170277
gpt-4o-mini,base,1,27,0.4967051357820118,-0.35635907777756604
gpt-4o-mini,base,1,28,0.7018783994371498,-0.36953007631883933
gpt-4o-mini,base,1,29,0.9361998263120896,-0.5208278257879111
gpt-4o-mini,base,1,30,0.5420960444479013,-0.6096744584750612
gpt-4o-mini,base,2,1,0.00011109108385608577,
gpt-4o-mini,base,2,2,0.006998494384868636,
gpt-4o-mini,base,2,3,0.017035880857214337,
gpt-4o-mini,base,2,4,0.27912510360003373,-0.2595535799286307
gpt-4o-mini,base,2,5,0.985722040467266,-0.19074217599579857
gpt-4o-mini,base,2,6,0.999364497068766,-0.18768815817174614
gpt-4o-mini,base,2,7,0.02259807899979166,-0.13730552297906903
gpt-4o-mini,base,2,8,0.02428569420094868,0.09147951238041668
gpt-4o-mini,base,2,9,0.03364256376040797,0.9259311433041798
gpt-4o-mini,base,2,10,0.03670492192253828,0.8856008889313036
gpt-4o-mini,base,2,11,0.0020363822906528804,0.4090013408524767
gpt-4o-mini,base,2,12,0.24021197407985798,-0.7393194869994284
gpt-4o-mini,base,2,13,0.07496067401672336,-0.0009692820367198354
gpt-4o-mini,base,2,14,0.0002700295930861441,-0.003650575088589632
gpt-4o-mini,base,2,15,0.11778802036710961,0.7026438692333594
gpt-4o-mini,base,2,16,0.03783150739330733,0.8912837708016537
gpt-4o-mini,base,2,17,0.12154249970193373,0.909894056450535
gpt-4o-mini,base,2,18,0.5617296264823344,0.8752439636851908
gpt-4o-mini,base,2,19,0.8048381990715623,0.7485319983300964
gpt-4o-mini,base,2,20,0.9817065804468568,-0.2680222014959147
gpt-4o-mini,base,2,21,0.20248290554792853,0.5576918125764986
gpt-4o-mini,base,2,22,0.008912503591399668,0.5462972171250878
gpt-4o-mini,base,2,23,0.18745257086622172,0.27408568683386625
gpt-4o-mini,base,2,24,0.0017242849591753507,0.4293116965170911
gpt-4o-mini,base,2,25,0.043732906255084456,0.4689092157947902
gpt-4o-mini,base,2,26,0.06251093590708279,0.0642493955278655
gpt-4o-mini,base,2,27,0.031233741726309668,-0.007691517404461481
gpt-4o-mini,base,2,28,0.33520848126831393,0.2623170459184059
gpt-4o-mini,base,2,29,0.05866157260744515,0.289907888773168
gpt-4o-mini,base,2,30,0.8361546165161093,-0.26328814061662226
gpt-4o-mini,base,3,1,0.0001110918624171215,
gpt-4o-mini,base,3,2,9.348113506634146e-05,
gpt-4o-mini,base,3,3,0.3787599515330514,
gpt-4o-mini,base,3,4,0.947247331483513,0.0773288936725927
gpt-4o-mini,base,3,5,0.9159775829283157,0.03620291170984941
gpt-4o-mini,base,3,6,0.3582176479988972,-0.3644760765708905
gpt-4o-mini,base,3,7,0.861095117133558,-0.45537064173569286
gpt-4o-mini,base,3,8,0.8010011744396839,-0.19724547130883036
