model,condition,segment,target,A,lam,omega,phi,beta,H0
gpt-4o-mini,base,full,y_raw,-1.2141618726818606,0.7079449611769761,2.122259306949028,-1.4830303981847417,-0.03454294208264934,0.40196522969507503
gpt-4o-mini,base,full,y_adj,-1.2266661716055094,0.7204202858691968,2.1295423837910272,-1.4770808886062716,-0.03818014479345322,0.40789715055419945
gpt-4o-mini,base,post,y_raw,-4.054006472510869,0.3889677795681401,0.7013217224148063,0.15300888095429574,-0.09253106515964539,0.5820280192338815
gpt-4o-mini,base,post,y_adj,-4.999999999187823,0.40683484280824583,0.6904936144096282,0.2930635067518975,-0.10093043351223781,0.6027383021103295
gpt-4o-mini,placebo,full,y_raw,1.1741574539880018,1.1493260608172864,0.050000020126579586,-1.6983691923647901,-0.03423764720424817,0.40981254014349433
gpt-4o-mini,placebo,full,y_adj,-1.2116843106422281,1.1891349788887715,0.05000000000000001,1.4461129310449057,-0.030316682501467865,0.40256773087124087
gpt-4o-mini,placebo,post,y_raw,0.3905706812673366,0.17503069256188192,0.7480883453854502,-1.511641329375673,-0.10380199280227123,0.616799332878641
gpt-4o-mini,placebo,post,y_adj,0.40622212538654756,0.1719598369720635,0.7604079067783851,-1.607046072268945,-0.10914244413634447,0.6369874412475384
gpt-4o-mini,switch,full,y_raw,-0.5705526923801142,0.4652466237814143,1.9213709876239489,-0.8077688884532243,-0.006679501100819068,0.3453620068648088
gpt-4o-mini,switch,full,y_adj,0.5605660267605378,0.4729923109952703,1.914530807231341,2.3901613662820713,-0.003567566975529176,0.3398109953123711
gpt-4o-mini,switch,post,y_raw,0.05842558768587905,6.017115886972967e-14,1.2842237349125145,-1.9517522610016766,-0.01696265319829047,0.36868418644926065
gpt-4o-mini,switch,post,y_adj,0.06529567862941736,0.0014422221087258885,1.9499835214863388,-3.028004671599248,-0.015520366236339784,0.3670483568287645
llama-3.3-70b,base,full,y_raw,0.538900714905432,0.11791403192464162,3.031473029101103,3.026125690326571,0.0035452740713285353,0.15724108266660633
llama-3.3-70b,base,full,y_adj,4.9999999999208145,1.6947060159945861,1.148664475639732,2.0390591196815544,-0.01944762400674431,0.2264686448549152
llama-3.3-70b,base,post,y_raw,-1.880822607252533,0.19879076229473294,3.0266739724831733,0.5002032468405218,-0.023717062299441316,0.23572577927046134
llama-3.3-70b,base,post,y_adj,0.1779681994020883,2.678518909517391e-23,0.10155120018128162,1.8144326144649525,0.22959254084352793,-0.42592026356676804
llama-3.3-70b,placebo,full,y_raw,4.912807639753184,0.1380294455374724,3.131047517864207,3.125232269767431,0.011384853052038794,0.16357140383681082
llama-3.3-70b,placebo,full,y_adj,4.999999999999871,1.18821712476557,0.38832813898059604,2.838952117583758,-0.05076043910935474,0.33212028012578215
llama-3.3-70b,placebo,post,y_raw,-4.999975082382017,0.1440726782943998,3.1279076499442184,0.016316407328918422,-0.06281313571585562,0.3793424117643409
llama-3.3-70b,placebo,post,y_adj,-0.07520624215971462,0.05990829226139478,2.9090238217750355,1.4267766329864964,-0.0630545858358424,0.3696184256975116
llama-3.3-70b,switch,full,y_raw,-0.4831543809945274,0.12388990549574548,3.005132606156644,-0.09487460726820493,0.017921976001147383,0.13259541590711021
llama-3.3-70b,switch,full,y_adj,-4.999999999999995,1.1086592090861276,0.2827054893030375,-0.22254640686240681,-0.04503502705651009,0.30045572946044813
llama-3.3-70b,switch,post,y_raw,-4.9999999952653225,0.30631219709428387,2.910291558413308,1.5043824211919112,-0.064950335852283,0.36408250779081375
llama-3.3-70b,switch,post,y_adj,-0.021105569139987207,5.302989415251971e-24,1.4119242428033092,0.9589973186976366,-0.06394650850100084,0.3554571717420838
qwen3-235b,base,full,y_raw,-0.721182463139243,0.5877507504221091,0.639168859248213,-0.09806059013871786,-0.03083464227632645,0.33845543587600174
qwen3-235b,base,full,y_adj,0.21375455545706423,0.2530355274647892,2.59543667661531,-2.384481599097346,0.0008523383572156624,0.21942512466169242
qwen3-235b,base,post,y_raw,-0.08647595059200949,0.05386670531600567,0.2745672183869132,2.278835479704826,0.012904005318661376,0.20771934342586182
qwen3-235b,base,post,y_adj,-0.07661719048101144,0.052570309209584117,0.29599753561380865,1.9121022999958113,0.003967555849048555,0.2052716438751234
qwen3-235b,placebo,full,y_raw,-4.999999980490058,0.822652085400838,0.1659763903048843,-0.012881515641170184,-0.083955419228637,0.5096099462404649
qwen3-235b,placebo,full,y_adj,-0.32682499420607075,0.2845119193463434,2.4595461879537717,1.074710267321276,0.08524818291001515,0.10421401367562254
qwen3-235b,placebo,post,y_raw,-0.04829807130435239,1.9988899127724908e-20,2.220072016958707,-1.0200992519675756,-0.06077962570133913,0.4466793766530124
qwen3-235b,placebo,post,y_adj,-0.04049532892810657,9.585927447067544e-14,2.2809965996808907,-2.4064179025614534,-0.023798492271982465,0.3807682566573634
qwen3-235b,switch,full,y_raw,-0.7383513165267562,0.5545211667932292,0.6938290998424248,-0.05546735597386206,-0.04673181070700734,0.39842683916344684
qwen3-235b,switch,full,y_adj,0.169566158076204,0.1594965947998302,2.367704672696168,-1.8062013055517439,0.05028662901085899,0.1656260745479848
qwen3-235b,switch,post,y_raw,-0.34073057504947907,0.16256732228238327,2.7402063502951406,-2.7850960546567793,-0.06236048392412067,0.44283807817453275
qwen3-235b,switch,post,y_adj,-1.7975091304093227,0.3258267235490014,2.7128015171917377,-2.3464108953244835,-0.0859401723048875,0.520191996249702
