model,condition,seed,unit,signal,turn,cusum,ph
gpt-4o-mini,base,1,A1,H,8,0.010911168058444942,0.010911168058444942
gpt-4o-mini,base,1,A1,H,9,0.3348905076303945,0.3348905076303945
gpt-4o-mini,base,1,A1,H,10,0.010002088311206858,0.010002088311206858
gpt-4o-mini,base,1,A1,H,11,0.0,0.0
gpt-4o-mini,base,1,A1,H,12,0.49388661615616847,0.49388661615616847
gpt-4o-mini,base,1,A1,H,13,12.277290297340201,12.277290297340203
gpt-4o-mini,base,1,A1,H,14,10.590635139519637,10.59063513951964
gpt-4o-mini,base,1,A1,H,15,10.173792513749856,10.173792513749857
gpt-4o-mini,base,1,A1,H,16,8.549499129148327,8.549499129148327
gpt-4o-mini,base,1,A1,H,17,7.115601028604182,7.115601028604184
gpt-4o-mini,base,1,A1,H,18,5.962367682761338,5.962367682761339
gpt-4o-mini,base,1,A1,H,19,6.735801250895799,6.7358012508958005
gpt-4o-mini,base,1,A1,H,20,5.719899978730228,5.719899978730229
gpt-4o-mini,base,1,A1,H,21,4.009818304925328,4.009818304925329
gpt-4o-mini,base,1,A1,H,22,2.561771152645302,2.5617711526453038
gpt-4o-mini,base,1,A1,H,23,2.613328559661551,2.6133285596615528
gpt-4o-mini,base,1,A1,H,24,1.1823131421290145,1.1823131421290163
gpt-4o-mini,base,1,A1,H,25,1.2114889595333769,1.2114889595333764
gpt-4o-mini,base,1,A1,H,26,0.2504030925962656,0.2504030925962655
gpt-4o-mini,base,1,A1,H,27,0.6236551211556571,0.6236551211556574
gpt-4o-mini,base,1,A1,H,28,1.293033107423976,1.2930331074239767
gpt-4o-mini,base,1,A1,H,29,1.2290690346128987,1.2290690346128983
gpt-4o-mini,base,1,A1,H,30,0.3042057028664855,0.3042057028664864
gpt-4o-mini,base,1,A2,H,8,0.0,0.0
gpt-4o-mini,base,1,A2,H,9,0.048583008979133924,0.048583008979133924
gpt-4o-mini,base,1,A2,H,10,3.016026080206899,3.0160260802068994
gpt-4o-mini,base,1,A2,H,11,2.4084018828151823,2.4084018828151823
gpt-4o-mini,base,1,A2,H,12,2.365794242443001,2.365794242443001
gpt-4o-mini,base,1,A2,H,13,3.0039906154169196,3.0039906154169196
gpt-4o-mini,base,1,A2,H,14,3.37377240834115,3.37377240834115
gpt-4o-mini,base,1,A2,H,15,2.861788064985732,2.861788064985732
gpt-4o-mini,base,1,A2,H,16,2.8627977117626267,2.8627977117626267
gpt-4o-mini,base,1,A2,H,17,2.85790078314039,2.85790078314039
gpt-4o-mini,base,1,A2,H,18,6.00051368105185,6.00051368105185
gpt-4o-mini,base,1,A2,H,19,6.156456497979367,6.156456497979367
gpt-4o-mini,base,1,A2,H,20,7.214752133685113,7.214752133685113
gpt-4o-mini,base,1,A2,H,21,7.145102305890226,7.145102305890226
gpt-4o-mini,base,1,A2,H,22,6.285913890781615,6.285913890781615
gpt-4o-mini,base,1,A2,H,23,5.785165401061866,5.785165401061866
gpt-4o-mini,base,1,A2,H,24,5.040334136461693,5.040334136461694
gpt-4o-mini,base,1,A2,H,25,4.965352800298915,4.965352800298916
gpt-4o-mini,base,1,A2,H,26,4.521177145112481,4.521177145112482
gpt-4o-mini,base,1,A2,H,27,4.322277254559247,4.322277254559248
gpt-4o-mini,base,1,A2,H,28,5.626540573546753,5.6265405735467535
gpt-4o-mini,base,1,A2,H,29,5.1675631082228035,5.167563108222804
gpt-4o-mini,base,1,A2,H,30,4.852981206703674,4.852981206703675
gpt-4o-mini,base,2,A1,H,8,0.0,0.0
gpt-4o-mini,base,2,A1,H,9,0.13578283031557092,0.13578283031557092
gpt-4o-mini,base,2,A1,H,10,0.08072126666697377,0.08072126666697377
gpt-4o-mini,base,2,A1,H,11,0.017548266946147195,0.017548266946147195
gpt-4o-mini,base,2,A1,H,12,0.23542904941283838,0.23542904941283838
gpt-4o-mini,base,2,A1,H,13,0.5848347668547795,0.5848347668547795
gpt-4o-mini,base,2,A1,H,14,0.6705679142962002,0.6705679142962002
gpt-4o-mini,base,2,A1,H,15,0.3795861874508838,0.37958618745088374
gpt-4o-mini,base,2,A1,H,16,0.5181675241495673,0.5181675241495673
gpt-4o-mini,base,2,A1,H,17,0.5650833576153176,0.5650833576153176
gpt-4o-mini,base,2,A1,H,18,0.7239191438964832,0.7239191438964832
gpt-4o-mini,base,2,A1,H,19,0.6911504153507357,0.6911504153507357
gpt-4o-mini,base,2,A1,H,20,0.799980111271348,0.799980111271348
gpt-4o-mini,base,2,A1,H,21,0.75733971129166,0.75733971129166
gpt-4o-mini,base,2,A1,H,22,0.8058578426881664,0.8058578426881664
gpt-4o-mini,base,2,A1,H,23,0.7505961272804256,0.7505961272804256
gpt-4o-mini,base,2,A1,H,24,1.0114801028436018,1.0114801028436016
gpt-4o-mini,base,2,A1,H,25,1.3605932274488002,1.3605932274488
gpt-4o-mini,base,2,A1,H,26,1.4618506947011356,1.4618506947011354
gpt-4o-mini,base,2,A1,H,27,1.6883445580101744,1.6883445580101741
gpt-4o-mini,base,2,A1,H,28,1.5871468774788537,1.5871468774788535
gpt-4o-mini,base,2,A1,H,29,1.8347779534714133,1.834777953471413
gpt-4o-mini,base,2,A1,H,30,1.7472810487899921,1.747281048789992
gpt-4o-mini,base,2,A2,H,8,0.0,0.0
gpt-4o-mini,base,2,A2,H,9,0.0,0.0
gpt-4o-mini,base,2,A2,H,10,0.0,0.0
gpt-4o-mini,base,2,A2,H,11,0.0,0.0
