model,condition,post,calls,mean_frac_invalid,calls_any_invalid,calls_all_invalid
gpt-4o-mini,base,False,280,0.0,0.0,0.0
gpt-4o-mini,base,True,920,0.0,0.0,0.0
gpt-4o-mini,placebo,False,280,0.0,0.0,0.0
gpt-4o-mini,placebo,True,598,0.0,0.0,0.0
gpt-4o-mini,switch,False,280,0.0,0.0,0.0
gpt-4o-mini,switch,True,589,0.0,0.0,0.0
llama-3.3-70b,base,False,278,0.0,0.0,0.0
llama-3.3-70b,base,True,896,0.0,0.0,0.0
llama-3.3-70b,placebo,False,271,0.0,0.0,0.0
llama-3.3-70b,placebo,True,744,0.0,0.0,0.0
llama-3.3-70b,switch,False,274,0.0,0.0,0.0
llama-3.3-70b,switch,True,560,0.0,0.0,0.0
qwen3-235b,base,False,277,0.17328077332163758,0.48736462093862815,0.0
qwen3-235b,base,True,858,0.033654242668196846,0.11538461538461539,0.0
qwen3-235b,placebo,False,278,0.16594465920220788,0.4748201438848921,0.0
qwen3-235b,placebo,True,266,0.13861428651692526,0.37969924812030076,0.0
qwen3-235b,switch,False,274,0.1643774592815711,0.4781021897810219,0.0
qwen3-235b,switch,True,275,0.11114183452475679,0.29454545454545455,0.0
