spec,metric,window,adjust,model,kind,contrast,n_seeds,missing_seeds,mean,ci_low,ci_high,median,sd,n_pos,p_sign,p_wilcoxon,p_wilcoxon_bh,p_wilcoxon_bh_family
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,level,comm,20,,-0.01694631222937463,-0.07246828405102258,0.038399229918737364,-0.030665774999501794,0.13068414174512202,9,0.8238029479980469,0.47490501403808594,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,level,S-P,20,,-0.013694298367116674,-0.08339220083985038,0.05924051493989711,-0.03463088481202137,0.16855807386635416,7,0.26317596435546875,0.47490501403808594,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,level,P-B,20,,-0.006504027724515911,-0.09213579348133365,0.08766458188101643,-0.02693934156774716,0.210283337061475,8,0.5034446716308594,0.6742229461669922,0.8826191295276988,0.8865767045454546
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,prepost,comm,20,,-0.053682733750668565,-0.11718446989192798,0.012967443037247449,-0.07485511220342386,0.1538712717897147,6,0.11531829833984375,0.13272666931152344,0.5531272888183594,0.5791709206321023
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,prepost,S-P,20,,-0.04964866214545309,-0.13322790638187848,0.04120371701418083,-0.06458312616538868,0.20278259323630773,7,0.26317596435546875,0.15364646911621094,0.5531272888183594,0.5979754473711993
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,prepost,P-B,20,,-0.008068143210430994,-0.10063674190361847,0.0890476640462948,-0.018253590352176788,0.2234783183349853,10,1.0,0.7841262817382812,0.8961443219866071,0.9180015005716463
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,level,comm,19,3,0.004684537760615973,-0.020715292222008092,0.03184128098119321,0.002511915364275752,0.060063702095185696,10,1.0,0.70855712890625,0.89501953125,0.9029400580752213
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,level,S-P,19,3,-0.01361177559007643,-0.04620748100214627,0.01916807590874978,-0.02138364828922365,0.07564038692931462,7,0.359283447265625,0.4180412292480469,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,level,P-B,19,3,0.03659262670138481,-0.0029788135214986904,0.07643840941982318,0.04732438833811589,0.09138601172081148,12,0.359283447265625,0.09551239013671875,0.5531272888183594,0.5791709206321023
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,prepost,comm,19,3,0.016700822839536618,-0.009963441492502471,0.04312578153034783,0.016005796076959275,0.0611568586283293,12,0.359283447265625,0.1956329345703125,0.5868988037109375,0.6402532404119318
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,prepost,S-P,19,3,0.0013867665051254814,-0.03494263215730147,0.03682060819011115,0.007025733966897527,0.08249463042477474,10,1.0,0.9529838562011719,0.9664061640349912,0.9872638510285522
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,prepost,P-B,19,3,0.030628112668822267,-0.011313488613095756,0.0720204471468255,0.030489757678076657,0.09513488730003301,12,0.359283447265625,0.1956329345703125,0.5868988037109375,0.6402532404119318
main,mean_H_renorm_bits,5,raw,qwen3-235b,level,comm,20,,-0.009978531705793115,-0.059451471948359334,0.040832921242559564,-0.024007679955532837,0.11734310987365805,9,0.8238029479980469,0.6742229461669922,0.8826191295276988,0.8865767045454546
main,mean_H_renorm_bits,5,raw,qwen3-235b,level,S-P,20,,-0.02214966049359813,-0.0863265863899242,0.04244637320714918,0.008534006886104228,0.149164412906528,10,1.0,0.6215133666992188,0.8798338692143278,0.8865767045454546
main,mean_H_renorm_bits,5,raw,qwen3-235b,level,P-B,20,,0.02434225757561001,-0.02563525470732311,0.07704677093159945,0.003601271238428322,0.11994195794893445,10,1.0,0.6215133666992188,0.8798338692143278,0.8865767045454546
main,mean_H_renorm_bits,5,raw,qwen3-235b,prepost,comm,20,,-0.029722413062116926,-0.07616176377282047,0.01661270472136647,-0.016704974402453783,0.10884827779467836,8,0.5034446716308594,0.24548721313476562,0.6798107440655048,0.7364616394042969
main,mean_H_renorm_bits,5,raw,qwen3-235b,prepost,S-P,20,,-0.031116605816437114,-0.10124625027619853,0.03841560371234909,-0.046160275046906875,0.16267267985075992,9,0.8238029479980469,0.40909767150878906,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,5,raw,qwen3-235b,prepost,P-B,20,,0.0027883855086403924,-0.0657295759592907,0.07192137839342963,-0.033995417784356254,0.1607856939410993,10,1.0,0.8123550415039062,0.8998394305889423,0.9343749089027519
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,level,comm,20,,-0.015664210855802906,-0.07012472784995163,0.03990063201627226,-0.02981372270603372,0.12913580277267186,8,0.5034446716308594,0.49800872802734375,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,level,S-P,20,,-0.017328738576239,-0.08493953132441726,0.055083773330859016,-0.033365016509139964,0.1659145535504036,6,0.11531829833984375,0.38837623596191406,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,level,P-B,20,,0.0033290554408721834,-0.08150421866850316,0.09739781731260355,-0.019690630916692972,0.21005157960651225,9,0.8238029479980469,0.7841262817382812,0.8961443219866071,0.9180015005716463
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,prepost,comm,20,,-0.052187868335596146,-0.11509006770088244,0.014623121275787842,-0.07123651937693266,0.1537323401538208,6,0.11531829833984375,0.14290618896484375,0.5531272888183594,0.5879568917410715
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,prepost,S-P,20,,-0.05350960513969989,-0.1345912564765646,0.037758019919988936,-0.06700273355475415,0.20110081033738206,6,0.11531829833984375,0.1230926513671875,0.5531272888183594,0.5791709206321023
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,prepost,P-B,20,,0.002643473608207503,-0.08955971416974488,0.09897636030500115,0.004041452357357381,0.2223747640701463,11,0.8238029479980469,0.9854354858398438,0.9854354858398438,1.0
main,mean_H_renorm_bits,5,adj,llama-3.3-70b,level,comm,19,3,0.00915105360914913,-0.008994055388195933,0.030017807960066943,0.0009309178081779723,0.044786474772118764,10,1.0,0.76800537109375,0.8961443219866071,0.9180015005716463
main,mean_H_renorm_bits,5,adj,llama-3.3-70b,level,S-P,19,3,-0.010411100114535275,-0.03623610372540756,0.015231472199068136,-0.019373526892789483,0.05831316939712076,6,0.1670684814453125,0.4413337707519531,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,5,adj,llama-3.3-70b,level,P-B,19,3,0.03912430744736881,0.007762208215227572,0.07147993281595144,0.04669287566410585,0.07441057043039165,12,0.359283447265625,0.05457305908203125,0.3813254616477273,0.392926025390625
main,mean_H_renorm_bits,5,adj,llama-3.3-70b,prepost,comm,19,3,0.021908150814184544,0.0028373438691632297,0.0415765433538921,0.025600886634148237,0.044002772873037,13,0.1670684814453125,0.0289306640625,0.2603759765625,0.277734375
main,mean_H_renorm_bits,5,adj,llama-3.3-70b,prepost,S-P,19,3,0.006180151104880738,-0.022990379315273143,0.03298263219973743,0.012290205905244017,0.06423800245217176,11,0.6476058959960938,0.5152778625488281,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,5,adj,llama-3.3-70b,prepost,P-B,19,3,0.031455999418607605,0.0005109460724264496,0.06366985416826122,0.029098320513711223,0.07324974932667415,12,0.359283447265625,0.12318801879882812,0.5531272888183594,0.5791709206321023
main,mean_H_renorm_bits,5,adj,qwen3-235b,level,comm,20,,0.0067314285676413595,-0.03669548791284477,0.050491425673990495,0.006278748556061059,0.10117717852544693,11,0.8238029479980469,0.7011814117431641,0.89501953125,0.9029400580752213
main,mean_H_renorm_bits,5,adj,qwen3-235b,level,S-P,20,,-0.03351133425662459,-0.09076539262980719,0.021883530004753345,-0.001109517977867569,0.13082034060513775,10,1.0,0.4523754119873047,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,5,adj,qwen3-235b,level,P-B,20,,0.0804855256485319,0.03431632822606858,0.1294007743718201,0.06947633889185043,0.11165376092970668,16,0.01181793212890625,0.0031528472900390625,0.0481201171875,0.06874302455357142
main,mean_H_renorm_bits,5,adj,qwen3-235b,prepost,comm,20,,-0.011992113851288302,-0.056501907628660517,0.030430477633676387,-0.0051404353687244456,0.10303312926235812,9,0.8238029479980469,0.8408222198486328,0.9035701467030084,0.9343749089027519
main,mean_H_renorm_bits,5,adj,qwen3-235b,prepost,S-P,20,,-0.04265333672582061,-0.10668967297041389,0.01988295372888644,-0.02589416084629731,0.14771035686101505,9,0.8238029479980469,0.3117942810058594,0.7893618319896941,0.8163341175426136
main,mean_H_renorm_bits,5,adj,qwen3-235b,prepost,P-B,20,,0.061322445749064626,-0.005184557767173731,0.12571835572365433,0.027976515045172276,0.15360320801629476,11,0.8238029479980469,0.13272666931152344,0.5531272888183594,0.5791709206321023
main,mean_H_renorm_bits,10,raw,gpt-4o-mini,level,comm,20,,-0.012250593088316723,-0.057942697913740494,0.03324574030619252,-0.01307520714650761,0.1093734383251912,9,0.8238029479980469,0.6476554870605469,0.8798338692143278,0.8865767045454546
main,mean_H_renorm_bits,10,raw,gpt-4o-mini,level,S-P,20,,-0.009757288080365616,-0.06524805223318159,0.045670331393894585,0.003543902496402185,0.13012609122294355,10,1.0,0.7561664581298828,0.8961443219866071,0.9150249577370011
main,mean_H_renorm_bits,10,raw,gpt-4o-mini,level,P-B,20,,-0.0049866100159022125,-0.05903876570012554,0.05392734140454079,-0.007206526313756428,0.1310630825090632,9,0.8238029479980469,0.5458755493164062,0.8188133239746094,0.8544139032778533
main,mean_H_renorm_bits,10,raw,gpt-4o-mini,prepost,comm,20,,-0.04898701460961067,-0.10579162141087052,0.010934025757433059,-0.09477249377751004,0.13915360329299006,6,0.11531829833984375,0.13272666931152344,0.5531272888183594,0.5791709206321023
main,mean_H_renorm_bits,10,raw,gpt-4o-mini,prepost,S-P,20,,-0.04571165185870202,-0.11101830749573946,0.02157723652808427,-0.07351482744447252,0.15673224422292797,8,0.5034446716308594,0.2305126190185547,0.6638763427734375,0.7216047204059103
main,mean_H_renorm_bits,10,raw,gpt-4o-mini,prepost,P-B,20,,-0.006550725501817289,-0.07158351368989013,0.059268463033314435,0.020229727817603196,0.15117764508518436,11,0.8238029479980469,0.9272785186767578,0.9537721906389509,0.9675949760105299
main,mean_H_renorm_bits,10,raw,llama-3.3-70b,level,comm,19,3,0.0003968886041128491,-0.017609816339415295,0.01904104561166872,-0.0036439788055267625,0.04255436106210091,9,1.0,0.7982521057128906,0.898033618927002,0.927002445344002
main,mean_H_renorm_bits,10,raw,llama-3.3-70b,level,S-P,19,3,-0.019872472891373588,-0.03570685712305538,-0.003382997345429322,-0.03248587348968682,0.03738665590727436,6,0.1670684814453125,0.040130615234375,0.321044921875,0.33992991727941174
main,mean_H_renorm_bits,10,raw,llama-3.3-70b,level,P-B,19,3,0.04053872299097287,0.02181104845963707,0.05971539361517828,0.04705327820621433,0.044095903148959475,14,0.063568115234375,0.002838134765625,0.0481201171875,0.06874302455357142
main,mean_H_renorm_bits,10,raw,llama-3.3-70b,prepost,comm,19,3,0.012413173683033489,-0.004954305984384226,0.0308917103749124,0.004159326649180339,0.04142625744794284,12,0.359283447265625,0.25792694091796875,0.68780517578125,0.7579893773915817
main,mean_H_renorm_bits,10,raw,llama-3.3-70b,prepost,S-P,19,3,-0.004873930796171683,-0.02374687799589868,0.015284397124116032,-0.014528572992616381,0.0445757298276506,8,0.6476058959960938,0.5152778625488281,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,10,raw,llama-3.3-70b,prepost,P-B,19,3,0.03457420895841035,0.014980074972774543,0.05633144616539529,0.01924754061643877,0.047101657020210415,16,0.004425048828125,0.0033416748046875,0.0481201171875,0.06874302455357142
main,mean_H_renorm_bits,10,raw,qwen3-235b,level,comm,20,,-0.0005867480516311696,-0.04447092026366342,0.04449915909241213,-0.010411699779923324,0.10320711628066498,10,1.0,0.7561664581298828,0.8961443219866071,0.9150249577370011
main,mean_H_renorm_bits,10,raw,qwen3-235b,level,S-P,20,,-0.0137758372623893,-0.07267327158481614,0.04512534054845683,-0.0019684846425881697,0.13623955370516558,10,1.0,0.49800872802734375,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,10,raw,qwen3-235b,level,P-B,20,,0.026378178421516275,-0.01775441507330168,0.06869218891391617,0.0409986347164423,0.10131801935397716,13,0.26317596435546875,0.15364646911621094,0.5531272888183594,0.5979754473711993
main,mean_H_renorm_bits,10,raw,qwen3-235b,prepost,comm,20,,-0.020330629407954975,-0.06683910818296587,0.026867999983398356,-0.03438895308299252,0.10906261168667923,7,0.26317596435546875,0.4304332733154297,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,10,raw,qwen3-235b,prepost,S-P,20,,-0.02274278258522831,-0.08841316319229685,0.044638616089465274,-0.04431720458165839,0.15453163033966205,8,0.5034446716308594,0.4304332733154297,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,10,raw,qwen3-235b,prepost,P-B,20,,0.004824306354546654,-0.05649206315771093,0.0653475735182436,0.005155859404612058,0.14016730407526803,11,0.8238029479980469,0.7561664581298828,0.8961443219866071,0.9150249577370011
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,level,comm,20,,-0.00970219974070944,-0.053767095751371195,0.03456512608773134,-0.016605904713580776,0.10586919564033928,9,0.8238029479980469,0.6476554870605469,0.8798338692143278,0.8865767045454546
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,level,S-P,20,,-0.012019873446708669,-0.0662895887068786,0.041594945959952265,-0.002854933254319361,0.12679776611635118,10,1.0,0.6476554870605469,0.8798338692143278,0.8865767045454546
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,level,P-B,20,,0.004635347411998459,-0.049004689266699396,0.06308725025262425,0.00054601671455759,0.13050163319814986,10,1.0,0.8408222198486328,0.9035701467030084,0.9343749089027519
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,prepost,comm,20,,-0.046225857220502674,-0.10262418256465006,0.012911149942045116,-0.07498449976415911,0.13800074329386236,6,0.11531829833984375,0.16495704650878906,0.5655670166015625,0.6090721717247596
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,prepost,S-P,20,,-0.04820074001016957,-0.11403389299378791,0.018373999193365034,-0.06090830545311461,0.1553717223418154,8,0.5034446716308594,0.1893482208251953,0.5868988037109375,0.6402532404119318
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,prepost,P-B,20,,0.003949765579333776,-0.060930240363466455,0.06910697436548169,0.019340369627598858,0.15024869538095656,12,0.5034446716308594,0.8694877624511719,0.9072915782099185,0.9343749089027519
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,level,comm,19,3,-0.00509008374697794,-0.019070852187717827,0.009690153898575795,-0.011647969403727837,0.033359414520825116,5,0.063568115234375,0.4180412292480469,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,level,S-P,19,3,-0.022084191539612455,-0.03625977831670591,-0.007612160815287701,-0.03072360251963835,0.033436869078805664,4,0.0192108154296875,0.014068603515625,0.14470563616071427,0.1688232421875
