model,spec,metric,estimator,n_obs,term,est,se,ci_low,ci_high,p,converged,p_bh_DiD_SP_OLS
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level S,-0.19443940957674768,0.07500662331340491,-0.3514300764116472,-0.03744874274184817,0.017876545765883513,,
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level P,-0.09240934521745005,0.0417041659914282,-0.1796971678065462,-0.0051215226283539,0.03911097527195317,,
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level B,0.010642748661322874,0.052258345903414945,-0.0987352263581145,0.12002072368076026,0.8407873627337409,,
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level DiD S-P,-0.10203006435929764,0.08410192114810143,-0.27805740834422477,0.0739972796256295,0.2399317961125201,,0.7149516993463366
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level DiD S-B,-0.20508215823807055,0.06371443903845087,-0.33843801175868,-0.07172630471746111,0.004519845101266411,,
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level DiD P-B,-0.10305209387877293,0.057568954856520915,-0.22354530118061722,0.017441113423071378,0.08939391851816939,,
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope S,-0.06042355249094594,0.01149892761213746,-0.08449108458304955,-0.036356020398842344,4.515205086297997e-05,,
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope P,-0.04776220692125006,0.0077489683761751684,-0.06398098412943398,-0.03154342971306614,6.354384535056753e-06,,
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope B,-0.02415541962646671,0.006239310663080551,-0.037214446927220556,-0.011096392325712861,0.0010275899118571653,,
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope DiD S-P,-0.012661345569695885,0.013709805406781178,-0.041356298067345976,0.01603360692795421,0.3673142802067443,,0.7149516993463366
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope DiD S-B,-0.03626813286447923,0.01108094543662141,-0.05946081820891382,-0.013075447520044643,0.0040011665221135724,,
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope DiD P-B,-0.023606787294783348,0.008506821727029747,-0.041411769796019834,-0.005801804793546857,0.012061185680065476,,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level S,-0.19141512447392514,0.059050882716245624,-0.30715272785306535,-0.07567752109478496,0.0011889050885497837,False,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level P,-0.09235462761142851,0.05893097184147409,-0.20785720999466178,0.02314795477180477,0.1170758470760135,False,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level B,0.010892800141559932,0.057738587132006206,-0.10227275115540005,0.1240583514385199,0.8503614990966887,False,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level DiD S-P,-0.09906049686249663,0.08329768092444376,-0.26232095147011547,0.06419995774512222,0.23434730309932927,False,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level DiD S-B,-0.20230792461548508,0.08251706665218558,-0.36403840336365995,-0.04057744586731021,0.014217916253365473,False,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level DiD P-B,-0.10324742775298845,0.08244764756352703,-0.26484184758755297,0.058346992081576066,0.21046835026587596,False,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope S,-0.061151166032630815,0.011978437298445192,-0.08462847172865465,-0.037673860336606975,3.306129493858791e-07,False,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope P,-0.04711132899664649,0.011910506348771086,-0.07045549247787347,-0.0237671655154195,7.639296036268384e-05,False,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope B,-0.024115311638695337,0.01180738596227977,-0.047257362876327494,-0.0009732604010631793,0.04111265420573149,False,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope DiD S-P,-0.014039837035984326,0.016887048947586355,-0.047137844778418606,0.019058170706449953,0.40574955372171984,False,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope DiD S-B,-0.037035854393935475,0.01681346337243801,-0.06998963705929734,-0.004082071728573618,0.027612382628332183,False,
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope DiD P-B,-0.022996017357951152,0.01676505048374824,-0.055854912505093515,0.009862877789191208,0.1701680388912148,False,
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,level S,-0.021391411222696492,0.013883056707170445,-0.05044898285951884,0.007666160414125857,0.1398486380472814,,
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,level P,-0.031075240068482893,0.017714934463448333,-0.068153024022747,0.006002543885781215,0.09551472015986466,,
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,level B,-0.06630181001798871,0.015496649268005975,-0.09873666969865413,-0.033866950337323294,0.0004058138424717181,,
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,level DiD S-P,0.009683828845786401,0.01724545569916399,-0.02641132476179669,0.04577898245336949,0.5810004987168474,,0.7746673316224633
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,level DiD S-B,0.04491039879529222,0.01664669832354205,0.010068458777640246,0.07975233881294419,0.01425504707117634,,
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,level DiD P-B,0.03522656994950582,0.017188846565398083,-0.0007500993794060107,0.07120323927841765,0.05448799662317417,,
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope S,-0.02096564576247413,0.002643469811828214,-0.026498491665732787,-0.015432799859215474,1.905227540026502e-07,,
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope P,-0.025030617581267036,0.0027052224788204756,-0.030692713301964363,-0.01936852186056971,1.8113592605716025e-08,,
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope B,-0.019935538675761755,0.003056635970972094,-0.026333151288576044,-0.013537926062947465,3.016877512329636e-06,,
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope DiD S-P,0.0040649718187929056,0.002237988960063725,-0.0006191929081207064,0.008749136545706518,0.08512891055155794,,0.7149516993463366
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope DiD S-B,-0.0010301070867123757,0.003396353837695231,-0.008138757366290467,0.006078543192865715,0.7649588321732991,,
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,slope DiD P-B,-0.005095078905505281,0.003019275995442932,-0.01141449619086493,0.0012243383798543669,0.10785229981842992,,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level S,-0.021177103166410877,0.016513793820424227,-0.053543544302562474,0.011189337969740715,0.1997063139424219,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level P,-0.030283001500790545,0.016775833453161557,-0.0631630308796294,0.0025970278780483164,0.07105022657756234,False,
llama-3.3-70b,main,mean_H_renorm_bits,MixedLM,2977,level B,-0.06635118492374761,0.016141847920674832,-0.09798862549219305,-0.03471374435530218,3.9479067012155705e-05,False,
