model,condition,segment,target,candidate,k,n,rss,aic,bic,loso_mse,range_ok
gpt-4o-mini,base,full,y_raw,constant,1,1200,181.1554377464824,-2266.8656811568235,-2261.7756043210475,0.1512031637863168,True
gpt-4o-mini,base,full,y_raw,linear,2,1200,181.12241556824128,-2265.0844448137045,-2254.9042911421525,0.1513744614372857,True
gpt-4o-mini,base,full,y_raw,log,2,1200,181.05933910321875,-2265.502421466675,-2255.322267795123,0.15129955092810296,True
gpt-4o-mini,base,full,y_raw,spline,4,1200,179.62372850569378,-2271.055084007566,-2250.6947766644616,0.15041539173298654,True
gpt-4o-mini,base,full,y_raw,zhu,6,1200,176.099363492781,-2290.8341216940958,-2260.293660679439,0.14860869976951746,True
gpt-4o-mini,base,full,y_adj,constant,1,1200,180.87243679688754,-2268.741786465652,-2263.6517096298758,0.15097471685642688,
gpt-4o-mini,base,full,y_adj,linear,2,1200,180.79950282752964,-2267.225765203437,-2257.045611531885,0.15111735656557568,
gpt-4o-mini,base,full,y_adj,log,2,1200,180.8208105213663,-2267.08435040073,-2256.904196729178,0.15110902738048348,
gpt-4o-mini,base,full,y_adj,spline,4,1200,179.29026018102178,-2273.284933594734,-2252.9246262516294,0.15015059471847458,
gpt-4o-mini,base,full,y_adj,zhu,6,1200,175.83591722495123,-2292.630676900495,-2262.0902158858385,0.14833524427113387,
gpt-4o-mini,base,post,y_raw,constant,1,920,138.78957151044057,-1738.1015773628567,-1733.2772036928136,0.15124879880662953,True
gpt-4o-mini,base,post,y_raw,linear,2,920,137.8980058445057,-1742.0305985310679,-1732.3818511909817,0.15064561116513445,True
gpt-4o-mini,base,post,y_raw,log,2,920,137.859895166752,-1742.284892777057,-1732.6361454369708,0.1506544383052365,True
gpt-4o-mini,base,post,y_raw,spline,4,920,137.5810301046251,-1740.147767326742,-1720.8502726465697,0.1509108160386915,True
gpt-4o-mini,base,post,y_raw,zhu,6,920,137.19256309133453,-1738.749108206566,-1709.8028661863075,0.15341230589176869,True
gpt-4o-mini,base,post,y_adj,constant,1,920,138.67288334269327,-1738.8753982440526,-1734.0510245740095,0.15112597337380887,
gpt-4o-mini,base,post,y_adj,linear,2,920,137.65906243811568,-1743.62611549854,-1733.9773681584538,0.150399198035705,
gpt-4o-mini,base,post,y_adj,log,2,920,137.62250899187117,-1743.8704411217038,-1734.2216937816177,0.15040836512094286,
gpt-4o-mini,base,post,y_adj,spline,4,920,137.36586270521843,-1741.5877112071184,-1722.290216526946,0.15068952243322875,
gpt-4o-mini,base,post,y_adj,zhu,6,920,136.94760983042437,-1740.3932091612758,-1711.4469671410172,0.15287308418341944,
gpt-4o-mini,placebo,full,y_raw,constant,1,878,126.16468855659343,-1701.3713525483834,-1696.5937059547482,0.14403429249593094,True
gpt-4o-mini,placebo,full,y_raw,linear,2,878,126.11959076909314,-1699.6852512816129,-1690.1299580943426,0.1441241566829967,True
gpt-4o-mini,placebo,full,y_raw,log,2,878,125.50234343479207,-1703.992858631473,-1694.4375654442026,0.14342095169220168,True
gpt-4o-mini,placebo,full,y_raw,spline,4,878,123.21664428490959,-1716.1307528082955,-1697.020166433755,0.14120866355365216,True
gpt-4o-mini,placebo,full,y_raw,zhu,6,878,122.33669336828007,-1718.4234810553082,-1689.7576014934975,0.1409308592386081,True
gpt-4o-mini,placebo,full,y_adj,constant,1,878,125.52494903582486,-1705.8347266804399,-1701.0570800868047,0.14330472830384397,
gpt-4o-mini,placebo,full,y_adj,linear,2,878,125.46375780102964,-1704.2628408047108,-1694.7075476174405,0.14337384446908813,
gpt-4o-mini,placebo,full,y_adj,log,2,878,124.773544380114,-1709.1063147000566,-1699.5510215127863,0.14259281641469984,
gpt-4o-mini,placebo,full,y_adj,spline,4,878,122.3767058898948,-1722.1363615563573,-1703.025775181817,0.14023818440219768,
gpt-4o-mini,placebo,full,y_adj,zhu,6,878,121.6325492739677,-1723.4916628047188,-1694.825783242908,0.13986901095527907,
gpt-4o-mini,placebo,post,y_raw,constant,1,598,93.52907124403883,-1107.4804292645504,-1103.0868385105998,0.15698993721904098,True
gpt-4o-mini,placebo,post,y_raw,linear,2,598,93.11842036097697,-1108.1118026861423,-1099.324621178241,0.1565777217399864,True
gpt-4o-mini,placebo,post,y_raw,log,2,598,93.19332147520473,-1107.630986305169,-1098.8438047972677,0.1566992577373954,True
gpt-4o-mini,placebo,post,y_raw,spline,4,598,92.91614318809587,-1105.4122255188026,-1087.8378625030002,0.15694280520555598,True
gpt-4o-mini,placebo,post,y_raw,zhu,6,598,92.61995200864474,-1103.3215302887513,-1076.9599857650476,0.15961102836236096,True
gpt-4o-mini,placebo,post,y_adj,constant,1,598,92.97227326222523,-1111.051086444185,-1106.6574956902346,0.1560551841776503,
