model,condition,segment,target,n,loso_mse,best_null_loso,bic,best_null_bic,range_ok,zhu_beats_nulls_oos,zhu_beats_nulls_bic,n_over_k_gt_50,retain_zhu,loso_winner
gpt-4o-mini,base,full,y_raw,1200,0.14860869976951746,0.15041539173298654,-2260.293660679439,-2261.7756043210475,True,True,False,True,True,zhu
gpt-4o-mini,base,full,y_adj,1200,0.14833524427113387,0.15015059471847458,-2262.0902158858385,-2263.6517096298758,,True,False,True,True,zhu
gpt-4o-mini,base,post,y_raw,920,0.15341230589176869,0.15064561116513445,-1709.8028661863075,-1733.2772036928136,True,False,False,True,False,linear
gpt-4o-mini,base,post,y_adj,920,0.15287308418341944,0.150399198035705,-1711.4469671410172,-1734.2216937816177,,False,False,True,False,linear
gpt-4o-mini,placebo,full,y_raw,878,0.1409308592386081,0.14120866355365216,-1689.7576014934975,-1697.020166433755,True,True,False,True,True,zhu
gpt-4o-mini,placebo,full,y_adj,878,0.13986901095527907,0.14023818440219768,-1694.825783242908,-1703.025775181817,,True,False,True,True,zhu
gpt-4o-mini,placebo,post,y_raw,598,0.15961102836236096,0.1565777217399864,-1076.9599857650476,-1103.0868385105998,True,False,False,True,False,linear
gpt-4o-mini,placebo,post,y_adj,598,0.15895026787981031,0.15554088997268994,-1081.3852970192984,-1106.6574956902346,,False,False,True,False,linear
gpt-4o-mini,switch,full,y_raw,869,0.18514056398666867,0.18555355791636666,-1445.9224749862726,-1453.9357371283234,True,True,False,True,True,zhu
gpt-4o-mini,switch,full,y_adj,869,0.18417341924420946,0.18458108404512197,-1449.9980337301054,-1457.9419733413256,,True,False,True,True,zhu
gpt-4o-mini,switch,post,y_raw,589,0.18079062301463528,0.17768649655091878,-989.2766732208325,-1015.0081104039476,True,False,False,True,False,constant
gpt-4o-mini,switch,post,y_adj,589,0.17922348976693167,0.1766691181996316,-993.4556273400964,-1018.4109018431933,,False,False,True,False,constant
llama-3.3-70b,base,full,y_raw,1174,0.03001747039804202,0.04096691330799292,-4100.546468399966,-3727.153667329555,False,True,True,True,False,zhu
llama-3.3-70b,base,full,y_adj,1174,0.01163251617419911,0.012014881761775552,-5196.985985830825,-5173.920724447803,,True,True,True,True,zhu
llama-3.3-70b,base,post,y_raw,896,0.03480049643462712,0.04102615926500614,-2991.6578709802043,-2849.661434640234,True,True,True,True,True,zhu
llama-3.3-70b,base,post,y_adj,896,0.011940647696380475,0.011882330276560726,-3940.43603539194,-3965.926756902428,,False,False,True,False,spline
llama-3.3-70b,placebo,full,y_raw,969,0.03614169536729215,0.0478265070347935,-3207.6559783879156,-2920.3172588010093,True,True,True,True,True,zhu
llama-3.3-70b,placebo,full,y_adj,969,0.011047364225508246,0.011400373867262486,-4331.934699568251,-4313.909935387902,,True,True,True,True,zhu
llama-3.3-70b,placebo,post,y_raw,710,0.0418102575696692,0.04972933465832676,-2244.474256453267,-2119.4970839851517,True,True,True,True,True,zhu
llama-3.3-70b,placebo,post,y_adj,710,0.011251714602871268,0.011563093954278554,-3162.7501549208323,-3158.511782227313,,True,True,True,True,zhu
llama-3.3-70b,switch,full,y_raw,834,0.031087549623304386,0.043151012921912306,-2883.0877614448223,-2599.1419129236574,False,True,True,True,False,zhu
llama-3.3-70b,switch,full,y_adj,834,0.012003641156327302,0.012351597113559553,-3661.1146039337173,-3648.4571939174843,,True,True,True,True,zhu
llama-3.3-70b,switch,post,y_raw,560,0.03908203776891411,0.04669281629085201,-1802.0962002072163,-1705.309229972931,True,True,True,True,True,zhu
llama-3.3-70b,switch,post,y_adj,560,0.013353931597098441,0.013171753500602104,-2403.7467241982336,-2419.5994346242815,,False,False,True,False,log
qwen3-235b,base,full,y_raw,1135,0.02760822976247323,0.027605263361303763,-4061.8556291400605,-4068.707944153776,True,False,False,True,False,spline
qwen3-235b,base,full,y_adj,1135,0.027558544567816277,0.027225908849024514,-4078.970569944215,-4085.218945200047,,False,False,True,False,spline
qwen3-235b,base,post,y_raw,858,0.025043480585776996,0.02496233661096963,-3149.7167571277328,-3163.1472581963912,True,False,False,True,False,spline
qwen3-235b,base,post,y_adj,858,0.024964259779270574,0.024894617122978253,-3152.0375059954995,-3166.565339187394,,False,False,True,False,spline
qwen3-235b,placebo,full,y_raw,544,0.04525708821459719,0.04537580125783415,-1657.476438380809,-1666.6145143475192,True,True,False,True,True,zhu
qwen3-235b,placebo,full,y_adj,544,0.0384162917951731,0.04071022726673337,-1746.628522718749,-1733.2966477341402,,True,True,True,True,zhu
qwen3-235b,placebo,post,y_raw,266,0.0556776992323666,0.05578305568635229,-744.8007431470535,-764.7648034651894,True,True,False,False,False,zhu
qwen3-235b,placebo,post,y_adj,266,0.04349461036345136,0.04194326054868907,-818.4704372391932,-840.9761051706894,,False,False,False,False,constant
qwen3-235b,switch,full,y_raw,549,0.05077954671185053,0.051097735047503,-1614.339949026697,-1614.2013615136361,True,True,True,True,True,zhu
qwen3-235b,switch,full,y_adj,549,0.040750590188790854,0.04163875560698992,-1731.2689021921578,-1729.6007734574855,,True,True,True,True,zhu
qwen3-235b,switch,post,y_raw,275,0.04953444842874067,0.04831388952420322,-808.4362680781295,-830.4360234150272,True,False,False,False,False,constant
qwen3-235b,switch,post,y_adj,275,0.03851036873194178,0.03776803061472763,-878.0504488852727,-897.8600711084691,,False,False,False,False,linear
