model,target,contrast,param,diff,boot_sd_a,boot_sd_b,ratio,flagged
gpt-4o-mini,y_raw,switch-placebo,A,-0.3321450935814575,1.5257724832072963,1.474443190117547,0.15654053496971185,False
gpt-4o-mini,y_raw,switch-placebo,lam,-0.17503069256182174,0.1117397463454134,0.10264737954063123,1.1535602356581796,False
gpt-4o-mini,y_raw,switch-placebo,omega,0.5361353895270643,0.6556410796238974,0.7836160914781422,0.5247361568563867,False
gpt-4o-mini,y_raw,switch-placebo,phi,-0.4401109316260037,1.9734071759395755,1.883680964901776,0.16132442000646763,False
gpt-4o-mini,y_raw,switch-placebo,beta,0.08683933960398077,0.05869076917562249,0.054240712396522915,1.0866246947295801,False
gpt-4o-mini,y_raw,switch-placebo,H0,-0.24811514642938032,0.17349898412200343,0.1693750316403212,1.0232983879000068,False
gpt-4o-mini,y_raw,switch-base,A,4.112432060196748,1.5257724832072963,2.1686924334263495,1.5508998240263385,False
gpt-4o-mini,y_raw,switch-base,lam,-0.38896777956807993,0.1117397463454134,0.11989929277210122,2.373272447720684,True
gpt-4o-mini,y_raw,switch-base,omega,0.5829020124977082,0.6556410796238974,0.8366501743551674,0.5483847916769502,False
gpt-4o-mini,y_raw,switch-base,phi,-2.104761141955972,1.9734071759395755,1.8627069563104857,0.7756138246356838,False
gpt-4o-mini,y_raw,switch-base,beta,0.07556841196135491,0.05869076917562249,0.12647519580322503,0.5419830064677766,False
gpt-4o-mini,y_raw,switch-base,H0,-0.21334383278462082,0.17349898412200343,0.4231389908354811,0.46650114365443784,False
gpt-4o-mini,y_raw,placebo-base,A,4.444577153778205,1.474443190117547,2.1686924334263495,1.694822884405975,False
gpt-4o-mini,y_raw,placebo-base,lam,-0.2139370870062582,0.10264737954063123,0.11989929277210122,1.355435787777575,False
gpt-4o-mini,y_raw,placebo-base,omega,0.046766622970643934,0.7836160914781422,0.8366501743551674,0.04079736358875091,False
gpt-4o-mini,y_raw,placebo-base,phi,-1.6646502103299687,1.883680964901776,1.8627069563104857,0.6283743331740178,False
gpt-4o-mini,y_raw,placebo-base,beta,-0.011270927642625841,0.054240712396522915,0.12647519580322503,0.0819015764536192,False
gpt-4o-mini,y_raw,placebo-base,H0,0.034771313644759494,0.1693750316403212,0.4231389908354811,0.07628985276241136,False
gpt-4o-mini,y_adj,switch-placebo,A,-0.3409264467571302,1.7476033958274853,1.5354497116585855,0.1465523864045144,False
gpt-4o-mini,y_adj,switch-placebo,lam,-0.1705176148633376,0.11973222503617213,0.1049188374869898,1.0711089682787371,False
gpt-4o-mini,y_adj,switch-placebo,omega,1.1895756147079537,0.6566096494643736,0.7640485412543058,1.180807373017927,False
gpt-4o-mini,y_adj,switch-placebo,phi,-1.4209585993303029,1.9080004832360302,1.8921720467876115,0.5287974363139988,False
gpt-4o-mini,y_adj,switch-placebo,beta,0.09362207790000468,0.0679499080811015,0.05880162318517325,1.0418659067274452,False
gpt-4o-mini,y_adj,switch-placebo,H0,-0.26993908441877384,0.20542083290238702,0.18327497035440948,0.9805441903274115,False
gpt-4o-mini,y_adj,switch-base,A,5.06529567781724,1.7476033958274853,2.0864975762612676,1.8610855628480956,False
gpt-4o-mini,y_adj,switch-base,lam,-0.4053926206995199,0.11973222503617213,0.12102552988188961,2.3812461235743343,True
gpt-4o-mini,y_adj,switch-base,omega,1.2594899070767105,0.6566096494643736,0.8141106175445284,1.2042133374845392,False
gpt-4o-mini,y_adj,switch-base,phi,-3.3210681783511453,1.9080004832360302,1.9383040915713694,1.2210561608367814,False
gpt-4o-mini,y_adj,switch-base,beta,0.08541006727589802,0.0679499080811015,0.08374705412376499,0.7919632587340295,False
gpt-4o-mini,y_adj,switch-base,H0,-0.235689945281565,0.20542083290238702,0.27826921599206833,0.6814254138112955,False
gpt-4o-mini,y_adj,placebo-base,A,5.406222124574371,1.5354497116585855,2.0864975762612676,2.0868812824014618,True
gpt-4o-mini,y_adj,placebo-base,lam,-0.23487500583618234,0.1049188374869898,0.12102552988188961,1.4663903638396558,False
gpt-4o-mini,y_adj,placebo-base,omega,0.0699142923687569,0.7640485412543058,0.8141106175445284,0.06261981271785601,False
gpt-4o-mini,y_adj,placebo-base,phi,-1.9001095790208424,1.8921720467876115,1.9383040915713694,0.7014704654105736,False
gpt-4o-mini,y_adj,placebo-base,beta,-0.008212010624106661,0.05880162318517325,0.08374705412376499,0.08025115210581953,False
gpt-4o-mini,y_adj,placebo-base,H0,0.03424913913720884,0.18327497035440948,0.27826921599206833,0.10278796282513887,False
llama-3.3-70b,y_raw,switch-placebo,A,-2.49128833056389e-05,3.516175413038155,3.22923569182694,5.218407505104734e-06,False
llama-3.3-70b,y_raw,switch-placebo,lam,0.16223951879988407,0.07150865049049956,0.05765929292902305,1.766179341034002,False
llama-3.3-70b,y_raw,switch-placebo,omega,-0.21761609153091044,0.10866978074224526,0.05891733371419589,1.7604513245579454,False
