model,signal,detector,far_target,n_switch_verified,TPR,P_alarm_before_tau_use,FAR_base,FAR_placebo,FAR_base_trunc,FAR_placebo_trunc,lead_use_median,lead_use_mean,lead_read_median,n_leads,AUROC,AUROC_h10,scheme,TPR_split_mean,TPR_split_p05,TPR_split_p95,FAR_null_split_mean,FAR_placebo_split_mean,AUROC_split_mean,AUROC_ci_low,AUROC_ci_high,crit4_alarm_before_use_gt_FAR
gpt-4o-mini,H,cusum,0.05,20.0,0.05,0.05,0.15,0.0,0.1,0.0,6.0,6.0,-1.0,1.0,0.35125,0.435,LOSO,0.07,0.0,0.1,0.14400000000000002,0.05800000000000001,0.34490000000000004,0.18621875,0.53503125,False
gpt-4o-mini,H,cusum,0.1,20.0,0.05,0.05,0.15,0.1,0.1,0.05,6.0,6.0,-1.0,1.0,0.35125,0.435,LOSO,0.09200000000000001,0.0,0.2,0.16400000000000003,0.142,0.37020000000000003,0.18621875,0.53503125,False
gpt-4o-mini,H,ph,0.05,20.0,0.05,0.05,0.15,0.0,0.1,0.0,6.0,6.0,-1.0,1.0,0.35125,0.435,LOSO,0.07,0.0,0.1,0.158,0.084,0.3431,0.19496875,0.5313125,False
gpt-4o-mini,H,ph,0.1,20.0,0.05,0.05,0.15,0.1,0.1,0.05,6.0,6.0,-1.0,1.0,0.35125,0.435,LOSO,0.086,0.0,0.2,0.16400000000000003,0.14600000000000002,0.36200000000000004,0.19496875,0.5313125,False
gpt-4o-mini,Hq,cusum,0.05,20.0,0.0,0.0,0.15,0.0,0.0,0.0,,,,0.0,0.31625,0.3825,LOSO,0.004,0.0,0.0,0.158,0.018000000000000002,0.3111,0.21121874999999998,0.42878125,False
gpt-4o-mini,Hq,cusum,0.1,20.0,0.0,0.0,0.2,0.05,0.05,0.0,,,,0.0,0.31625,0.3825,LOSO,0.012000000000000002,0.0,0.1,0.226,0.042,0.3093,0.21121874999999998,0.42878125,False
gpt-4o-mini,Hq,ph,0.05,20.0,0.0,0.0,0.15,0.0,0.0,0.0,,,,0.0,0.31625,0.3825,LOSO,0.004,0.0,0.0,0.17,0.018000000000000002,0.321,0.21246874999999998,0.4288125,False
gpt-4o-mini,Hq,ph,0.1,20.0,0.0,0.0,0.2,0.05,0.05,0.0,,,,0.0,0.31625,0.3825,LOSO,0.014000000000000002,0.0,0.1,0.22,0.044000000000000004,0.3271,0.21246874999999998,0.4288125,False
gpt-4o-mini,JS,cusum,0.05,20.0,0.2,0.1,0.05,0.1,0.05,0.05,2.0,1.0,-6.5,4.0,0.44,0.47375,LOSO,0.17400000000000002,0.1,0.3,0.138,0.086,0.4303,0.29375,0.58128125,False
gpt-4o-mini,JS,cusum,0.1,20.0,0.2,0.15,0.15,0.1,0.05,0.1,4.0,2.75,-5.0,4.0,0.44,0.47375,LOSO,0.20600000000000002,0.1,0.3,0.172,0.09200000000000001,0.4434,0.29375,0.58128125,False
