model,condition,quantity,est,jk_se,ci_low,ci_high,n_turns,n_seeds
gpt-4o-mini,base,soft I-Ish pre,0.013656995159711237,0.011273810074336395,-0.008439672585988095,0.03575366290541057,7.0,20
gpt-4o-mini,base,soft I-Ish post,0.07750314844568351,0.01143147605786997,0.05509745537225837,0.09990884151910866,23.0,20
gpt-4o-mini,base,hard I_MM pre,0.04168297432974304,0.037601730490568974,-0.032016417431772144,0.11538236609125824,7.0,20
gpt-4o-mini,base,hard I_MM post,0.07814769115659315,0.04395003152843939,-0.007994370639148055,0.16428975295233433,23.0,20
gpt-4o-mini,base,soft I-Ish post-pre,0.06384615328597228,0.011043950671830477,0.04220000996918454,0.08549229660276,,20
gpt-4o-mini,base,hard I_MM post-pre,0.0364647168268501,0.05202542822835842,-0.0655051225007324,0.13843455615443262,,20
gpt-4o-mini,placebo,soft I-Ish pre,0.02799776258230024,0.017735621428663223,-0.006764055417879677,0.06275958058248016,7.0,20
gpt-4o-mini,placebo,soft I-Ish post,0.3631771854257626,0.07833575573351172,0.20963910418807966,0.5167152666634456,23.0,20
gpt-4o-mini,placebo,hard I_MM pre,0.032056939398103154,0.06347904875927833,-0.09236199617008237,0.15647587496628867,7.0,20
gpt-4o-mini,placebo,hard I_MM post,0.4286313338505751,0.08385602913798672,0.2642735167401211,0.5929891509610291,23.0,20
gpt-4o-mini,placebo,soft I-Ish post-pre,0.33517942284346236,0.07906190494936906,0.18021808914269902,0.49014075654422573,,20
gpt-4o-mini,placebo,hard I_MM post-pre,0.39657439445247195,0.10594491251873656,0.1889223659157483,0.6042264229891956,,20
gpt-4o-mini,switch,soft I-Ish pre,0.05932903315538244,0.026722571993562875,0.006952792047999208,0.11170527426276566,7.0,20
gpt-4o-mini,switch,soft I-Ish post,0.22809388658566646,0.05307612173798897,0.12406468797920807,0.33212308519212486,15.0,20
gpt-4o-mini,switch,hard I_MM pre,0.10914468125276622,0.038425187596137056,0.03383131356433759,0.18445804894119483,7.0,20
gpt-4o-mini,switch,hard I_MM post,0.3178377739194654,0.08256692793560516,0.15600659516567927,0.4796689526732515,15.0,20
gpt-4o-mini,switch,soft I-Ish post-pre,0.16876485343028402,0.059069390751843566,0.05298884755667063,0.2845408593038974,,20
gpt-4o-mini,switch,hard I_MM post-pre,0.20869309266669916,0.08700369112968197,0.03816585805252251,0.37922032728087585,,20
llama-3.3-70b,base,soft I-Ish pre,0.0002761299733427237,0.000326896335637126,-0.00036458684450604324,0.0009168467911914906,7.0,20
llama-3.3-70b,base,soft I-Ish post,0.000758018289910379,0.0006003961035295163,-0.0004187580730074731,0.001934794652828231,23.0,20
llama-3.3-70b,base,hard I_MM pre,0.0,0.0,0.0,0.0,7.0,20
llama-3.3-70b,base,hard I_MM post,0.05354940523170828,0.03375111397262314,-0.012602778154633072,0.11970158861804964,23.0,20
llama-3.3-70b,base,soft I-Ish post-pre,0.00048188831656765526,0.0006716957367106625,-0.0008346353273852431,0.0017984119605205537,,20
llama-3.3-70b,base,hard I_MM post-pre,0.05354940523170828,0.03375111397262314,-0.012602778154633072,0.11970158861804964,,20
llama-3.3-70b,placebo,soft I-Ish pre,0.000582650713217495,0.0006271297202233674,-0.0006465235384203052,0.0018118249648552951,7.0,20
llama-3.3-70b,placebo,soft I-Ish post,0.04236121070630579,0.02385592996750993,-0.004396412030013674,0.08911883344262525,23.0,20
llama-3.3-70b,placebo,hard I_MM pre,0.005792039331613081,0.006836575246586829,-0.007607648151697104,0.019191726814923267,7.0,20
llama-3.3-70b,placebo,hard I_MM post,0.20369248091855327,0.05135231506931108,0.10304194338270356,0.304343018454403,23.0,20
llama-3.3-70b,placebo,soft I-Ish post-pre,0.04177855999308829,0.02380971420684213,-0.004888479852322283,0.08844559983849887,,20
llama-3.3-70b,placebo,hard I_MM post-pre,0.1979004415869402,0.04792649681980851,0.10396450782011551,0.2918363753537649,,20
llama-3.3-70b,switch,soft I-Ish pre,4.09709952488727e-05,0.0009484017632887126,-0.001817896460797004,0.0018998384512947492,7.0,20
llama-3.3-70b,switch,soft I-Ish post,0.04561468987506228,0.0210265041051524,0.00440274182896358,0.08682663792116098,15.0,20
llama-3.3-70b,switch,hard I_MM pre,0.0019197869443178886,0.002254384882295169,-0.002498807424980643,0.00633838131361642,7.0,20
llama-3.3-70b,switch,hard I_MM post,0.1991540960675751,0.09122736090661297,0.020348468690613658,0.37795972344453654,15.0,20
llama-3.3-70b,switch,soft I-Ish post-pre,0.04557371887981341,0.020766822843925035,0.004870746105720344,0.08627669165390647,,20
llama-3.3-70b,switch,hard I_MM post-pre,0.1972343091232572,0.09196252094447221,0.01698776807209168,0.37748085017442273,,20
qwen3-235b,base,soft I-Ish pre,0.02714844262899078,0.017511748822793737,-0.00717458506368494,0.0614714703216665,7.0,20
qwen3-235b,base,soft I-Ish post,0.01989349494569099,0.011445954050415652,-0.0025405749931236878,0.04232756488450566,23.0,20
qwen3-235b,base,hard I_MM pre,0.097629440261345,0.04633756152445346,0.006807819673416218,0.18845106084927377,7.0,20
