spec,metric,window,adjust,model,kind,contrast,n_seeds,missing_seeds,mean,ci_low,ci_high,median,sd,n_pos,p_sign,p_wilcoxon,p_wilcoxon_bh,p_wilcoxon_bh_family,sensitivity,p_bh_family_endpoints
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,level,comm,20,,-0.0169463122293746,-0.0724682840510225,0.0383992299187373,-0.0306657749995017,0.130684141745122,9,0.8238029479980469,0.4749050140380859,0.7893618319896941,0.8337080023261938,primary (s03),0.8656496458415743
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,level,S-P,20,,-0.0136942983671166,-0.0833922008398503,0.0592405149398971,-0.0346308848120213,0.1685580738663541,7,0.2631759643554687,0.4749050140380859,0.7893618319896941,0.8337080023261938,primary (s03),0.8656496458415743
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,level,P-B,20,,-0.0065040277245159,-0.0921357934813336,0.0876645818810164,-0.0269393415677471,0.210283337061475,8,0.5034446716308594,0.6742229461669922,0.8826191295276988,0.8865767045454546,primary (s03),0.9395622991746472
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,prepost,comm,20,,-0.0536827337506685,-0.1171844698919279,0.0129674430372474,-0.0748551122034238,0.1538712717897147,6,0.1153182983398437,0.1327266693115234,0.5531272888183594,0.5791709206321023,primary (s03),0.6515672857111151
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,prepost,S-P,20,,-0.049648662145453,-0.1332279063818784,0.0412037170141808,-0.0645831261653886,0.2027825932363077,7,0.2631759643554687,0.1536464691162109,0.5531272888183594,0.5979754473711993,primary (s03),0.6772987210020727
main,mean_H_renorm_bits,5,raw,gpt-4o-mini,prepost,P-B,20,,-0.0080681432104309,-0.1006367419036184,0.0890476640462948,-0.0182535903521767,0.2234783183349853,10,1.0,0.7841262817382812,0.8961443219866071,0.9180015005716464,primary (s03),0.9802720053901885
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,level,comm,19,3,0.0046845377606159,-0.020715292222008,0.0318412809811932,0.0025119153642757,0.0600637020951856,10,1.0,0.70855712890625,0.89501953125,0.9029400580752212,primary (s03),0.9656046677839116
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,level,S-P,19,3,-0.0136117755900764,-0.0462074810021462,0.0191680759087497,-0.0213836482892236,0.0756403869293146,7,0.359283447265625,0.4180412292480469,0.7893618319896941,0.8337080023261938,primary (s03),0.8626976876237273
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,level,P-B,19,3,0.0365926267013848,-0.0029788135214986,0.0764384094198231,0.0473243883381158,0.0913860117208114,12,0.359283447265625,0.0955123901367187,0.5531272888183594,0.5791709206321023,primary (s03),0.6515672857111151
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,prepost,comm,19,3,0.0167008228395366,-0.0099634414925024,0.0431257815303478,0.0160057960769592,0.0611568586283293,12,0.359283447265625,0.1956329345703125,0.5868988037109375,0.6402532404119318,primary (s03),0.7162154892743644
