model,spec,metric,estimator,n_obs,term,est,se,ci_low,ci_high,p,converged,p_bh_DiD_SP_OLS,sensitivity,p_bh_family_its_DiD_SP
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level S,-0.1944394095767476,0.0750066233134049,-0.3514300764116472,-0.0374487427418481,0.0178765457658835,,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level P,-0.09240934521745,0.0417041659914282,-0.1796971678065462,-0.0051215226283539,0.0391109752719531,,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level B,0.0106427486613228,0.0522583459034149,-0.0987352263581145,0.1200207236807602,0.8407873627337409,,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level DiD S-P,-0.1020300643592976,0.0841019211481014,-0.2780574083442247,0.0739972796256295,0.2399317961125201,,0.7149516993463366,primary (s04),0.7943576428781005
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level DiD S-B,-0.2050821582380705,0.0637144390384508,-0.33843801175868,-0.0717263047174611,0.0045198451012664,,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,level DiD P-B,-0.1030520938787729,0.0575689548565209,-0.2235453011806172,0.0174411134230713,0.0893939185181693,,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope S,-0.0604235524909459,0.0114989276121374,-0.0844910845830495,-0.0363560203988423,4.515205086297997e-05,,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope P,-0.04776220692125,0.0077489683761751,-0.0639809841294339,-0.0315434297130661,6.354384535056753e-06,,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope B,-0.0241554196264667,0.0062393106630805,-0.0372144469272205,-0.0110963923257128,0.0010275899118571,,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope DiD S-P,-0.0126613455696958,0.0137098054067811,-0.0413562980673459,0.0160336069279542,0.3673142802067443,,0.7149516993463366,primary (s04),0.7943576428781005
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope DiD S-B,-0.0362681328644792,0.0110809454366214,-0.0594608182089138,-0.0130754475200446,0.0040011665221135,,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,OLS-CR(seed),2947,slope DiD P-B,-0.0236067872947833,0.0085068217270297,-0.0414117697960198,-0.0058018047935468,0.0120611856800654,,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level S,-0.1914151244739251,0.0590508827162456,-0.3071527278530653,-0.0756775210947849,0.0011889050885497,False,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level P,-0.0923546276114285,0.058930971841474,-0.2078572099946617,0.0231479547718047,0.1170758470760135,False,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level B,0.0108928001415599,0.0577385871320062,-0.1022727511554,0.1240583514385199,0.8503614990966887,False,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level DiD S-P,-0.0990604968624966,0.0832976809244437,-0.2623209514701154,0.0641999577451222,0.2343473030993292,False,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level DiD S-B,-0.202307924615485,0.0825170666521855,-0.3640384033636599,-0.0405774458673102,0.0142179162533654,False,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,level DiD P-B,-0.1032474277529884,0.082447647563527,-0.2648418475875529,0.058346992081576,0.2104683502658759,False,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope S,-0.0611511660326308,0.0119784372984451,-0.0846284717286546,-0.0376738603366069,3.306129493858791e-07,False,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope P,-0.0471113289966464,0.011910506348771,-0.0704554924778734,-0.0237671655154195,7.639296036268384e-05,False,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope B,-0.0241153116386953,0.0118073859622797,-0.0472573628763274,-0.0009732604010631,0.0411126542057314,False,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope DiD S-P,-0.0140398370359843,0.0168870489475863,-0.0471378447784186,0.0190581707064499,0.4057495537217198,False,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope DiD S-B,-0.0370358543939354,0.016813463372438,-0.0699896370592973,-0.0040820717285736,0.0276123826283321,False,,primary (s04),
gpt-4o-mini,main,mean_H_renorm_bits,MixedLM,2947,slope DiD P-B,-0.0229960173579511,0.0167650504837482,-0.0558549125050935,0.0098628777891912,0.1701680388912148,False,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,level S,-0.0213914112226964,0.0138830567071704,-0.0504489828595188,0.0076661604141258,0.1398486380472814,,,primary (s04),
llama-3.3-70b,main,mean_H_renorm_bits,OLS-CR(seed),2977,level P,-0.0310752400684828,0.0177149344634483,-0.068153024022747,0.0060025438857812,0.0955147201598646,,,primary (s04),
