experiment,temperature,model,condition,n_calls,repeat_share,share_read_log,share_write_log,share_decrypt,share_submit,share_done
exp1,1.0,gpt-4o-mini,base,520,0.2423076923076923,0.12115384615384615,0.325,0.5538461538461539,0.0,0.0
exp1,1.0,gpt-4o-mini,placebo,492,0.30284552845528456,0.07113821138211382,0.2967479674796748,0.4349593495934959,0.036585365853658534,0.16056910569105692
exp1,1.0,gpt-4o-mini,switch,490,0.24693877551020407,0.06938775510204082,0.33877551020408164,0.4816326530612245,0.026530612244897958,0.0836734693877551
exp1,1.0,llama-3.3-70b,base,507,0.01775147928994083,0.46153846153846156,0.5069033530571992,0.03155818540433925,0.0,0.0
exp1,1.0,llama-3.3-70b,placebo,496,0.05443548387096774,0.42338709677419356,0.4838709677419355,0.03225806451612903,0.010080645161290322,0.05040322580645161
exp1,1.0,llama-3.3-70b,switch,489,0.1083844580777096,0.40899795501022496,0.4396728016359918,0.03067484662576687,0.03067484662576687,0.08997955010224949
exp1,1.0,qwen3-235b,base,520,0.7076923076923077,0.8461538461538461,0.08076923076923077,0.038461538461538464,0.0038461538461538464,0.03076923076923077
exp1,1.0,qwen3-235b,placebo,356,0.47191011235955055,0.45224719101123595,0.13764044943820225,0.033707865168539325,0.09831460674157304,0.27808988764044945
exp1,1.0,qwen3-235b,switch,350,0.5142857142857142,0.49714285714285716,0.12,0.022857142857142857,0.08857142857142856,0.2714285714285714
exp3,0.5,gpt-4o-mini,base,520,0.25576923076923075,0.09423076923076923,0.3326923076923077,0.573076923076923,0.0,0.0
exp3,0.5,gpt-4o-mini,placebo,502,0.2729083665338645,0.09362549800796813,0.3207171314741036,0.46613545816733065,0.02390438247011952,0.09561752988047809
exp3,0.5,gpt-4o-mini,switch,480,0.29791666666666666,0.1,0.28125,0.4,0.04791666666666667,0.17083333333333334
exp3,0.5,llama-3.3-70b,base,497,0.014084507042253521,0.44064386317907445,0.49295774647887325,0.06639839034205232,0.0,0.0
exp3,0.5,llama-3.3-70b,placebo,507,0.009861932938856016,0.4536489151873767,0.5226824457593688,0.021696252465483234,0.0019723865877712033,0.0
exp3,0.5,llama-3.3-70b,switch,501,0.09580838323353294,0.437125748502994,0.44510978043912175,0.03792415169660679,0.02594810379241517,0.05389221556886228
exp3,0.5,qwen3-235b,base,520,0.8596153846153847,0.9653846153846154,0.028846153846153848,0.0057692307692307696,0.0,0.0
exp3,0.5,qwen3-235b,placebo,378,0.5846560846560847,0.5873015873015873,0.10317460317460317,0.005291005291005291,0.07671957671957672,0.2275132275132275
exp3,0.5,qwen3-235b,switch,412,0.6432038834951457,0.6553398058252428,0.08009708737864078,0.007281553398058253,0.05825242718446602,0.19902912621359223
exp2,0.0,gpt-4o-mini,base,520,0.27115384615384613,0.06923076923076923,0.3384615384615385,0.5923076923076923,0.0,0.0
exp2,0.0,gpt-4o-mini,placebo,520,0.2846153846153846,0.051923076923076926,0.3423076923076923,0.5269230769230769,0.015384615384615385,0.06346153846153846
exp2,0.0,gpt-4o-mini,switch,506,0.30434782608695654,0.04940711462450593,0.3201581027667984,0.4980237154150198,0.025691699604743084,0.1067193675889328
exp2,0.0,llama-3.3-70b,base,506,0.02766798418972332,0.4644268774703557,0.4901185770750988,0.045454545454545456,0.0,0.0
exp2,0.0,llama-3.3-70b,placebo,504,0.09126984126984126,0.3948412698412698,0.44047619047619047,0.041666666666666664,0.021825396825396824,0.10119047619047619
exp2,0.0,llama-3.3-70b,switch,478,0.07112970711297072,0.40376569037656906,0.4225941422594142,0.05230125523012552,0.04602510460251046,0.07531380753138076
exp2,0.0,qwen3-235b,base,520,0.9230769230769231,1.0,0.0,0.0,0.0,0.0
exp2,0.0,qwen3-235b,placebo,520,0.675,0.7692307692307693,0.10384615384615385,0.009615384615384616,0.01730769230769231,0.1
exp2,0.0,qwen3-235b,switch,442,0.6583710407239819,0.8371040723981901,0.10407239819004525,0.0,0.058823529411764705,0.0
