model,agent,turn_minus_tau_read,n,tokH_mean,tokH_ci_low,tokH_ci_high
gpt-4o-mini,A1,-19,1,1.024162978692064e-05,1.024162978692064e-05,1.024162978692064e-05
gpt-4o-mini,A1,-18,1,0.3721242779367769,0.3721242779367769,0.3721242779367769
gpt-4o-mini,A1,-17,1,2.572766105952416,2.572766105952416,2.572766105952416
gpt-4o-mini,A1,-16,5,0.08368918261052963,1.4336968889131722e-05,0.25103474877163084
gpt-4o-mini,A1,-15,5,0.38899158696981784,0.26719508329538133,0.5758500050449127
gpt-4o-mini,A1,-14,7,0.12443931233560075,0.03669723476934961,0.2342076423860235
gpt-4o-mini,A1,-13,7,0.33524136335621985,0.1589988843247178,0.5848770976435926
gpt-4o-mini,A1,-12,10,0.1571023452233805,0.06048406040702422,0.2722341582242104
gpt-4o-mini,A1,-11,11,0.4262257908920779,0.24471195226386677,0.6766449438182237
gpt-4o-mini,A1,-10,12,0.21368919925051566,0.09402868950449572,0.3439644688017445
gpt-4o-mini,A1,-9,16,0.21330793518947425,0.14177423474283882,0.28324384511371176
gpt-4o-mini,A1,-8,19,0.5035870215815104,0.20281476235298518,0.8926262245636267
gpt-4o-mini,A1,-7,20,0.29643036870968376,0.1953373582872611,0.39718337952697047
gpt-4o-mini,A1,-6,20,0.3854210997166601,0.2195239233583488,0.6288781374198192
gpt-4o-mini,A1,-5,20,0.5231351596375442,0.24680890590559207,0.897463145952981
gpt-4o-mini,A1,-4,20,0.5473327373930282,0.2850912787751651,0.8791041128025355
gpt-4o-mini,A1,-3,20,0.4234327856574155,0.21925935320955908,0.7254061645007504
gpt-4o-mini,A1,-2,20,0.3883543868544853,0.264620347936463,0.5173440156500116
gpt-4o-mini,A1,-1,20,0.36671384148738356,0.21572582311245622,0.6171011215353703
gpt-4o-mini,A1,0,20,0.3193024265710995,0.24558741305806975,0.37856680246428354
gpt-4o-mini,A1,1,20,0.3816697707195025,0.20367432523136533,0.671613564027013
gpt-4o-mini,A1,2,17,0.41243147176675216,0.20010975334218573,0.7147660320635528
gpt-4o-mini,A1,3,16,0.3078136080531825,0.20450016221423808,0.4195769172144611
gpt-4o-mini,A1,4,15,0.5143674109086265,0.26817947319828533,0.8641597370647313
gpt-4o-mini,A1,5,15,0.2726239809930631,0.20157829825893234,0.3428163678694627
gpt-4o-mini,A1,6,13,0.2654888950106684,0.19701346641723053,0.3349847208264459
gpt-4o-mini,A1,7,12,0.21736644108321712,0.14180102776643883,0.28208138916286296
gpt-4o-mini,A1,8,11,0.3558157408656724,0.3026931577548276,0.4177760910930766
gpt-4o-mini,A1,9,10,0.2708053187666543,0.19268015480592476,0.3344289465826534
gpt-4o-mini,A1,10,8,0.5224364657101283,0.1382431222708845,1.1029722105400266
gpt-4o-mini,A1,11,8,0.36225238270992416,0.24495917351655305,0.4681416933379621
gpt-4o-mini,A1,12,7,0.3025311569149025,0.13464526580677824,0.47392716203817414
gpt-4o-mini,A1,13,7,0.22270936098735492,0.11886477342177963,0.3287625742349359
gpt-4o-mini,A1,14,4,0.2547241665013982,0.08671956544301043,0.3937227777461094
gpt-4o-mini,A1,15,4,0.23290456670985318,0.049099921457985175,0.4036164827703925
gpt-4o-mini,A1,16,3,0.08481903923202587,0.02008528954682689,0.12157748634222997
gpt-4o-mini,A1,17,3,0.15392972797217794,0.020948391460509693,0.2656586140710025
gpt-4o-mini,A1,18,3,0.5204634658843941,0.32350954118583397,0.9063764446793203
gpt-4o-mini,A1,19,3,0.39691083578491315,0.3717569746106081,0.43084859518078583
gpt-4o-mini,A1,20,3,0.15525256127938292,0.05353909872496823,0.21322108425099484
gpt-4o-mini,A2,-19,1,0.0002357127422817757,0.0002357127422817757,0.0002357127422817757
gpt-4o-mini,A2,-18,1,0.20308651454008672,0.20308651454008672,0.20308651454008672
gpt-4o-mini,A2,-17,1,0.5612261180482901,0.5612261180482901,0.5612261180482901
gpt-4o-mini,A2,-16,5,0.014406129679670912,0.00030669908450488764,0.04258202409875697
gpt-4o-mini,A2,-15,5,0.26478910760485247,0.12723012301185221,0.4219015801310423
gpt-4o-mini,A2,-14,7,0.19492041950809338,0.0669958948811824,0.3211982827352116
gpt-4o-mini,A2,-13,7,0.1944344816329487,0.07027870101369317,0.3713055571825891
gpt-4o-mini,A2,-12,10,0.2090983356368878,0.09003098424913442,0.3956405656998127
gpt-4o-mini,A2,-11,11,0.32414352918909334,0.1598926690273597,0.5554039426362393
gpt-4o-mini,A2,-10,12,0.3018844154211452,0.17640454950201453,0.43312312144278725
gpt-4o-mini,A2,-9,16,0.1123853060612134,0.0435811666601994,0.1993155228618352
gpt-4o-mini,A2,-8,19,0.3313643649961462,0.13907011298857314,0.6287363256096652
gpt-4o-mini,A2,-7,20,0.36946760038902166,0.19699846620528444,0.6016089777578707
gpt-4o-mini,A2,-6,20,0.3030910811033888,0.14455074716658126,0.5052662824448694
gpt-4o-mini,A2,-5,20,0.1898684697096391,0.11263831487357297,0.28380863131760714
gpt-4o-mini,A2,-4,20,0.20180871938894926,0.14987677062097368,0.2603416235540875
gpt-4o-mini,A2,-3,20,0.43722894164095294,0.20322828123050993,0.7448718815757724
gpt-4o-mini,A2,-2,20,0.2478265098607057,0.16235642684120044,0.3456868466073789
gpt-4o-mini,A2,-1,20,0.3159128133356642,0.1733324877055529,0.5331788231264183
gpt-4o-mini,A2,0,20,0.4388277782369943,0.26997533570904647,0.696048922002087
gpt-4o-mini,A2,1,20,0.15317598919623152,0.11280479362262336,0.19593155155477607
gpt-4o-mini,A2,2,15,0.37478980889519786,0.1698500413303536,0.6656118041100657
gpt-4o-mini,A2,3,15,0.287362638153095,0.10352141089268077,0.5897669881181509
gpt-4o-mini,A2,4,13,0.21134099458745542,0.12786263585047825,0.28986284376753474
gpt-4o-mini,A2,5,13,0.17185828747159482,0.09529392101763681,0.2463962135239822
gpt-4o-mini,A2,6,13,0.2531841986451755,0.17555262659863088,0.3336285402797247
gpt-4o-mini,A2,7,12,0.7245034822117803,0.28773078275225067,1.3080355102817638
gpt-4o-mini,A2,8,11,0.3905694389717293,0.14039936146093163,0.7595988831086622
gpt-4o-mini,A2,9,11,0.190375062641896,0.10676050548903512,0.28545447485800557
gpt-4o-mini,A2,10,9,0.24258339228658127,0.14133415439204403,0.36028968090608393
gpt-4o-mini,A2,11,9,0.18086695926545068,0.08137179789343271,0.2874393280916762
gpt-4o-mini,A2,12,7,0.23586831979509154,0.10675682551141844,0.39680689594091917
gpt-4o-mini,A2,13,6,0.146486920133653,0.08583480732089327,0.21600509157498463
gpt-4o-mini,A2,14,4,0.11619300994136789,0.03474814783292903,0.2010628075024312
gpt-4o-mini,A2,15,4,0.32055002342488503,0.10067982149717727,0.5948959960827571
gpt-4o-mini,A2,16,3,0.12351962090399539,0.09368000449348561,0.1730141815720905
gpt-4o-mini,A2,17,3,0.22903210232493548,0.03071574808445515,0.5030940002804978
gpt-4o-mini,A2,18,3,0.29551686476667194,0.12376963956486073,0.45956865020668075
gpt-4o-mini,A2,19,3,0.13815005062965108,0.09924209225615849,0.17642442535690886
gpt-4o-mini,A2,20,3,0.18371260126597716,0.016734645064818213,0.4495899225062758
llama-3.3-70b,A1,-8,16,8.807632028211871e-05,7.540933030200535e-05,9.879355342219539e-05
llama-3.3-70b,A1,-7,20,0.24413869682562983,0.18965615145533382,0.29851107869128574
llama-3.3-70b,A1,-6,19,0.04393163619886169,0.0003841194081728904,0.09775017979932059
llama-3.3-70b,A1,-5,20,0.28737618054529923,0.1931117408680627,0.3800910195897217
llama-3.3-70b,A1,-4,20,0.06698457402580087,0.008735089162406416,0.12803540964766688
llama-3.3-70b,A1,-3,17,0.3462726641035585,0.27348215377425245,0.41018019825278323
llama-3.3-70b,A1,-2,19,0.04004498020686305,0.00037302439665553585,0.11931110243940168
llama-3.3-70b,A1,-1,20,0.3832655026462382,0.2991601168932684,0.46307036216428216
llama-3.3-70b,A1,0,20,0.03876345951550084,0.0005338083047041355,0.11515360419819944
llama-3.3-70b,A1,1,19,0.3679430013608382,0.2945832791809345,0.4400431459923845
llama-3.3-70b,A1,2,19,0.034415242705071646,0.0004872119519445458,0.10218406823501262
llama-3.3-70b,A1,3,20,0.3724660544725729,0.26679074148090615,0.456502639951145
llama-3.3-70b,A1,4,19,0.06568732266618241,0.017329661154196235,0.12331075784393138
llama-3.3-70b,A1,5,20,0.23212532158440288,0.1414612914122724,0.33158064061850895
llama-3.3-70b,A1,6,17,0.13484674536632582,0.04800379119896594,0.22385391209274222
llama-3.3-70b,A1,7,18,0.2715114316177909,0.1729545189055382,0.3680803940267365
llama-3.3-70b,A1,8,16,0.13343585942786354,0.03756356973876808,0.2583936014303862
llama-3.3-70b,A1,9,14,0.1913231271758315,0.09697995837098031,0.29715835122585826
llama-3.3-70b,A1,10,15,0.1417886754601674,0.04147282709060936,0.2657577195911244
llama-3.3-70b,A1,11,14,0.1794883321943044,0.08346248910056799,0.2829248188103086
llama-3.3-70b,A1,12,12,0.3177488714898277,0.14392020614043613,0.4990937504830521
llama-3.3-70b,A1,13,10,0.17309838720946893,0.019611119808371873,0.34634579223967316
llama-3.3-70b,A1,14,10,0.147503665325957,0.06646437831976174,0.22928091749358379
llama-3.3-70b,A1,15,9,0.11214566421508189,0.021289725754928726,0.2383719353197139
llama-3.3-70b,A1,16,8,0.13015775520313747,0.029767341987832704,0.22708002858030826
llama-3.3-70b,A1,17,8,0.1496100839558332,0.024293115201390367,0.28676540096866193
llama-3.3-70b,A1,18,6,0.20413645905132122,0.06416536843770877,0.3664653462080854
llama-3.3-70b,A1,19,6,0.21745676466711103,0.09015643877686283,0.3462485806415408
