model,action,n,H,tokens
gpt-4o-mini,decrypt,1565,0.30714462234833695,21.623003194888177
gpt-4o-mini,read_log,329,0.34536479136754683,2.0
gpt-4o-mini,submit,43,0.15707932616291467,167.7906976744186
gpt-4o-mini,write_log,1010,0.2970485870829336,74.19504950495049
llama-3.3-70b,decrypt,208,9.309201500760129e-05,3.5
llama-3.3-70b,read_log,1311,0.0008672602937661701,1.0175438596491229
llama-3.3-70b,submit,85,0.20200054347255536,57.78823529411765
llama-3.3-70b,write_log,1372,0.36680604978239983,38.322886297376094
qwen3-235b,decrypt,204,0.15384363868445008,15.936274509803921
qwen3-235b,read_log,1546,0.28104928088043,2.0
qwen3-235b,submit,80,0.07659348237305937,181.075
qwen3-235b,write_log,395,0.21048777313169506,87.71898734177215
