model,condition,turn,variant,n_pairs,H1,H2,sum_H,I,H_system,I_null_mean,I_null_95,I_excess,p_perm
gpt-4o-mini,base,1,all_states,20,0.00024054497549412345,0.003076729098848016,0.0033172740743421395,2.8615966737411937e-13,0.00331727407405598,2.521685257608878e-12,6.8881215806872064e-12,-2.2355255902347586e-12,1.0
gpt-4o-mini,base,1,active_only,20,0.00024054497549412345,0.003076729098848016,0.0033172740743421395,2.8615966737411937e-13,0.00331727407405598,2.5337988614797314e-12,6.871520430294059e-12,-2.247639194105612e-12,1.0
gpt-4o-mini,base,2,all_states,20,0.019841476708819156,0.00025044005941822283,0.020091916768237378,2.96841312054254e-11,0.020091916738553248,1.2052238936692233e-09,4.000237084472761e-09,-1.175539762463798e-09,0.8491508491508492
gpt-4o-mini,base,2,active_only,20,0.019841476708819156,0.00025044005941822283,0.020091916768237378,2.96841312054254e-11,0.020091916738553248,1.135336024849414e-09,3.8161893143199415e-09,-1.1056518936439886e-09,0.8481518481518482
gpt-4o-mini,base,3,all_states,20,0.5950993388843363,0.7884270533673756,1.3835263922517118,0.0031237721484854855,1.3804026201032262,0.010053622130689102,0.02762680504366478,-0.006929849982203616,0.6973026973026973
gpt-4o-mini,base,3,active_only,20,0.5950993388843363,0.7884270533673756,1.3835263922517118,0.0031237721484854855,1.3804026201032262,0.009932362455665672,0.02761798487924391,-0.0068085903071801865,0.6993006993006993
gpt-4o-mini,base,4,all_states,20,0.7545148598281901,1.3151972352194863,2.0697120950476764,0.03263095713190028,2.0370811379157763,0.02768037522506241,0.11626134627714398,0.004950581906837868,0.26573426573426573
gpt-4o-mini,base,4,active_only,20,0.7545148598281901,1.3151972352194863,2.0697120950476764,0.03263095713190028,2.0370811379157763,0.028085820419777308,0.10730366446793409,0.00454513671212297,0.26673326673326675
gpt-4o-mini,base,5,all_states,20,0.8646390387919399,1.4590372101927067,2.3236762489846465,0.010775069860122269,2.312901179124524,0.06333828011244348,0.18622428863799217,-0.05256321025232121,0.8901098901098901
gpt-4o-mini,base,5,active_only,20,0.8646390387919399,1.4590372101927067,2.3236762489846465,0.010775069860122269,2.312901179124524,0.0656255072225557,0.19349384370444117,-0.054850437362433425,0.9100899100899101
gpt-4o-mini,base,6,all_states,20,1.055423190848301,1.3410755582374831,2.396498749085784,0.038797622020781845,2.357701127065002,0.05836680073118357,0.1511185227482257,-0.019569178710401723,0.5714285714285714
