model,condition,variant,post_H_system,post_I,post_I_excess,post_turns_sig,post_turns,pre_H_system,pre_I
gpt-4o-mini,base,active_only,2.6047338200743626,0.08979820320032503,0.020003432620930208,2,13,1.5371664005059262,0.013692356854386927
gpt-4o-mini,base,all_states,2.6047338200743626,0.08979820320032503,0.019313635664168525,2,13,1.5371664005059262,0.013692356854386927
gpt-4o-mini,placebo,active_only,2.5895713425992133,0.17025876752833718,0.00794107581905956,1,13,1.5720371385510623,0.028075520172655015
gpt-4o-mini,placebo,all_states,3.184346100040549,0.2798757667575551,0.03147340264477068,0,13,1.5720371385510623,0.028075520172655015
gpt-4o-mini,switch,active_only,2.5917792002852136,0.13301609602883757,0.011921347615918891,0,13,1.6225714102017126,0.05948691424551865
gpt-4o-mini,switch,all_states,3.0202495316584335,0.2137059878276644,-0.00417243091810473,1,13,1.6225714102017126,0.05948691424551865
llama-3.3-70b,base,active_only,0.259346654722831,0.000854897552579968,-0.00010243205891588003,0,13,0.35915676595076024,0.0002767321352978154
llama-3.3-70b,base,all_states,0.259346654722831,0.000854897552579968,-0.00011243584627102844,0,13,0.35915676595076024,0.0002767321352978154
llama-3.3-70b,placebo,active_only,0.18446134093655486,7.803984579246372e-05,-9.822207975139368e-05,0,13,0.4183899947098481,0.000620995295713825
llama-3.3-70b,placebo,all_states,0.5754661858867319,0.009604473940195542,0.003378584936112439,1,13,0.4183899947098481,0.000620995295713825
llama-3.3-70b,switch,active_only,0.10272346260812594,4.690680115044997e-05,-2.6237881219140376e-05,0,13,0.3600397521479571,4.109646125609309e-05
llama-3.3-70b,switch,all_states,0.7290020715893261,0.03971019652959588,0.015337911607373432,1,13,0.3600397521479571,4.109646125609309e-05
qwen3-235b,base,active_only,1.3346873638277306,0.0010963199043677407,-0.0007121258428911691,1,13,1.6478062061029048,0.008044234284697197
qwen3-235b,base,all_states,1.6431408537114829,0.005913474228138626,-0.008686044271529135,0,13,1.7384798512467419,0.02723043850021496
qwen3-235b,placebo,active_only,2.6510130730950796,0.012714222764335504,-0.006634748225931781,0,5,1.6234647708721652,0.010364630091292305
qwen3-235b,placebo,all_states,2.4789784268234905,0.373612244759197,0.2628102640806959,7,13,1.6234647708721652,0.010364630091292305
qwen3-235b,switch,active_only,2.640461777661737,0.04581769071016273,0.007631658703232529,0,5,1.5547938366230234,0.005465201257118005
qwen3-235b,switch,all_states,2.435147897989923,0.23107535551227176,0.10791036994141733,1,13,1.7046032977649956,0.006651105108620688
