model,contrast,statistic,auc
gpt-4o-mini,switch vs base,H_adj_delta,0.4375
gpt-4o-mini,switch vs base,H_decision_delta,0.33
gpt-4o-mini,switch vs placebo,H_adj_delta,0.3925
gpt-4o-mini,switch vs placebo,H_decision_delta,0.4375
llama-3.3-70b,switch vs base,H_adj_delta,0.635
llama-3.3-70b,switch vs base,H_decision_delta,0.3225
llama-3.3-70b,switch vs placebo,H_adj_delta,0.4263157894736842
llama-3.3-70b,switch vs placebo,H_decision_delta,0.4263157894736842
qwen3-235b,switch vs base,H_adj_delta,0.6225
qwen3-235b,switch vs base,H_decision_delta,0.7975
qwen3-235b,switch vs placebo,H_adj_delta,0.415
qwen3-235b,switch vs placebo,H_decision_delta,0.325
