model,condition,turn,runs_present,runs_paired,H1_bits,H2_bits,sum_H_bits,I_bits,H_system_bits,I_ci_low,I_ci_high,H_system_ci_low,H_system_ci_high,I_shuffled_bits,I_minus_shuffled_bits,hard_H1_bits,hard_H2_bits,hard_I_bits,hard_I_miller_madow_bits,hard_H_system_bits,p1_READ,p1_WRITE,p1_DECRYPT,p1_SUBMIT,p1_OTHER,p1_DONE,p2_READ,p2_WRITE,p2_DECRYPT,p2_SUBMIT,p2_OTHER,p2_DONE,tokH_A1_mean,tokH_A1_ci_low,tokH_A1_ci_high,tokS_A1_mean,tokH_A1_n,tokH_A2_mean,tokH_A2_ci_low,tokH_A2_ci_high,tokS_A2_mean,tokH_A2_n,tokH_sum_mean,tokH_sum_ci_low,tokH_sum_ci_high
gpt-4o-mini,base,1,20,20,0.00024054497549412342,0.0030767290988484566,0.00331727407434258,2.8615960800934464e-13,0.0033172740740564205,4.7466285258954925e-14,5.905797675154984e-12,0.0028978445964171285,0.0037217145361101082,1.0198620968205184e-15,2.851397459125241e-13,-0.0,-0.0,0.0,0.0,-0.0,1.9683437080170254e-06,1.0955415274366534e-05,0.9999869062671995,0.0,1.6997381793909755e-07,0.0,0.00016875907377582945,4.476812245213798e-05,0.9997861734201117,0.0,2.993836603732236e-07,0.0,0.0364968356678013,2.0322788965303994e-05,0.09015558684926203,0.04832515232718346,20,0.005052495921842079,0.0003360024629193354,0.014458523057766895,0.010473554090703554,20,0.04154933158964338,0.007134269469064857,0.09450377596386383
gpt-4o-mini,base,2,20,20,0.019841476708819385,0.000250440059418383,0.02009191676823777,2.96841312053877e-11,0.02009191673855364,2.313956913361404e-11,4.836787671695147e-09,0.005492084680882883,0.03663912474300274,8.528033512794097e-14,2.959885087025976e-11,-0.0,-0.0,0.0,0.0,-0.0,0.0018807293744280442,0.9981139435816055,5.2410598588691155e-06,7.183711763463443e-09,7.880039581087087e-08,0.0,1.4210747869239298e-05,0.9999857465248484,0.0,0.0,4.2727282302856716e-08,0.0,0.334520476335622,0.28150387887199324,0.393361984065411,0.3454709686569358,20,0.1806277488586932,0.15094782438473417,0.21071850160312874,0.18169421787647796,20,0.5151482251943151,0.45768749095527356,0.5768957066937466
gpt-4o-mini,base,3,20,20,0.5950993388843364,0.7884270533673758,1.3835263922517123,0.0031237721484854786,1.3804026201032267,0.00010008139244344099,0.02534355438915711,0.8403660711892329,1.6592363314234257,7.616058615820826e-06,0.003116156089869658,0.4689955935892812,0.8841837197791889,0.03414403902960389,0.03414403902960389,1.3190352743388662,0.1436993289317252,8.466500451278049e-05,0.8562157850664738,3.94572733534201e-09,2.1705156087920217e-07,0.0,0.08938805995328768,0.0693791255233967,0.8412260126500358,3.7883269300055242e-06,3.0135463497521334e-06,0.0,0.701080930863114,0.280716911733298,1.121209126855743,0.7655742700198077,20,0.29621228518020626,0.1535280426481953,0.47729772594873204,0.34746400654895165,20,0.9972932160433202,0.6176731064025713,1.4388413070860209
gpt-4o-mini,base,4,20,20,0.7545148598281904,1.3151972352194865,2.069712095047677,0.03263095713190064,2.0370811379157763,0.0024029628318943527,0.13765364428799953,1.4539530040777389,2.309516206890484,9.078604190945877e-05,0.03254017108999118,0.6098403047164004,1.295461844238322,0.30984030471640045,0.30984030471640045,1.5954618442383217,0.00619283232062828,0.19027390652684167,0.8035317913807976,1.260659333960602e-07,1.3437057989776956e-06,0.0,0.08816436353456474,0.5487158092516486,0.3630885496880529,2.503542560337221e-05,6.242100130329925e-06,0.0,0.31533060837067733,0.23882105904456216,0.40100057090637165,0.3063796959798636,20,0.2921434812814603,0.1982085556998016,0.39606570347524106,0.347521858878153,20,0.6074740896521377,0.4919198881231706,0.7156262727562077
gpt-4o-mini,base,5,20,20,0.8646390387919402,1.4590372101927067,2.323676248984647,0.01077506986012225,2.3129011791245246,0.0041884347960936315,0.2764715969004273,1.6384612797824607,2.4678489690033913,2.9364181543631265e-05,0.010745705678578618,0.8112781244591328,1.4406454496153462,0.010477502908957534,-0.06165724913549063,2.2414460711655217,0.008141714537822958,0.7490394916001796,0.2428178148268124,5.663726314481789e-07,4.1266255365313185e-07,0.0,0.15680144187490785,0.36494755253964095,0.4782364539908131,1.0262696161792329e-05,4.288898476344555e-06,0.0,0.334780347361264,0.27307510967224446,0.3991830993440487,0.3254899644505183,20,0.21095047065826808,0.15136005849725326,0.2710742157806813,0.15823955678532198,20,0.545730818019532,0.4688250960290519,0.6168347975579075
gpt-4o-mini,base,6,20,20,1.055423190848301,1.3410755582374831,2.396498749085784,0.03879762202078162,2.357701127065002,0.01596882796987345,0.29327463529655506,1.7607007978929983,2.5948711038508914,9.072582240826274e-05,0.038706896198373364,1.0540157730728,1.4406454496153462,0.0735337493509595,0.0013989973065113431,2.4211274733371866,0.09970278611341277,0.1509775015743914,0.7493193958498426,5.379960018449764e-08,2.6266275302102064e-07,0.0,0.08819140455278915,0.4757037952056204,0.436099212512935,1.7754247569620382e-06,3.812303898559774e-06,0.0,0.34530730644649676,0.14858172493777666,0.6458176639421784,0.31883647113533015,20,0.2673115293896422,0.1867081664892458,0.36574645593050786,0.37728722935742837,20,0.612618835836139,0.38717482550585114,0.9407047509680375
gpt-4o-mini,base,7,20,20,1.1858778656878661,1.4733107596219273,2.6591886253097936,0.010519076789448382,2.648669548520345,0.0020544439399473907,0.1850789980029403,2.054039238275149,2.8944098560535783,2.903975816694633e-05,0.010490037031281436,1.1411535278793057,1.4406454496153462,0.08018948043562445,0.008054728391176283,2.5016094970590275,0.054400017499100006,0.32851189042388773,0.6170867537960658,1.828831910751017e-07,1.1553977554541422e-06,0.0,0.1714973240559265,0.34396416819247305,0.48447119478173695,6.407810312830764e-05,3.2348667351264543e-06,0.0,0.2170946051452568,0.15782798847460341,0.27669169680529887,0.19618925444269086,20,0.28195578918669073,0.16008159159114538,0.4621961484060569,0.2563120886138337,20,0.49905039433194753,0.36532346086926387,0.685047523547483
gpt-4o-mini,base,8,20,20,1.3683043453491277,1.4711206150599059,2.8394249604090334,0.1040216960920904,2.735403264316943,0.03880991792639573,0.3180571697173331,2.367131914558184,2.7532816001324187,0.0002732907463405295,0.10374840534574988,1.2344977967946407,1.1883763717345073,0.09466122268814633,0.05859384666592225,2.3282129458410017,0.10077761800790655,0.4769261090093021,0.42229524018743037,5.872080492312859e-07,4.455873117602031e-07,0.0,0.15905192862757594,0.3964311443455519,0.4445104141960622,3.7580862251078434e-06,2.754744584876976e-06,0.0,0.6670854054972782,0.40973211555678807,1.0342239319664883,0.7427083648201203,20,0.2739565420716182,0.17754649539260067,0.3981099555917076,0.32095806288808837,20,0.9410419475688965,0.6120725993351518,1.4068185649831464
gpt-4o-mini,base,9,20,20,1.4045353280115114,1.4826288541024384,2.88716418211395,0.22501323334897308,2.662150948764977,0.10921809792943464,0.43705322918445266,2.142046116169411,2.79651276954562,0.0006764227440862583,0.22433681060488683,1.4387586809150081,1.5394910703001345,0.376640254156115,0.26843812608944273,2.6016094970590276,0.2132959802404178,0.2088256851801927,0.5778774339164173,1.495677717283333e-07,7.510952003885196e-07,0.0,0.17071158171779516,0.372635460949143,0.456644046775361,4.109375316879609e-06,4.801182383981538e-06,0.0,0.2176013589764588,0.14204385305798775,0.29309439231302886,0.31249019868962885,20,0.4568439681330706,0.2652186110883583,0.6976572768225141,0.5590128707034737,20,0.6744453271095294,0.4292258298935952,0.9706107222309088
gpt-4o-mini,base,10,20,20,1.2699087351841516,1.262132917542482,2.5320416527266336,0.019461472034840315,2.5125801806917933,0.011365016240721903,0.18461421826924068,2.006207363607994,2.6583496611513886,5.5602458975203655e-05,0.019405869575865112,1.2344977967946407,1.1411535278793057,0.08018948043562432,0.04412210441340024,2.295461844238322,0.06258980158918888,0.42750709198243414,0.5098984265607094,3.568603898130954e-06,1.1112637694585722e-06,0.0,0.08058273850118494,0.3199692126113938,0.599399002293242,4.710284511732887e-05,1.9437490619696754e-06,0.0,0.4226960510761678,0.2521943820401361,0.6929137684060325,0.46124132600306217,20,0.19567275143384474,0.10522087693768853,0.3018941043266027,0.21529861345421636,20,0.6183688025100126,0.4142747153631308,0.9071408502540607
gpt-4o-mini,base,11,20,20,1.3493225014969255,1.1147954056438376,2.4641179071407633,0.019670364318531048,2.4444475428222323,0.0055469855314126525,0.17952270734620285,1.8240423753747859,2.6130970096681136,5.063384585650241e-05,0.019619730472674547,1.3709505944546687,1.1883763717345073,0.17514324640998702,0.10300849436553886,2.3841837197791893,0.17499449973684358,0.21332536146700648,0.6116787121599797,2.3150710434815883e-07,1.1951290658090423e-06,0.0,0.043290918817738056,0.29920491838075974,0.6574990128116096,1.865070312093731e-06,3.284919580482969e-06,0.0,0.3814740105156217,0.20695003402958934,0.6278067069781091,0.36547008195403075,20,0.21053199121888314,0.12769960473904554,0.2968242635587543,0.2867321540077659,20,0.5920060017345049,0.36723176900504695,0.8965264462293612
gpt-4o-mini,base,12,20,20,1.1954565453704262,1.4060485420668443,2.6015050874372703,0.09936721485471388,2.5021378725825563,0.012950803814919006,0.3864364269888852,1.949251126395584,2.6569843345099295,0.00026286909010954476,0.09910434576460433,1.1411535278793057,1.360964047443681,0.16276370315578587,0.12669632713356177,2.3393538721672007,0.06426905469543541,0.30407684769896987,0.6316509704494515,1.985156955359339e-06,1.1419991878446015e-06,0.0,0.11768290098695064,0.4478517639509282,0.4343799475958918,8.477539910044052e-06,7.690992631928647e-05,0.0,0.35741921106372804,0.17525238973289006,0.6454177421581533,0.3450512843487361,20,0.22861740317076737,0.15024230838682198,0.30969172519206006,0.23528578923419524,20,0.5860366142344954,0.3974860733183004,0.8889618953099193
gpt-4o-mini,base,13,20,20,1.0654137328945856,1.416237498825993,2.4816512317205786,0.033371811773301445,2.4482794199472773,0.012652945418505038,0.19450565888083657,1.9806504370931814,2.5526098104731583,7.735789325623342e-05,0.03329445388004521,0.8812908992306927,1.2192407046368487,0.09183663430469947,0.05576925828247539,2.0086949695628418,0.03350190699981127,0.2915726366729893,0.6749248998543316,5.970834926725414e-08,4.967645185330388e-07,0.0,0.14270313090567294,0.3300381235849065,0.5272139542195502,4.1032240660965626e-05,3.7590492094812143e-06,0.0,0.4121323240155836,0.24164085969264726,0.6729034973633692,0.3601610111390219,20,0.3021792969132097,0.1985585459657149,0.4144241046503381,0.37993025819889675,20,0.7143116209287933,0.48869368383743245,1.0057316576604773
