model,condition,turn,metric,mean,ci_low,ci_high,n_runs
gpt-4o-mini,base,1,H,0.00015693030881834324,0.00014762833287751948,0.00016649377833322413,20
gpt-4o-mini,base,2,H,0.21423139174969014,0.20894764115809408,0.21969238774841626,20
gpt-4o-mini,base,3,H,0.17835136106503366,0.15060047644776917,0.20516333341308268,20
gpt-4o-mini,base,4,H,0.20264431980609668,0.16538870071315628,0.24465436215129677,20
gpt-4o-mini,base,5,H,0.22249970378226208,0.20671830634934588,0.2410470038781252,20
gpt-4o-mini,base,6,H,0.24206122679080636,0.19466059492082594,0.2948867262165031,20
gpt-4o-mini,base,7,H,0.24140969769380502,0.21259208298006588,0.27008261240866255,20
gpt-4o-mini,base,8,H,0.2612438058794012,0.23926465847872583,0.2863302306991045,20
gpt-4o-mini,base,9,H,0.23302086331719019,0.19238006475694452,0.28229225652332185,20
gpt-4o-mini,base,10,H,0.2428526181018822,0.1948064932057632,0.2911419204181864,20
gpt-4o-mini,base,11,H,0.22088143006009603,0.1822069407875794,0.2578520666928761,20
gpt-4o-mini,base,12,H,0.22810856126291798,0.19004191280050334,0.26233377055642315,20
gpt-4o-mini,base,13,H,0.20468936968262125,0.17138261343165306,0.23853336716368026,20
gpt-4o-mini,base,14,H,0.2192781365433424,0.17346588497998572,0.26273300143270273,20
gpt-4o-mini,base,15,H,0.21142881991583548,0.18451436774871513,0.23995486700782787,20
gpt-4o-mini,base,16,H,0.21594640375793456,0.19000236155007405,0.24016468607242494,20
gpt-4o-mini,base,17,H,0.2031609888346138,0.17250401922238834,0.23261246109225542,20
gpt-4o-mini,base,18,H,0.2894282081571108,0.23095544986708905,0.3553559411717803,20
gpt-4o-mini,base,19,H,0.22240668986284215,0.17258080649428545,0.27281891567825195,20
gpt-4o-mini,base,20,H,0.25524490666762445,0.20617737905636532,0.30760101764052994,20
gpt-4o-mini,base,21,H,0.21268393326416563,0.17581290479387932,0.2516534271386437,20
gpt-4o-mini,base,22,H,0.2020837990458134,0.1573044924574024,0.25186517827234706,20
