model,term,coef,ci_low,ci_high,p,n_calls,n_runs
gpt-4o-mini,C(condition)[T.switch],-3.655690263864542e-16,-2118854.714269307,2118854.714269307,1.0,2299,60
gpt-4o-mini,C(condition)[T.placebo],1.7133167742946929e-16,-1391328.95733106,1391328.95733106,1.0,2299,60
gpt-4o-mini,post,0.04154703462296527,0.02152296166144881,0.06157110758448174,4.769588289152486e-05,2299,60
gpt-4o-mini,C(condition)[T.switch]:post,-0.0007653666845351612,-0.029598634825548323,0.028067901456478,0.9585076578739216,2299,60
gpt-4o-mini,C(condition)[T.placebo]:post,-0.0010584419714631532,-0.02958744255662728,0.027470558613700975,0.9420323019457689,2299,60
gpt-4o-mini,C(condition)[T.switch]:post [OLS cluster-robust],0.0012524119481622038,-0.021246706207015794,0.0237515301033402,0.9131221694371962,2299,60
gpt-4o-mini,C(condition)[T.placebo]:post [OLS cluster-robust],0.0007513021202746867,-0.021094462559831807,0.022597066800381184,0.946258875983941,2299,60
llama-3.3-70b,C(condition)[T.switch],-0.0022771394163331087,-0.021967938877539055,0.01741366004487284,0.8206883447402068,2201,60
llama-3.3-70b,C(condition)[T.placebo],-0.007455487383805448,-0.027202370690371055,0.012291395922760162,0.4593063515520964,2201,60
llama-3.3-70b,post,-0.006527770530302316,-0.022694335182027375,0.009638794121422744,0.4287114805803014,2201,60
llama-3.3-70b,C(condition)[T.switch]:post,-9.056682988272039e-05,-0.023320840840821016,0.023139707181055572,0.9939032447617505,2201,60
llama-3.3-70b,C(condition)[T.placebo]:post,0.02920133453551807,0.005932634363198391,0.052470034707837745,0.013906081899942767,2201,60
llama-3.3-70b,C(condition)[T.switch]:post [OLS cluster-robust],-0.0003698081431255221,-0.023235715901351206,0.022496099615100164,0.9747126423159411,2201,60
llama-3.3-70b,C(condition)[T.placebo]:post [OLS cluster-robust],0.028836517602938656,0.004645866232933886,0.05302716897294343,0.019471484349049786,2201,60
qwen3-235b,C(condition)[T.switch],-6.013552194792738e-17,-2160839.990151072,2160839.990151072,1.0,2270,60
qwen3-235b,C(condition)[T.placebo],1.1282826688264264e-15,-1847031.2821302677,1847031.2821302677,1.0,2270,60
qwen3-235b,post,0.08044442244134614,0.05475447297807995,0.10613437190461233,8.391021880260209e-10,2270,60
qwen3-235b,C(condition)[T.switch]:post,0.14125310878431652,0.10604533211608938,0.17646088545254365,3.7399962376700306e-15,2270,60
qwen3-235b,C(condition)[T.placebo]:post,0.0513349856287596,0.016461503111498244,0.08620846814602096,0.003912452081172367,2270,60
qwen3-235b,C(condition)[T.switch]:post [OLS cluster-robust],0.14336573807772074,0.12593903200643927,0.1607924441490022,1.724798076981981e-58,2270,60
qwen3-235b,C(condition)[T.placebo]:post [OLS cluster-robust],0.05270292131777503,0.030235344775303978,0.07517049786024607,4.274861298594085e-06,2270,60
