model,condition,rel_turn,mean,ci_low,ci_high,n
gpt-4o-mini,switch,-7,0.19486924746319795,0.15921441285447105,0.226011650571297,20
gpt-4o-mini,switch,-6,0.21776327960513492,0.19346718254707965,0.25064141826731623,20
gpt-4o-mini,switch,-5,0.2366093732596582,0.20414100147555073,0.2712139813490513,20
gpt-4o-mini,switch,-4,0.22163253633961766,0.18932744441613636,0.25661242821174274,20
gpt-4o-mini,switch,-3,0.25625840134789785,0.22817353916765176,0.2911873212075904,20
gpt-4o-mini,switch,-2,0.21643369553356223,0.17913158059991532,0.2515703421626652,20
gpt-4o-mini,switch,-1,0.22962900801608713,0.20505118359267832,0.25341376968212476,20
gpt-4o-mini,switch,0,0.25739426290478384,0.20025478762295812,0.31470433122804975,20
gpt-4o-mini,switch,1,0.22828211419803543,0.1977121532084278,0.2627406611074435,20
gpt-4o-mini,switch,2,0.22381893876724396,0.15986891246979876,0.2891024146594237,19
gpt-4o-mini,switch,3,0.19223140338493605,0.1551592768563429,0.23284273749404555,18
gpt-4o-mini,switch,4,0.2195665059845246,0.17409000727959076,0.26159777453928673,16
gpt-4o-mini,switch,5,0.2050793548839042,0.15821662073186374,0.2562930957077225,15
gpt-4o-mini,switch,6,0.20642267605763848,0.1641260344753609,0.24551049698472222,11
gpt-4o-mini,switch,7,0.22798015315810133,0.17070762516198623,0.2900624778640763,10
gpt-4o-mini,switch,8,0.27070952181546604,0.21425286595092174,0.33618633496791755,8
gpt-4o-mini,switch,9,0.21333060254351371,0.09843434464297013,0.3466988671411532,7
gpt-4o-mini,switch,10,0.17637179929702265,0.10885109406620323,0.25660117962887813,6
gpt-4o-mini,placebo,-7,0.2215623016227409,0.19850804466019303,0.24531075520897863,20
gpt-4o-mini,placebo,-6,0.25471841612395185,0.2276281933499234,0.28381621711566596,20
gpt-4o-mini,placebo,-5,0.2851763269398574,0.2371157713449787,0.33085764557823594,20
gpt-4o-mini,placebo,-4,0.1999615876406604,0.1864846156321392,0.21218101714751125,20
gpt-4o-mini,placebo,-3,0.23054985029043315,0.19562893427979083,0.26973438235452135,20
gpt-4o-mini,placebo,-2,0.2085788231468962,0.18072877314241836,0.235834376476225,20
gpt-4o-mini,placebo,-1,0.2676142892611969,0.24332953814552694,0.2993328376673977,20
gpt-4o-mini,placebo,0,0.23827497773926115,0.20032248549677367,0.27750642971658096,20
gpt-4o-mini,placebo,1,0.21188593565668992,0.1794738597529337,0.2502744050421504,20
gpt-4o-mini,placebo,2,0.21251075445102177,0.15675866258781976,0.2735670394642564,20
gpt-4o-mini,placebo,3,0.2606165219711186,0.20174965805537554,0.32371789835408676,20
gpt-4o-mini,placebo,4,0.18892940792642615,0.1346124256498147,0.24726200159238257,19
gpt-4o-mini,placebo,5,0.16693882363664805,0.12666748198584082,0.21950524250435197,19
gpt-4o-mini,placebo,6,0.144295138478848,0.11053635243283019,0.1808426108057659,18
gpt-4o-mini,placebo,7,0.18158471350682037,0.1485645495408819,0.21322542548828335,18
gpt-4o-mini,placebo,8,0.18506101252709364,0.14142622734745974,0.23976728050619953,17
gpt-4o-mini,placebo,9,0.16229159472004814,0.10674969254997771,0.236352362306816,17
gpt-4o-mini,placebo,10,0.1488624339486518,0.11097295816941859,0.18586889162940315,17
llama-3.3-70b,switch,-7,0.14740094212501315,0.12350408707615364,0.17467667383156402,19
llama-3.3-70b,switch,-6,0.13989450245126445,0.11564024544535918,0.15928158798130648,20
llama-3.3-70b,switch,-5,0.18490243063904152,0.140427244260019,0.23391124470588998,20
llama-3.3-70b,switch,-4,0.15983116144410234,0.15085003219854845,0.16999680360526825,20
llama-3.3-70b,switch,-3,0.2215788716689162,0.16804939592930748,0.28392143771272815,20
llama-3.3-70b,switch,-2,0.17343025719551916,0.15934433723013253,0.19025984345180658,20
llama-3.3-70b,switch,-1,0.24717607485873055,0.18638399650966977,0.31755004633453804,20
llama-3.3-70b,switch,0,0.16434716788573625,0.14558670491121395,0.18760436675878311,20
llama-3.3-70b,switch,1,0.22874060889375172,0.190451445725317,0.2683541474632978,20
llama-3.3-70b,switch,2,0.15195612870406125,0.13693085329443908,0.16560702249160406,20
llama-3.3-70b,switch,3,0.16475673997517049,0.13123915810916423,0.20057353316246207,20
llama-3.3-70b,switch,4,0.137459644780843,0.1192127013811018,0.15222743583006268,20
llama-3.3-70b,switch,5,0.13015522105571625,0.10117951006909004,0.16808124265693858,20
llama-3.3-70b,switch,6,0.13839748970393023,0.11792950443735212,0.15668280635715565,20
llama-3.3-70b,switch,7,0.12337759041758047,0.09362329762633805,0.14874768513109554,19
llama-3.3-70b,switch,8,0.14902071651299853,0.13935841592335407,0.15849716229232358,19
llama-3.3-70b,switch,9,0.11663263252868811,0.09956579953947241,0.13213643662406901,18
llama-3.3-70b,switch,10,0.16178348908827203,0.143005555546225,0.18573434781940695,18
llama-3.3-70b,placebo,-7,0.12509031468908965,0.10080806476300602,0.14582666179249554,20
llama-3.3-70b,placebo,-6,0.1468446228290223,0.13003176533284205,0.16404040503600262,20
llama-3.3-70b,placebo,-5,0.17502621594428058,0.1480390604916144,0.20892708732486445,20
llama-3.3-70b,placebo,-4,0.1640567028584185,0.1390598572962295,0.19006023935975136,20
llama-3.3-70b,placebo,-3,0.20996969818347924,0.16186809633048266,0.26422168958302056,20
llama-3.3-70b,placebo,-2,0.18711140360552395,0.16833246533355256,0.2099264119607936,20
llama-3.3-70b,placebo,-1,0.2028326319032062,0.13721903557827864,0.2739575676859229,20
llama-3.3-70b,placebo,0,0.1645624029205333,0.13888184749318527,0.19088320283908605,20
llama-3.3-70b,placebo,1,0.2521543695764875,0.206040771069296,0.29847405359522333,20
llama-3.3-70b,placebo,2,0.19693520799809522,0.16523052243420913,0.230833516266026,20
llama-3.3-70b,placebo,3,0.20781276322725492,0.15839098048457556,0.2613129394078007,20
llama-3.3-70b,placebo,4,0.17987203445613448,0.15085928273596302,0.21586889067547768,20
llama-3.3-70b,placebo,5,0.18086937780843315,0.14971578472420197,0.2108023856858855,20
llama-3.3-70b,placebo,6,0.16345771787786728,0.15114423826093332,0.17836130939871186,20
llama-3.3-70b,placebo,7,0.14503629423260783,0.1058636284992778,0.18866282382373922,20
llama-3.3-70b,placebo,8,0.1761097867460751,0.15143791890295336,0.19895274329989607,20
