model,direction,tau_write,tau_read,tau_use
gpt-4o-mini,A2->A1,2,10.0,24.0
gpt-4o-mini,A1->A2,2,11.0,12.0
gpt-4o-mini,A2->A1,2,17.0,18.0
gpt-4o-mini,A1->A2,2,23.0,24.0
gpt-4o-mini,A2->A1,2,12.0,26.0
gpt-4o-mini,A2->A1,2,13.0,14.0
gpt-4o-mini,A1->A2,2,13.0,14.0
gpt-4o-mini,A1->A2,2,12.0,13.0
gpt-4o-mini,A2->A1,2,15.0,18.0
gpt-4o-mini,A1->A2,2,13.0,14.0
gpt-4o-mini,A2->A1,2,12.0,13.0
gpt-4o-mini,A2->A1,2,19.0,20.0
gpt-4o-mini,A1->A2,2,12.0,13.0
gpt-4o-mini,A1->A2,2,12.0,13.0
gpt-4o-mini,A2->A1,2,19.0,20.0
gpt-4o-mini,A2->A1,2,13.0,16.0
gpt-4o-mini,A2->A1,2,14.0,17.0
gpt-4o-mini,A1->A2,2,10.0,11.0
gpt-4o-mini,A2->A1,2,15.0,18.0
gpt-4o-mini,A1->A2,2,13.0,14.0
gpt-4o-mini,A2->A1,2,9.0,10.0
gpt-4o-mini,A2->A1,2,9.0,10.0
gpt-4o-mini,A1->A2,2,12.0,13.0
gpt-4o-mini,A2->A1,2,17.0,18.0
gpt-4o-mini,A1->A2,2,11.0,12.0
gpt-4o-mini,A2->A1,2,12.0,13.0
gpt-4o-mini,A1->A2,2,8.0,11.0
gpt-4o-mini,A2->A1,2,16.0,17.0
gpt-4o-mini,A1->A2,2,10.0,11.0
gpt-4o-mini,A2->A1,2,9.0,12.0
gpt-4o-mini,A2->A1,2,10.0,11.0
llama-3.3-70b,A1->A2,2,9.0,14.0
llama-3.3-70b,A2->A1,2,9.0,14.0
llama-3.3-70b,A1->A2,2,9.0,10.0
llama-3.3-70b,A2->A1,2,9.0,17.0
llama-3.3-70b,A1->A2,2,11.0,14.0
llama-3.3-70b,A2->A1,2,9.0,12.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A1->A2,2,9.0,16.0
llama-3.3-70b,A2->A1,2,9.0,10.0
llama-3.3-70b,A2->A1,2,9.0,14.0
llama-3.3-70b,A1->A2,2,9.0,10.0
llama-3.3-70b,A1->A2,4,9.0,12.0
llama-3.3-70b,A2->A1,4,13.0,14.0
llama-3.3-70b,A1->A2,2,8.0,19.0
llama-3.3-70b,A2->A1,5,9.0,18.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A2->A1,2,9.0,18.0
llama-3.3-70b,A1->A2,2,9.0,10.0
llama-3.3-70b,A2->A1,2,9.0,12.0
llama-3.3-70b,A1->A2,2,9.0,16.0
llama-3.3-70b,A2->A1,2,9.0,19.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A2->A1,2,9.0,18.0
llama-3.3-70b,A1->A2,2,9.0,12.0
llama-3.3-70b,A2->A1,2,9.0,30.0
llama-3.3-70b,A1->A2,2,9.0,14.0
llama-3.3-70b,A2->A1,2,10.0,29.0
llama-3.3-70b,A1->A2,2,9.0,10.0
llama-3.3-70b,A2->A1,2,10.0,13.0
llama-3.3-70b,A1->A2,2,9.0,10.0
llama-3.3-70b,A1->A2,2,10.0,19.0
llama-3.3-70b,A2->A1,2,9.0,20.0
llama-3.3-70b,A1->A2,2,9.0,10.0
llama-3.3-70b,A2->A1,2,10.0,11.0
llama-3.3-70b,A1->A2,3,9.0,10.0
llama-3.3-70b,A2->A1,2,8.0,9.0
qwen3-235b,A1->A2,2,8.0,28.0
qwen3-235b,A2->A1,2,8.0,28.0
qwen3-235b,A1->A2,2,8.0,9.0
qwen3-235b,A2->A1,2,8.0,9.0
qwen3-235b,A1->A2,2,8.0,16.0
qwen3-235b,A2->A1,2,8.0,9.0
qwen3-235b,A1->A2,2,8.0,16.0
qwen3-235b,A2->A1,2,8.0,16.0
qwen3-235b,A2->A1,2,8.0,13.0
qwen3-235b,A2->A1,2,8.0,13.0
qwen3-235b,A1->A2,2,8.0,11.0
qwen3-235b,A2->A1,2,8.0,9.0
qwen3-235b,A2->A1,2,8.0,12.0
qwen3-235b,A2->A1,2,8.0,9.0
qwen3-235b,A2->A1,2,8.0,27.0
qwen3-235b,A2->A1,2,8.0,9.0
qwen3-235b,A1->A2,2,8.0,15.0
qwen3-235b,A2->A1,2,8.0,11.0
qwen3-235b,A1->A2,2,8.0,9.0
qwen3-235b,A2->A1,2,8.0,9.0
qwen3-235b,A2->A1,2,8.0,28.0
qwen3-235b,A2->A1,2,8.0,13.0
qwen3-235b,A1->A2,2,8.0,11.0
qwen3-235b,A2->A1,2,8.0,13.0
qwen3-235b,A1->A2,2,8.0,9.0
qwen3-235b,A2->A1,2,8.0,14.0
qwen3-235b,A2->A1,2,8.0,21.0
qwen3-235b,A2->A1,2,8.0,9.0
qwen3-235b,A1->A2,2,8.0,11.0
qwen3-235b,A2->A1,2,8.0,13.0
