model,condition,seed,H_pre,H_post,H_delta,H_adj_pre,H_adj_post,H_adj_delta,H_decision_pre,H_decision_post,H_decision_delta,H_write_delta
gpt-4o-mini,base,1,0.23552063133946316,0.23832831742786056,0.002807686088397404,0.24947643810754208,0.23643722318650734,-0.013039214921034742,0.363073539865718,0.3284290432834646,-0.03464449658225338,0.02758617928086904
gpt-4o-mini,base,2,0.22636897894186317,0.31538847496338973,0.08901949602152656,0.24179852720287295,0.3174829087861057,0.07568438158323273,0.303113986858012,0.43948325921284437,0.13636927235483237,-0.031260152547672115
gpt-4o-mini,base,3,0.1819077246305941,0.3298121460051965,0.14790442137460239,0.1863223295453382,0.3400618744142426,0.15373954486890443,0.20432532366546205,0.3524257887617705,0.14810046509630845,-0.0012361004001641696
gpt-4o-mini,base,4,0.1742524770753584,0.3007602483869926,0.1265077713116342,0.17570454755783493,0.2984212159763684,0.12271666841853346,0.37861862729630263,0.3939238323453151,0.01530520504901245,0.0871519083513988
gpt-4o-mini,base,5,0.1663050108954515,0.2516178720314751,0.08531286113602363,0.15957144931194164,0.24555299839653216,0.08598154908459052,0.2326014481220762,0.4748692682691576,0.2422678201470814,0.053023632537920695
gpt-4o-mini,base,6,0.2396350700131873,0.2568659239236019,0.017230853910414623,0.24418733223330086,0.2508114036069674,0.006624071373666551,0.377649946454986,0.39630757726841126,0.018657630813425252,0.041784200154843965
gpt-4o-mini,base,7,0.22400417320973226,0.23085385571280775,0.006849682503075494,0.22037009087585674,0.2333393164593949,0.012969225583538163,0.2696974241482048,0.37143295352447014,0.10173552937626534,0.05054483606248411
gpt-4o-mini,base,8,0.20718979178294558,0.2422910552223976,0.035101263439452024,0.19102294833701247,0.23126645060893597,0.0402435022719235,0.3110993340823412,0.363386876465914,0.052287542383572805,0.08649785637098334
gpt-4o-mini,base,9,0.4342869715184324,0.2127241486797527,-0.22156282283867967,0.42556535536987833,0.208860139461296,-0.21670521590858233,0.27784569569145556,0.33928796871445227,0.06144227302299671,-0.057494047070404175
gpt-4o-mini,base,10,0.36133596974987586,0.2758545926640826,-0.08548137708579329,0.37488439039293475,0.28467638913045795,-0.0902080012624768,0.16802022154102042,0.42129377203047225,0.2532735504894518,0.056429650790495306
gpt-4o-mini,base,11,0.24331932243200116,0.24387289493167033,0.0005535724996691693,0.259275594087861,0.2352447985686921,-0.024030795519168896,0.46189383043328974,0.35413804547684635,-0.10775578495644339,0.001203581816689836
gpt-4o-mini,base,12,0.30166358757665085,0.46929646732957947,0.16763287975292862,0.30344053720663744,0.48685580419314484,0.1834152669865074,0.20756173388483928,0.4844913845285509,0.2769296506437116,-0.07005709131447474
gpt-4o-mini,base,13,0.1753067332731225,0.2442580408782963,0.06895130760517382,0.171869286937231,0.25370804993017915,0.08183876299294815,0.4848489823197611,0.3471902143455062,-0.13765876797425491,0.04961632418191095
gpt-4o-mini,base,14,0.15106276672000465,0.22272968362665607,0.07166691690665142,0.1649682984854093,0.23140488496194628,0.06643658647653697,0.1861612306701148,0.27149821003754315,0.08533697936742835,0.027814973780905028
